,sentiment,wordCount
""" When I was a kid in Poland i dreamed all the time about America."" IS THIS A FUCKING JOKE?! Pierzpcie się narcyści.",0.0,28
"""We all get second chance."": what's that mean? ""We can body double you."", just like, in an England far, far away, they can ""murder you in a jail.""?",-0.5514,44
"$160 to only be able to apply, then wasting extra moeny and hours to be treated like a criminal in prison, interrogated, searched, finger scanned. fuck that. this is cccp or 3rd reich level bs and consul can deny visa just like that and they do it",-0.9169,54
*I DONT TRUST LIKE THAT*,0.7003,7
*Jack Black Couldn't Even Try For This Movie Smfh... Mf You Couldn't Lose Some Fucking Weight For The Role Because Jan Lewan Wasn't A Fat Fuck... Jack Black Couldn't Even Take Accent Classes to Even Sound Like Him... This Looks Like A Shitty Way Too Long SNL Skit.*,0.3935,54
*Jan Lewan Has An Crazy Story Which Was Turned Into A Documentary... It Wasn't A Fucking Comedy!... Jack Black Looks Nothing Like Him... Jack Black's Accent Is Fucking Trash!... The Movie Should've Been A Fucking Drama Because It Really Was... Jan Lewan Was The Bernie Madoff Of Polka... It's A Great Documentary With Some Crazy Twists In It...This Movie Looks Like A Pile Of Shit They Didn't Even Bother Getting The Right Cast For It Or Good Writing Or Acting For It.*,0.7367,95
+11 to Poland recognition,0.0,5
"0:25, ""when I was a little boy in poland, i dreamed of america."" that was back then. Nowadays, this is the last place you want to be and the american dream is dying.",0.3182,41
A h a,0.0,3
"A movie who pretends to show a polish man who is going to america, but he is speaking with a russian accent. 😂 Jack Black is lit, tho",-0.0516,31
"According to the comments section, Weird Al is the only thing Americans know about Polka",-0.1779,16
Aleksandra Pajdowska - it's a real story. Google Jan Lewan (Lewandowski) and you can read about his legal troubles. Polka was popular in the states among the older generation of Polish Americans and I'd bet that Lewan started playing polka when he got here.,0.2732,49
Am I the only one of this planet that thinks that Jack Black is over rated?,0.0,17
Another jack black piece of shit,-0.5574,6
Art Koslinski So have I! 🤙,0.0,7
Awfully disrespectful film. Couldn't even finish it,0.0,8
"Because, as everyone knows, Europe is the UK, France, Germany, Italy and EASTERN EUROPE. And as everyone know, EASTERN EUROPE is all the same: Soviet.",0.0,34
Black was absolutely hilarious in this. Big fan of his work in the movie Bernie too.,0.6478,18
Bonjour,0.0,1
Borat was from Kazachstan and he was more polish than this shit. Fake news.,-0.81,16
"Bullshit, then all people think polish people are like that",-0.3182,11
But Jan Lewan is Polish.,0.0,6
But his accent is Russian :P,0.4084,6
CO TO KURWA JEST,0.0,4
Can you upload movies in native 21:9 please?,0.3182,9
"Columbia got their show with Pablo Escobar, its time to get our own polish show with that pig?",0.0,20
Could Gus Polinski(portrayed by John Candy-rest in piece) from Home Alone and Jan Lewan(Jack Black) from Polka King be the same persons or at least friends? Because Polka music genre was mentioned in Home Alone 1.,0.0258,44
"Could have been good, without Jack Black...
Maybe it works better for non-polish people.",0.7003,17
Dominika huh Except for it doesn't bc it's not about Poland haha,-0.357,12
"Dont lie. How many hours, money and dignity you need to lose before being allowed only to try your luck at the border? Compare it with americans which is 0 for them and they are always allowed to enter poland.",0.4588,44
"Everyone in the comment section missed the fact that this is based on a true story, not Home Alone.",0.327,21
Everything jews make in hollywood offends Poland.,-0.4588,8
"File under ""D,"" for dreadful.

But this is from Netflix, so no surprise there.",-0.5248,20
Flesh demand full welqli classical by job ease wheel arrival both single weigh.,0.25,14
"From ""A list"" movie star to supporting actor to Netflix. Good Job Jack Blank.",0.7003,18
Fucking funny!!!,0.6211,5
"Funny movie, i watched it right after the documentary The Man Who Would Be Polka King.",0.4404,18
Gay,0.0,1
Get some polka coin in your crypto portfolio,0.0,8
Get this: Vanessa Bayer is---are you ready?--A BEAR! Wah hah ha ha hah ha hah!!!!!!!!!,0.811,24
Give up Fat Jack,0.0,4
Ha Ha.. I live in pennsylvania not too far from where this shit happened and have seen jan play. its sooo funny they made this flick especially with jack black,0.3506,32
He needs some fresh ingredients!,0.3802,6
He sounds fucking russian not polish nd her wife in the movie doesnt look polish and he sounds fucking italien when he sings,0.0,23
"He speak russian accent, russia = different country hahaha",0.5574,10
"Here is my The polka king review!Please Watch it!
https://youtu.be/_PhviUBjfMg",0.0,13
Hey he was the guy from home alone 2,-0.25,9
HiHi O Kurwa Polski Madoff,0.0,5
His accent is like some russion guy talking - not even close to polish-english accent. And again whole America will think Poles are from russia...,0.3612,27
His wife reminds me So much of Fred figglehorn. Especially towards the beginning of the film...,0.0,18
