,sentiment,wordCount
*I NEED F(X) COMEBACK REALLY HARD*,0.0,11
*MIDORIIIII* XD,0.5859,4
*QUEENS* ♥,0.0,4
"*calls 911*

YES HELLO i need a fx comeback",0.5319,11
*runs to soundcloud* DO YALL HAVE THIS SONG,0.0,10
*you're so deep*,0.0,5
1:23 thoo i love it,0.6369,5
"2018 and still waiting for a comeback... 
Comebaack pleaase f(x)~",0.0,15
2018 anyone?,0.0,3
3 aydır hergün dinliyorum lanet olsun bağımlı oldum galiba <3 :D,0.7865,11
3:16 Mr boogie,0.0,3
AMBER IS FREAKING HOT ASF I AM SO GAY FOR HER,-0.4215,11
AMBER IS SO BEAUTIFUL 💖,0.6361,5
AMBER IS SO COOL.,0.3804,5
AMBER ME DA UN ORGASMO,0.0,5
AMBER WYD GIRL MY HEART EXPLODED,0.0,6
AMBERRRRR,0.0,1
Amazing,0.5859,1
Amazing ⚘🖤,0.5859,3
Ambeeeeeeer,0.0,1
Amber I love you💕,0.6369,5
Amber and Luna are SUCH a girl crush duo. I'm shook.,-0.25,13
Amber and Luna just single handedly saved the universe. Tysm God,0.5994,12
"Amber has the right moves, love her!!",0.6988,10
Amber is my girl crush right now 😍,-0.1531,8
Amber is so cool.. I love her~,0.6682,9
Amber is so sexy,0.656,4
Amber killed me😱😱😱😍 but... Sorry... Luna isn't sexy for me😐,-0.8061,17
Amber singing is beautiful,0.5994,4
Amber singing is my aesthetic concept,0.0,6
Amber so cool,0.3804,3
Amber why you are so handsome???,0.6865,9
Amber you're so aesthetically pleasing and Luna your voice with hers is extremely majestic. This was a beautiful duet.,0.8214,21
Amber ♥♡♥ ♥~♥,0.0,7
Amber 👅😍,0.0,3
Amber❤️❤️❤️❤️,0.0,9
Amo como bailan 😍,0.0,4
Amooo💖💖💖,0.0,4
Arte💜,0.0,2
BTS Family yess!!!😉,0.0,7
Best female vocal and best female rapper of SM.  Slay queens 💕💕💕,0.8555,15
Blaubeerejoonie    I'm glad you liked this video  :)   The number of views is small  :(  This video really deserves more. It would be nice for everyone to give their own ideas on how to improve the stream. Tomorrow I will post my idea.,0.8979,46
CANT WAIT TO HAVE KRYSTAL AND AMBER FVCKING COLLAB. SM PLS MAKE THIS HAPPEN BEFORE I DIE.,-0.5574,19
Can someone tell me what's [STATION] mean in this case?,0.0,13
Dance addict,0.0,2
