,sentiment,wordCount
"""I don't think the three of us have got the firmest grasp on government.""

Me: ""That's ok, neither does Trump...""",0.296,28
"""Maybe Michelle could run... let's not put Michelle through that""😂
COME BACK BARACK 🎵🎵🎵",0.0,20
"""So, I'm just getting rained on for nothing."" 😂😂",0.0,14
"""Trump Don't Even Got A Dog Man"".  He doesn't need one because he already is a dog.",0.0,21
"""now things are looking bad; like really bad, like world war bad, like Nuclear bad, so come back Barack.""",-0.9081,26
#Bringhimback 😣😣😁😁😁🤗🤗 we love Barack Obama 😗😗,0.6369,14
#♡,0.0,2
*NAH Y'ALL THINK THIS IS FUNNY BARACK COME BACK FOR REAL IM NOT PLAYING!!!*,0.5826,19
*S W E A T I N  T H R O U G H  M Y  D A M N  S C A R F*,0.0,27
...but if she wanted to....lol!!,0.0,10
0:53,0.0,1
2018 Presidents day theme song,0.0,5
2020 looks sad...like what we gonn do sad....lmfao,0.0,12
2:33 Key chaannngge!! lol,0.5242,6
90s R&B At its best!!!!,0.0,10
90s early 2000 RnB videos actually be like that lol,0.6486,10
AKAN TRIBESMAN yep!!,0.4184,5
Africans... Right?,0.0,4
All these angry white people 😂,-0.5106,6
All three of them did they thing...Keenan is stupid tho.... STUPID!!! Hillarious,-0.8559,18
Andre Griner I meant the other guy not chance or kenan,-0.1877,11
Are the captions for the video messed up for anyone else? It keeps giving me every other sentence,0.0772,19
Are you unable to spell? Is that why you are not writing in full sentences? God bless America and the educational system of the United States.,0.8053,29
"At this point, we will light 1 billion candles for you!",0.0,13
Brilliant.  I was starting to think your IQ and your age were the same.  I guess you proved me wrong.,0.1779,23
But fr where is this shit on apple music,-0.6428,9
Can I buy this on Apple Music?!?,0.0,10
Can some one please send this to Obama,0.3182,8
Chance the rapper.,0.25,4
Chance would be a star in any genre,0.25,8
Chris Reed is so funny!,0.6166,6
Chris redd’s voice lol😂,0.0,7
Come back Barack,0.0,3
Come back Barack!,0.0,4
"Come back Obama,   since you literally destroyed Europe and made sure all of our jobs were exported overseas and gave Iran billions of dollars and caused thr Syrian refugee crisis. We really miss u.  Obama literally accomplished Zero.   All he was concerned with was his ""legacy"". The ironic part is that now he will only known for being the first bi-racial president and that's the only positive thing he will ever be known for..  He should of never gotten a 2nd term.  That's what the idiotic voters get for electing a inexperienced community leader..   Whomever voted for him on his 2nd term is an absolute moron",-0.8268,116
DRU HILL,0.0,2
Did Chappell right some skits for SNL cuz this shit is Lit🔥,-0.6428,13
Don't know if we'll ever get a President as authentic.as Barrack Obama.,0.0,13
Dope,0.0,1
Dumbest SNL skit to date. Retarded all the way.,-0.7906,11
Eh I much prefer this logical rendition: 🎶 HIT THE ROAD BARACK! DON’T CHA COME BACK NO MO NO MO NO MO NO MO! HIT THE ROAD BARACK 🎶,-0.9065,34
Enjoy those tax cuts Trump gave you.,0.25,8
"For how long,a couple of years? Meanwhile,the powerful corporations enjoy permanent tax breaks. Yeah that balances everything out. Idiot",0.5994,26
Fuck obama,-0.5423,2
"Fuckkkkkkk that Barack 🐒🐒🐒🐒🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼, trump take all these ghetto government program away including section 8, welfare, SSI, including any and all housing programs and the project housing🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼",0.0,59
Funny,0.4404,1
Funny Cool Awesome skills Cool,0.891,5
Funny as hell.,-0.4019,4
Get this on Spotify !!,0.0,6
Glad obama is gone..what an embarrassment,0.0258,8
Glad this Muslim is GONE!!!!!,0.6331,8
Great song!!!!!!,0.7405,5
Had to do the action hand action,0.4939,7
Happy Presidents Day Obama.,0.5719,5
Happy the Ass Hole is gone,0.0516,6
Has anyone shown this to POTUS???  It's supposed to be a joke parody but DANG IF IT AIN'T TRUE😊😊😂😊😊😊,0.2824,28
"Hey Barack, how about you stay lost.",-0.3182,9
I LOVE THIS! And truly feel exactly like this:),0.8916,11
"I am actually a Republican.  Is your response to everything  ""libtard""? Is that the extent of your exchange on anything and everything in the country?",0.0,30
I came to u tube to watch something else not only did i forget what i was looking for but im stuck and i love it. Thank you snl 😀😀😀,0.8352,33
I can't with them,0.0,4
"I can’t even with this video, lol...Too damn funny! I’ve watched it so many times and it NEVER gets old!!!",0.3331,31
I come back to this video to ground me in all the chaos that is the Trump Admin😔I miss Obama so much.,-0.6486,25
I cried..😘😘😘,0.0,6
I don't see why they laughing because this song is the s***!,0.5411,16
I guess we stuck with this dude,-0.25,7
I hate Trump and his supporters,-0.2023,6
I hope Obama saw this😂,0.4404,6
I love the white roses.,0.6369,6
"I responed to your conservative reply ""cydmed I used 2 hop off my dick"" or did you forget typing that.  Fake news?  I laid the facts out for you already. My job is done.",-0.8074,40
I wanna laugh and cry all at the same time they are missed,-0.1779,13
I want to play this song every day of my life,0.4019,11
I wish😂,0.0,3
I would definitely put this on my iPod if I could!,0.4574,12
I'd rather have Bernie Sanders,0.0,5
I'd vote for Joe Biden!!!!! Too much classic material in this joint. They need to jam this on the radio for real!!!!,0.0,29
"I'm a proud conservative but still miss the man as POTUS, even the republican leaders hate Trump, they only putting up with him due to reelections",-0.7096,28
I'm in heeeeeeeeelll dreaming about you and Michelle.Wow.like really bad like world world bad like nuclear bad. This is like my favorite song,-0.2603,24
I'm just getting rained on for nothing? 😀,0.0,9
I'm not even from USA and I miss him,-0.1531,9
I've watched this video so many times I'm actually starting to like the song.,0.3612,15
IM SCREAMING,-0.3818,2
"Just when I think you can’t get any dumber, 

You do something like this. 

And totally redeem yourself Keenan!",0.0,24
Kenan out there standing in the rain like a bootleg Gerald Levert,0.3612,12
Know all the words LOLOL 😑🤣😂😣😩,0.0,10
L,0.0,1
LAUGHING OUT LOUD!!!,0.6219,6
LIKE,0.3612,1
LMAO 😂,0.5994,2
