,sentiment,wordCount
#ROMANIA,0.0,1
#VampsBacks,0.0,1
*The best*,0.0,4
2:50 onwards just kills me😍😍,-0.5423,7
2:50 ❤❤❤❤❤,0.0,4
3:23 So amazing and make me cry.,0.2484,8
771.880 views... 880 is my...,0.0,7
<3,0.4404,1
Aahhh aahhhh this guys aahhh ahhh very good song,0.4927,9
Amo a The vamps,0.0,4
And Brads raspy voice in this is so hoooooottt!!!!!,0.0,12
Awesome!,0.6588,2
Awsm songs,0.0,2
"Beautiful, I Love The Vamps 😄",0.8442,7
Best song !,0.6696,3
Best song I ever heard relateable . I love it acoustic way better than the original version. No Hate just saying. : *,0.8271,25
Better with headphones😍,0.4404,4
Brad! Will you marry me now??? <33333,0.0,12
Brad<3,0.0,2
"Bradley, never grow up ❤️",0.0,7
Bradleyyy Simpson is <3,0.4404,4
Brilliant,0.5859,1
Can i be ur mic XX,0.0,6
Can y'all release this on Spotify??!!!! Like if you agree!!!!,0.6159,18
Cantan lindo.,0.0,3
"Chicos, más rock y menos pop, pliss :'c el rock está muriendo",0.0,16
Class song,0.0,2
Does it feel the same to you?,0.0,8
Don't mind me.. just sitting here playing this on loop..,0.2023,12
Drummer😍,0.0,2
Get good,0.4404,2
Go vamps you are the best,0.6369,6
Great.. Really GREAT!,0.752,5
"Hey girl, what's up?
What's on your mind?
Heard you moved up, at least you tried
Packed up your things and drove for miles
I had to smile
I know you can't sleep, it's half three, and you're still up
Get on the group text, bounce your ex
'Cause I messed it up
Heard you moved on, well that's a lie

Does he love like I do?
Touch like I do?
Babe, does it feel the same to you?
Does he hold you like me?
Make you feel free
Open your eyes and you will see
All of the awkward situations
Holding a hand you wish was mine
Does he love like I do?
Touch like I do?
Babe, does it feel the same, feel the same to you?

Hey girl, what's up?
I'm checking in to see if you're ready to love again
Don't have to be heavy, but you can't pretend we can stay friends
Every street sign I drive by, it takes me back
Right to the bedroom, your perfume, little black dress
You say you love me while your hand's wrapped 'round my neck
Do you miss me yet?

Does he love like I do?
Touch like I do?
Babe, does it feel the same to you?
Does he hold you like me?
Make you feel free
Open your eyes and you will see
All of the awkward situations
Holding a hand you wish was mine
Does he love like I do?
Touch like I do?
Babe, does it feel the same, feel the same to you?

To you, to you, to you, to you
Does it feel the same to you?
To you, to you, to you, to you
Feel the same

Now I can't sleep, it's past three, and I'm still up
Get on the group text, bounce my ex
'Cause you messed me up
You heard I moved on, well that's a lie
Well, that's a lie
Does it feel the same to you?

Does he love like I do?
Touch like I do?
Babe, does it feel the same to you?
Does he hold you like me?
Make you feel free
Open your eyes and you will see
All of the awkward situations
Holding a hand you wish was mine
Does he love like I do?
Touch like I do?
Babe, does it feel the same, feel the same to you?
Does it feel the same to you?",0.9988,468
"Hey girl, what's up?
What's on your mind?
Heard you moved up, at least you tried
Packed up your things and drove for miles
I had to smile
I know you can't sleep, it's half three, and you're still up
Get on the group text, bounce your ex
'Cause I messed it up
Heard you moved on, well that's a lie
Does he love like I do?
Touch like I do?
Babe, does it feel the same to you?
Does he hold you like me?
Make you feel free
Open your eyes and you will see
All of the awkward situations
Holding a hand you wish was mine
Does he love like I do?
Touch like I do?
Babe, does it feel the same, feel the same to you?
Hey girl, what's up?
I'm checking in to see if you're ready to love again
Don't have to be heavy, but you can't pretend we can stay friends
Every street sign I drive by, it takes me back
Right to the bedroom, your perfume, little black dress
You say you love me while your hand's wrapped 'round my neck
Do you miss me yet?
Does he love like I do?
Touch like I do?
Babe, does it feel the same to you?
Does he hold you like me?
Make you feel free
Open your eyes and you will see
All of the awkward situations
Holding a hand you wish was mine
Does he love like I do?
Touch like I do?
Babe, does it feel the same, feel the same to you?
To you, to you, to you, to you
Does it feel the same to you?
To you, to you, to you, to you
Feel the same
Now I can't sleep, it's past three, and I'm still up
Get on the group text, bounce my ex
'Cause you messed me up
You heard I moved on, well that's a lie
Well, that's a lie
Does it feel the same to you?
Does he love like I do?
Touch like I do?
Babe, does it feel the same to you?
Does he hold you like me?
Make you feel free
Open your eyes and you will see
All of the awkward situations
Holding a hand you wish was mine
Does he love like I do?
Touch like I do?
Babe, does it feel the same, feel the same to you?
Does it feel the same to you?",0.9988,468
"Hey the vamps 🙂
When u releasing a new song😘
Huge fan of u guys 
Luv all your songs
One of my dreams is to meet you 
The vamps😘
I hope it will come true 🤞 
Luv u guys",0.9001,41
Hi guys you know how can I make a contact with The Vamps?,0.0,14
How your song comes in vh1 plzz can you share that,0.296,11
I LOVE THE SONG,0.6369,4
I LOVE THIS SONG  SO MUCH,0.6369,6
I can’t wait to see youse in May 😍😍😍🤩,0.0,14
I cry every time☺,-0.4767,5
I do love this version of this song. I mean it sounds more like The Vamps and it's gonna be great if this version release with story music video.,0.902,31
I feel sad everytime i think that they are underrated,-0.4767,10
I hear this everyday 😋 (almost a month now),0.0,11
I lo ve simpson bradley,0.0,5
I love Bradley 😍,0.6369,4
I love The Vamps,0.6369,4
I love The Vamps <3,0.7964,5
I love it ❤❤❤❤❤💚💚❤❤❤❤❤❤❤❤❤❤❤❤❤❤💚💚❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❣❣❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤💚💚❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤💚💚❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤💚💚💚💚💚💚❤❤💚💚❤❤💚💚❤❤❤❤❤❤💚💚❤❤❤❤💚❤❤❤❤❤❤❤💚💚💚❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0.6369,60
I love it 💓,0.6369,4
I love it! They can do it,0.6696,8
I love the piano in the beginning. If I could just hear that on repeat all my life. 🙏🏼,0.6369,22
I love the vamps😍😍,0.6369,6
I love this song,0.6369,4
I love you,0.6369,3
I love you @TheVampsBand ❤️❤️❤️,0.6369,10
I love you Bradly Simpson,0.6369,5
I love you brad💓💓💓💓💓,0.6369,7
I love you guys,0.6369,4
I love you guys 😍❤️,0.6369,7
"I love you, ""kalian tampan"" i'm from indonesia",0.6369,11
"I love you, guys!!!!!!!!!!!!!!!💜💜💜💜💜💜💜💜💜😍",0.7482,12
I love you😍❤😘,0.6369,6
I loveeeee it 😙😍😍😍best,0.0,8
I need this on Spotify!!,0.0,7
I swear you are Angles..,-0.0516,6
I'm in love with this version,0.6369,6
If only the hole album was acoustic...❤️,0.0,10
Immaculate,0.0,1
Insane ❤🌟❤🌟,-0.4019,5
It was really great. I loved it. ;),0.8878,10
I’d do anything to be Brads microphone,0.0,9
I’m Coming To Your Concert In Cardiff ❤️ Can’t Wait! Love ya!,0.6988,19
"LOL The Vamps are so Talented and there, the antis HA HA HA ther is still 159 dislikes? LOL are they blind?",0.9491,25
Last song I play before I sleep every night..❤,0.34,11
Los mejores :3 ♥♥,0.5106,6
Love iT,0.6369,2
Love it guys!! <3,0.8264,6
Love it😍😍😍,0.6369,5
Love love love love love love and loveeeeeeeeee this band and this song❤️❤️❤️❤️❤️❤️❤️👏🏻👏🏻👏🏻😎😎😍,0.9803,36
Love this,0.6369,2
"Love u all,😢😊😊😊😊😊👌👍☺️",0.6369,12
Love vamps ❤ ❤ ❤ ❤ ❤ ❤,0.6369,8
Love you The vamps😍😍,0.6369,6
Love your voice Brad<3,0.6369,5
Love ❤,0.6369,2
Love 💘💕❤️,0.6369,5
Loveeeeeeee,0.0,1
Love❤,0.0,2
MUSICA DEL ORTO HORRIBLE ESTO ES UNA MIERDA,-0.5423,8
Make a spotify version ❤😍,0.0,6
Masterpiece! 🔥🔥🔥🎶,0.6588,6
Mood,0.0,1
More ahhh I love you 😭😭,0.6682,7
My favorite song,0.4588,3
My friend's crush has a girlfriend about whom we came to know today. I am literally crying after hearing this. I can now how pain has she suffered from,-0.8807,31
My heart 😭💗,0.0,4
"Música boa pra Poha 
Adorei meninos voces arrasam sempre ,💜

    💝💝     💝💝    
💝🍡🍡💝🍡🍡💝
💝🍡🍡🍡🍡🍡💝
💝     Miss you!    💝
     💝🍡🍡🍡💝     
          💝🍡💝          
               💝",-0.2244,41
Nice song,0.4215,2
No ado tone needed,-0.296,4
Omg connor,0.0,2
Omg new fav song😍😍😍❤❤🔥🔥👌👌#favband,0.4588,14
On repeat for hours and hours! I am in LOVE with this song and I don't know why!,0.7592,20
Please put this on spotify,0.3182,5
Please release this or My Place as the next single!,0.3802,11
Podemos saber amigos traducción.,0.0,5
RIP Replay button 😭❤️,0.0,6
Rock On my lil Vamps...lol,0.0,7
Salanghae,0.0,1
Sir i want to work with you can i sir,0.0772,10
"So guys, I wanna write songs for The Vamps and maybe even collaborate!!",0.0,16
So in love,0.6682,3
So this is probably my 49th time I’ve watched this this week and we’re only on Wednesday. Absolutely in love,0.6682,25
Sooooo good😭♥️♥️♥️♥️😍😍,0.0,13
"Speechless, complete, heart-wrenchingly perfect harmony. AMAZING WORK!",0.9047,11
THERE ARE SO GOOD 😊,0.4927,5
"THEY ARE SO FUCKING UNDERRATED, MY GOD ALL OF MY BABIES SONGS ARE PURE ART, I DONT UNDERSTAND PEOPLE LISTENING TO SHIT IF WE HAVE THIS, IF THE UNIVERSE GAVE US THE VAMPS SO LETS ENJOY THE VAMPS",0.3054,41
