,sentiment,wordCount
"""Then a few minutes later he returns"" my ass. He saved one guy at 1:35 and got back to the second at 2:09. Silly, anti-climatic garbage. Music was the only ""exciting"" part. Didn't even mention that they had on life-jackets the whole time. Completely unimpressed.",-0.5095,56
@2:50 why didn't the guy just ride with the jetski all the way instead of getting off early and swim in he was prolly tired at that point.,-0.4404,31
A couper le souffle . Bravo pour le courage des hommes !!!!!!,0.6562,14
"A very nice camera video. I wish we could get more of this camera angles. By the way the work and experience of Everaldo is wonderful.  All of this guys needs a medal, a gold medal for there bravure.",0.9402,44
Agreed!!,0.3987,3
"All I could say throughout the video “oh!” And “wow!” 
This is amazing!!",0.7156,21
"Amazing footage but I think with standard controllers, it is really hard or impossible to catch such a great moments because of controller range. If we want to capture moments like this we should go to Portugal first but then we will need a signal booster like this: https://www.timberleather.com/collections/hobby/products/signal-booster-for-remote-controller-professional-range-extender-for-drones",0.932,52
Amazing work under extreme pressure,0.3818,5
Are you fucking idiot ? Do you even know the danger of drift away in direction of the rocks with absolutely no control of your speed or direction? Do you know how many people have died because of situations like the one of this very video ? Shut yo big ass mouth,-0.9395,53
"As a drone videographer I know how difficult this is. Great job! smooth pans, nice framing, and awesome flying - Not easy! Well done!",0.9369,30
Awesome rescue job!,0.8268,4
Barkarumba..that was close Batman!,0.0,7
Because it’s cool,0.3182,5
"Besides the idiotic message, pun intended, do you really need to be shouting by using all-caps? Please, do learn your netiquette.",-0.3182,26
Boys and their toys,0.0,4
Bravehearts,0.0,1
Bravo boys,0.0,2
Brilliant.,0.5859,2
"Congratulations on the win guys, It's a big deal. BTW Do you know if Is this is Pedro i.imgur.com/AK87SUQ.jpg ?",0.8271,22
Cool job being the jet skiers,0.3182,6
Couldn't pay me enough to be in those waters.,0.0762,10
"DEUS ESTEJA SEMPRE COM VOSCES.
RUI SEBASTIAO",0.0,8
"Damien Newfuna They didn't, the surfer used another jetski",0.0,10
Damn... this some blockbuster shii.. right here.,0.5994,10
Does that jet ski have rocket power ?!  So damn fast !,-0.554,13
Dude was fucking cooking out of that first wave I thought he had it.  Had flashbacks of trying to out run giant sluff avalanches at Snowbird.,0.0,28
Epic,0.0,1
Epic!,0.0,2
Epic!!!,0.0,4
Ese pitter,0.0,2
"F Caveira ...... no problem,  just don't do it again,  or else!",-0.636,15
F Caveira .......riding waves makes humans evolve?.... your hilariously retarded!....I'm pretty sure if every person ever did terribly dangerous shit there would be no human's left to evolve....there is a lot of variables that contribute to evolution......stop smoking crack,-0.807,49
F Caveira 💪,0.0,3
"First off where surfer ate it wasn't very big, maybe triple over head max.  Secondly the first ski operator blew it, lost his line, and flipped on his way in.  Starting to wonder about those ski guys at Nazare just check out Cotton wipeout when a ski guy ""rescued"" Cotton and had a brain freeze by turning around and trying to go back out to sea.  He flipped, and all he had to do was go straight to the beach.  But ski guy in green did his job, rescued surfer and told him to jump early so he could go back and get ski operator.  Most these ski cowboys, who pretend to be watermen, don't even wear helmets.  And ever surfer, if they didn't have waterlogged brains, would be wearing helmets and in bright flourescent suits. Real surfing has no tow in and no jet ski.  This isn't real surfing it's tow in which is REALLY easy, but the wipeout usually are not.",0.424,184
First world problems....,0.0,4
For sure 😵,0.3182,3
