,sentiment,wordCount
"(False Teachers; Heretics; Wolves in Sheep's Clothing):

For certain men have crept in unnoticed,
who long ago 
were marked out 
for this condemnation,
ungodly men,
who turn the grace of our God
into lewdness
and deny the only Lord God
and our Lord Jesus Christ.

(Jude 1:4).

***The Heretics were subtle. Their primary tactics were to pervert God's grace and to deny the authority of the Lord. (Proverbs 1:29)<---Because they hated knowledge And did not choose the fear of the LORD.

***They were clever enough to have infiltrated the Christian community, even though they were ungodly. Jesus anticipated this kind of people when He spoke about wolves in sheep's clothing. (Matthew 7:15)<---Beware of false prophets, which come to you in sheep's clothing, but inwardly they are ravening wolves.

***(Turn the grace of our God into lewdness): The teaching of grace can be dangerous when perverted by false teachers or carnal people who believe that because they have been saved by grace they may live as they please. (Romans 6:1-2)<---What shall we say then? Shall we continue in sin, that grace may abound? God forbid. How shall we, that are dead to sin, live any longer therein?

***(The only Lord God and our Lord Jesus Christ): These false teachers not only lived immorally, they rejected the authority of Christ. The first Greek word translated Lord here means ""Master."" It identifies one who possesses absolute power and thus commands obedience. In the original wording it is clear that the entire statement refers to Christ: Jesus is both our absolute Sovereign and our God.

(False Teachers in the Church):

Likewise also
these filthy dreamers
defile the flesh,
despise authority,
and speak evil of dignities.

(Jude 1:8).

***The false teachers were arrogant and had their own agenda. They had not been commissioned by the church nor called by the Holy Spirit.

***Jude calls these ungodly persons dreamers, perhaps because they claimed divine revelation, but more likely because they denied the Lord and thus were living in an unreal world of deception. They were creating their own false world in which indulging in immorality went hand in hand with salvation.

***(Reject authority, and speak evil of dignitaries): The false teachers even rejected those who were placed in positions of authority in local congregations. They not only preferred error to truth but also demeaned and rejected those who taught the truth.

(More on False Teachers):

But these speak evil
of those things
which they know not:
but what they know naturally,
as brute beasts,
in those things
they corrupt themselves.

(Jude 1:10).

***The false teachers do not know the truth of the gospel. They speak on matters that they don not understand, as natural people and not as spiritual people.

***(1 Corinthians 2:14)<---But the natural man receiveth not the things of the Spirit of God: for they are foolishness unto him: neither can he know them, because they are spiritually discerned.

***They have understanding not of the Spirit of God, but only of what they share in common with the animal world, things far less than God's intent for His human creatures.

(Apostates/False Teachers; Depraved and Doomed):

These are spots in your love feasts, 

(Spots in you love feasts): The people of God had been deceived by people who appeared to be messengers of God but instead were ministers of SATAN. (2 Corinthians 11:4)<---For if one comes and preaches another Jesus whom we have not preached, or you receive a different spirit which you have not received, or a different gospel which you have not accepted, you bear this beautifully. (2 Corinthians 11:13-15)<--For such men are false apostles, deceitful workers, disguising themselves as apostles of Christ. And no wonder, for Satan himself masquerades as an angel of light. Therefore it is not surprising if his servants also masquerade as servants of righteousness, whose end will be according to their deeds). The Greek word of spots may also be translated ""hidden reefs"": It serves as a strong warning to be on guard against deceivers!). 


while they feast with you 
without fear, 

serving only themselves. 

They are clouds without water, 
carried about by the winds; 

late autumn trees without fruit, 

(Clouds without water...trees without fruit): Clouds may look like they will bring rain until the winds blows them away. (Proverbs 25:14)<---Whoso boasteth himself of a false gift is like clouds and wind without rain). Trees may look productive until autumn arrives, the time for fruit to be picked. The ministers of Satan promise spiritual growth but do not satisfy the hunger of God's people for the truth. They talk about God but are truly godless). 

twice dead, 
pulled up by the roots;

Raging waves of the sea, 
foaming up their own shame; 

wandering stars, 

(Raging waves...foaming...wandering stars): These godless people put on a great show but lacked any substance. They boasted of liberty but placed the people of God in bondage to ""SIN!"" (2 Peter 2:19)<---They promise them freedom, while they themselves are slaves to corruption. For a man is a slave to whatever has overcome him). After they had done their evil deeds and made their profits, they, like wandering stars, moves on to other places to exploit God's people again). 

for whom is reserved 
the blackness of darkness 
forever. 

(Darkness forever): These deceivers might not be punished for their evil deeds in this world, and their true character and deeds might fail to be discovered by Christians, but their punishment is certain!). 

(Jude 1:12-13).",0.9823,1130
"*_Back Home Again Jim, R.I.P._*",0.0,14
17k views number 36 trending... how?,0.0772,8
@gordy threehorses  I hope all your children are homosexuals,0.4404,9
"A few years ago, I bought the The Andy Griffith Show series on dvd. I will admit, at first, I  really didn't care for the Gomer Pyle character that Jim Nabors played.As I revisited these episodes however, I came to realize what an incredible comedic talent Mr. Nabors was.I remember the second time I watched the Gomer Pyle USMC pilot (which was an episode of The Andy Griffith Show) and absolutely loving it.I recently purchased the Gomer Pyle USMC series and I am currently making my way through it.I am very saddened to hear of Mr. Nabors passing.",0.5985,114
A magnificent voice silenced!!!  RIP Jim!!!!!!!!!,0.7243,12
"A very warm and friendly guy to be around. Thanks for all the laughs Jim, we'll all miss you so dearly. RIP",0.9224,25
Again. Who?,0.0,4
All these screens simulate lives that no longer take place...,-0.296,11
And much prayers from Formula 1,0.0,6
