,sentiment,wordCount
*who is here to subscribe me !! those who are not hit like **#i** am pretty popular*,0.3968,25
1:00 she's checking out the D?,0.0,7
"2 views 279 likes 




Seems legit",0.4215,6
"47? My goodness. Shemar, you black is faaarr away from cracking. And your mom sure made one pretty baby.",0.8176,24
Ashley Crystal that would not be hard,0.0762,7
At least now upload BTS!,0.0,6
BABYBOY,0.0,1
BTW VOTE MAMA GUYS,0.0,4
Black people are.. people.  Not very Black perso r  the same. Like every people in this world. Or else we could say every white people are mutt like you,0.6124,33
Black people have no humility.,-0.296,6
Brandon Brigman He's not sexy at all.,-0.4168,8
Cabbage Lettuce Hey  cunt face a thought for you.vainity and happiness can never live togther.Each day you grow older.Tne time will come when you look in the mirror and your face is old.My spirit will be there laughing at you.Wait little cunt.On my death bed I  curse you.Stupid little cunt you never know who you piss off.See you in time.,-0.8288,61
"Cabbage Lettuce No yoh didn't that doesn''t mean you're still the most hateful l cunting whore.Just remember in time in time,",-0.6901,22
Cabbage Lettuce Now that I've thought about it maybe someone needs some cash.Remember when you said blah blah blah will I feel verbally raped pay up bitch. Just saying..,-0.9001,31
Cabbage Lettuce What a kind person you are thank reminding what bad shape I'm in.I'm in the hospital on I.V.pain meds.I apologize for being terminally ill must be wonderful to have life everlasting that explains your arrogant condescending naricissiit personallity.That must make you feel really good.I bet your few friends think what a cunt you are fuck off,-0.4767,64
"Celebrities: 47 years old still looking young
Me: 39 years white hair fat stomach ohh and dont forget the remote lol",0.5371,23
"Djskuxx celebrities live in a parallel universe, we live in the regular one (:",0.4939,15
DungForever agree! :),0.6996,4
Evidently humility isn't sexy in this world look at me look at me look at me me me me me me look at me look at me enough about me let's talk about you what do you think of me?,-0.4168,41
"Famous Or Not, Cut my Hair Like That And YOU'RE GONE!!",0.2462,14
"Felicity Smoak , he’s white!",0.0,8
"Felicity Smoak I love Blake, but Baked Shellfish had me dying laughing ahaha",0.7845,14
Felicity Smoak illuminati,0.0,3
Felicity Smoak lmfaooo baked shellfish,0.0,5
Franz I'm a woman but seriously these days it's highly possible,-0.2617,11
Fuck this ugly chick. Her boyfriend is ugly aswell.,-0.8779,11
Fucking celebrities.,0.0,3
"Go away, you make army look annoying.",-0.4019,9
HE IS HOW OLD?!?!?! 47?!?!?!?!?,0.0,20
HE'S 47!?!??!,0.0,8
Ha ha ha Shemar Moore :-D,0.8816,6
"Hani I don't know a girlfriend back in my college days would say it.""I felted raped the way he looked at me I just thought of her.",-0.6808,31
He is known from criminal minds everyone. Now he’s in SWAT,-0.5267,14
He isn't thirsty for likes the woman is ugly,-0.684,9
He looks like a white guy in black face lol,0.6486,10
He's a hunny,0.0,3
He's blessed my eyes,0.5994,4
He's sexier than Idris Elba.,0.0,6
Hedy Lamarr i though he was 54,0.0,7
Hello James,0.0,2
He’s quite sexy,0.5709,5
