,sentiment,wordCount
#mee too! Why didn’t anyone come out with this before,0.0,13
*NEW* GOLD CURRY SHOES ON MY CHANNEL!!!🔥,0.0,13
"*i had such a horrible day at work, thank you for always making me smile ingrid! i hope i can work hard through my videos and meet you one day ! please keep making videos and making people smile ! :)*",0.826,45
*shit.....I wished I had a body suit body*,0.0,12
.......do people actually NOT wear underwear under body suits...?,0.0,12
4 ways to dislike a video that doesn't belong on trending.,-0.3818,12
"4 ways to wear a body suit, of which, 3 of them imitate a black t-shirt",0.0,18
Adorable! Lol,0.7424,3
"All this talk of crotch snaps, you could at least show them. smh.",-0.3182,16
Arriana Lee-Page Not really people enjoy doing this it’s fun,0.7769,12
"Attention ladies! If you want to lose an extra 20lbs+ before Christmas, Then you gotta try adding this Super-Fruit to your diet: https://docs.google.com/document/d/1qOzAL5i5gvVmUSinZmxOmKAIQzn5jpybq9D4ojQ7rmQ/edit?usp=sharing",-0.4003,27
Awesome 👏,0.6249,2
"Body suits are so not trending, I am looking for good ones and it's a complete nightmare to find one in the UK, and when I found one it's lacy and super expensive. No. I want a basic one.",0.7096,44
Bodysuits are not my style but if I did wear one I would definitely wear underwear under mine for sure,0.7579,20
Boring 😴,-0.3182,2
Came from fousey,0.0,3
Could you please put the link for your body suit here? also the velvet jacket? Thanks.,0.6767,19
Didn't even realise that wearing underwear underneath a bodysuit was considered abnormal,0.0,12
Do one with a flannel shirt? Or maybe with a dress of some kind,0.5267,15
Does anybody know of stores that sell body suits for plus size girls? 😋,0.0,15
Garbage,0.0,1
Giirrrlll did you pay money to be viewed on trending? Cus idk how the hech this is trending ... lmfao,0.4019,21
"Girl, your not alone. I do that too 😊👍🏼",0.1877,13
Great vid. You're super cute omg,0.9001,7
Great video Ingrid. I love all the outfits. More videos like this please.,0.9288,16
HOW👏🏻DO👏🏻YOU👏🏻CURL👏🏻YOUR👏🏻HAIR👏🏻,0.0,18
Haven't worn bodysuits since I was a child.  HAD NO IDEA THEY MAKE THEM NOW WITHOUT CROTCH SNAPS!!  The horror.  Can't see myself doing them as an adult since my bladder has no pause button 😂,-0.819,40
Hey everyone I’m doing a giveaway all you have to do is subscribe and comment your favorite store at the mall!!!,0.5962,26
"Hi Ingrid, I am looking through some charity groups for LGBTQ community to donate, and wondering if you know any of them who do good work. Any recommendation? Thanks!",0.8356,34
"Hi Ingrid, if you don't mind me asking if you wouldn't mind making more of ur routine videos like your old ones (UPDATED)..I miss the style of your  old videos...",0.2263,36
"Hi Ingrid, what kind of camera are u using? it's so beautiful!!!",0.7825,17
How are you tending and barely any views in 2 days ??? YOUTUBE FAVORITISM,0.4539,16
How is this better or different than wearing a black t-shirt? Aside from the obvious wedgies and feeling like you’re having your diaper changed when you unsnap to go to the bathroom...,0.7488,36
How many times did she say crotch,0.0,7
I ALWAYS wear underwear underneath my bodysuit 😂😂,0.0,9
I actually forgot you existed,0.0,5
I actually prefer if they dont have snaps because its so hard to maneuver to resnap them. Also I just pull it and my underwear to the side to pee lol just me?,0.2344,35
"I also use underwear with my bodysuite, I thought it was supposed to be used with underware",0.0,18
I always wear underwear with my bodysuit.,0.0,8
I basically live in body suits and I would never ever wear them without underwear! It would be very uncomfortable....you’re not weird.:),0.0,29
"I bet I know why she got on trending so quickly. It's because the woman she's dating is Erica Anderson, who works for Google News, and you know how Google acquired Youtube...",0.0,36
I didn't know you COULD wear a bodysuit without underwear 😂 A line skirts for Fashion Fourplay?,0.0,18
I didn't think not wearing underwear under bodysuits was a thing :/,-0.34,12
I didnt know it was a thing to not wear underwear........what?😂,0.0,15
I do it too Ingrid​!! you are not alone lol😂,0.3235,14
I do the same. I didn’t know that people didn’t wear anything underneath :-),0.3182,19
I do!,0.0,3
I feel creepy. Ami the only lesbian who has a crush on Ingrid?😍,-0.1531,16
