,sentiment,wordCount
"""Mixed Herbs""....Resident Evil detected?? :v",-0.6966,12
#geniusgoals,0.0,1
*I love that he cares about animals but not food*,0.5574,12
*It's nice to see dolan dark and howtobasic collab!*,0.4753,12
"0:13 ~ 1:14

But it took 1 minute..",0.0,9
1:15 I’m I the only one who thought this part was adorable,0.4939,14
1:15 ahahah,0.0,2
"1:16 Huh?
1:18 *Gasp* DUCK",0.0,8
1:17 so cuteeeeeeee,0.0,3
1:26 for a 0:30 video?,0.0,6
39 seconds,0.0,2
;-;,0.0,3
A beautiful trick huh?  (In the desc),0.5719,10
Afroza Ahmed,0.0,2
"An ak that shoots eggs,did u buy that from Amazon",0.1779,12
And that's how you dry a shirt,0.0,7
Are you rich? You broken anything since 2013,0.128,9
Aww,0.0,1
Bake on high for 3 hours...,0.0,7
Bake on high for 3 hours” 😂😂😂😂,0.0,10
BeaUTIFUL,0.5994,1
Biggest shit,-0.5574,2
But this was one minute..,0.0,6
CLICKBAIT IT TOOK 30.000000001 SECONDS TO DRY THE SHIRT!!,0.0,11
Cade os br,0.0,3
"Clickbait



Video said 30 seconds even though this video is actually 1:27 minutes.",0.0,14
"Clickbait.

This took longer than 30 sec.",0.0,9
DUCKY,0.0,1
Damn! Didnt make it in 30 sec. :/,-0.6588,10
Depresi berat ni orang,0.0,4
"Did anyone noticed the logic?
Video name: How to dry a T-Shirt in 30 seconds
Video time: 1:27",0.0,21
"Dkfjvmfjfjvckddkfkd@gmail.com Dkfjvmfjfjvckddkfkd@gmail.com Dkfjvmfjfjvckddkfkd@gmail.com 2018 2019 2020 2021
 Dkfjvmfjfjvckddkfkd@gmail.com",0.0,8
Do you just go to the grocery store and buy 40 dozen eggs at once. What does the cashier do,0.0,21
"Don't keep this incredibly useful life hack to yourself! SHARE IT:

TWEET IT► https://ctt.ec/89bMT 
EGGBOOK IT► http://bit.ly/ShirtDryLifeHack",0.752,21
"Dry in 30 seconds 





Bake 3 hours",0.0,7
Ducky,0.0,1
Dude did you really break the microwave door while it was Running? :D,0.6166,14
Egg 47,0.0,2
Egg Abuse,-0.6369,2
Eggs are everything,0.0,3
Everything is fine until you give him eggs and spare time.,0.2023,12
"Everything was perfectly normal

Until *Red Bull*",0.6369,9
Fuck in video it used worst,-0.8225,6
God you have a loot of fun in you. Do you can do another video plz???,0.7383,20
GracoX Games,0.0,2
Guy’s favorite food = an egg,0.4588,8
HE ACTUALLY COOKED IT IN THE OVEN,0.0,7
HE RELY LIKES EGGS,0.4215,4
HOW MANY EGGS DOES THIS MAN HAVE!,0.0,8
"He hates eggs 




Or love them",0.3182,6
He is using aimbot,0.0,4
Help pls help! It doesn't work.,0.7177,8
Holy shit! Was that an EGG-47?,-0.5983,10
How do you get the quad,0.0,6
How to dry in 30 sec. Bake for 3h.,0.0,11
"How to dry t-shirt in 30 sec 
BAKE IT FOR 3 HOURS",0.0,12
How to make Humpty Dumpty,0.0,5
"How to make a mess,",-0.3612,6
"How to recognize HowToBasic

1.they buy ludicrous amounts of eggs
2. They’re a grown man buying baby dolls
3. They’re  Australian
4: They repeatedly buy furniture and household items",-0.3612,36
HowToBasic,0.0,1
HowToBasic I don’t like clickbait. This is 1:27!,0.4199,12
HowToBasic but it is not 30 seconds tho,0.0,8
"HowToBasic du kranker hurensohn, ich will nicht wissen wie oft du vom Wickeltisch gefallen bist",0.0,16
HowToBasic mal,0.0,2
HowToBasic qq,-0.4939,2
HowToBasic that would be so selfish,-0.6113,6
HowToBasic ugh it didn't work 😐,-0.4215,6
HowToBasic youtube promess scisors.... Xj,0.0,6
I AM DEAD I HAVE NOTHING TO SEE,-0.6486,8
I WANT TO KNOW WERE THE HELL THAT CHICKEN CAME FROM,-0.6486,11
I burned down my house... What a great tutorial!,0.6588,11
"I did eggsactly what u did and it worked, my only complaint is that it took to long",-0.296,19
I died when I saw the duck,-0.5574,7
I feel so bad for the duck 😱,-0.5849,8
I like the duck,0.3612,4
I really wouldn’t be surprised if that shirt was Gucci,0.2878,12
I think it might be just me seeing things but his nails kind of look like acrylic nails,0.5023,18
I think that was more than 30 seconds.,0.0,9
"I thought we’re drying a shirt, not cooking it",0.0,12
I was looking for a quick way to dry my shirt but by the time I saw the channel name it was already too late,0.0,25
I wonder how did you miss all those bullets...,-0.1531,10
"IT WORKED  




MY ASS GOT BEAT",-0.5423,6
IT WORKED!!!,0.0,5
