,sentiment,wordCount
#lovelylegend Selena Gomez) She deserves more,0.0,7
#selenator for ever♡,0.0,4
#selenatores,0.0,1
*SHE IS THE MOST HUMBLE AND LOVING CELEB I'VE EVER SEEM AND HEARD IN MY ENTIRE LIFE.🧡💛*,0.6326,22
2018?,0.0,2
4.6k dislikes what the fuck,-0.7351,6
A lot of people suffer on daily basis with diseases.Only rich and famous get an award for it.,0.5574,19
All she did in 2017 is have her surgery and she gets a whole ass award for that,0.0,18
An angel... No more words 💕,-0.296,7
"Are you guys total idiots? Francia Raisa deserve  this award MORE than Selena! And I am not hating Selena, not saying that Selena is bad. I wish her all the best, happiness and health! But if you compare the two of them, what they did...wtf!? Can you even imagine what is like to risk your life to save another life? Without getting anything ?! Can you imagine what is like to give part of organs you need to another person? To put yourself into risk? You lack common biology knowledge and you are total ignorant. Don't know who is voting, I don't even want to know. The ones who voted or selected Selena not Raisa are fucking idiots, who care only about money and fame. What Frainca did is heroic, but obviously your stupid minds would never understand it. I wish the both girls all the best! No matter of this award- the two of them are much better humans than the idiots who stand behind the choice of this award.",0.9882,196
Ariana deserved not that whore who need justin or the weeknd dick for being famous,0.0366,15
At least no Bruce Jenner,-0.296,5
Awesome,0.6249,1
"Awww love her so much 
#selenator",0.6369,6
BEAUTIFUL inside & out,0.6841,4
Congrats Selena,0.5267,2
"Congratulations, your speech made me really cry, it was very inspiring.😃😭",0.1298,16
Crying so hard 😢😭 You go Selena ❤️,-0.5849,10
Cute and beautiful!!💟💟💟,0.555,8
Don’t Cry Selina,-0.4767,5
Drama Queen,0.0,2
Ella es tan tan tan HERMOSA mi bebé,0.0,8
Everyone relevant getting some crazy sh&t awards! Hope she uses it as a door stopper or to persuade a burglar!,0.6229,24
Everything about her is just so amazing,0.7065,7
Everytime she cries I cry 😭😭,-0.7003,7
Fake ass cunt. Always fucking crying.,-0.9216,8
Forever❤️,0.0,3
Fuck Selena give that organ back to me you took.,-0.5423,11
Fuck dama girl she is everytime crying,-0.765,7
Fuck you too bitch,-0.8074,4
Girl you deserve it ❤️😍❤️❤️❤️❤️,0.0,15
H,0.0,1
"Honestly I cried my ass off !
Love you all",0.3382,10
"I  love ❤😘 her so much. And can't describe respect in words, for her. She 👧 is so humble and sweet😍. I had never seen any Girl 🙆 like ❤ her in my whole life. Genuinely, she is so so so strong 💪 and have a very kind- heart 💜❤. I love and respect her from the bottom of my heart ❤🖤💖. Selena 😍😍😘. I pray 🙌👏🙏🙇 from Lord 😇🙏👼 to always keep you happy and healthy 🙂🙂. Her songs 🎧🎶🎤🎵 are like drugs, means her each and every single song is like addiction. I can't stop listening to her songs 🎧🎶🎤🎵. And waiting very badly for her next epic album as she said that she will make a next epic album for us 😍😍😍😍😍.",0.979,161
I LOVE HERRRRRR,0.6369,3
I am so proud of you Selena. You have been truly an inspiration. God bless you girl,0.9273,19
I balled 😢😭😭,0.0,5
I cried,-0.3818,2
I cried so hard,-0.5095,4
I have Lupus and it is a life threatening disease it affects your whole body SLE god bless you selena and all of my Lupie Sisters or anyone fighting and autoimmune disease! love and hugs xoxoxox,0.7712,37
I have loved selena all my life god bless her and Francia. Selenators!!,0.855,16
I love Selena Gomez,0.6369,4
I love Selena sooooo much she deserves this award but I want demi to have this award demi is soo good,0.9446,21
I love her,0.6369,3
I love her she deserves it,0.6369,6
I love her slim body and her cute face,0.802,9
I love her so much 😘😘selena I love you 😍,0.8555,12
I love her so much... ❤,0.6369,7
I love her soo much,0.6369,5
