,sentiment,wordCount
"""If you could relate yourself to a kitchen utensil, what would you be and why?""",0.0,19
"""No, these ingredients are too expensive to show you guys how to ruin a macaron recipe"" 😂😂😂",-0.5859,22
+Fuentes right back at you!,0.0,7
+L C didn’t think so.,0.0,9
+L C what on earth are you talking about.,0.0,11
+Monica Ankala no lol. Use your imagination.,0.1531,10
+Stephini Jars yass henty!,0.0,6
+The Rose Quartz Universe Fan I don’t have failed footage.,-0.25,14
+YamiYami17 for you.,0.0,6
+baba BZNZ sashay away,0.0,5
+derek harms ask me how many F###s I have to give about what you think of my appearance? I think you know the answer.,-0.4939,31
+derek harms lovely. Love the backhanded compliments. 👋🏼,0.8176,12
+itsonlyada I’m not about showing people how to do things the incorrect way. I’m about showing them how to do it the easy and correct way.,0.4404,33
+unique young no problem 👍🏼,-0.5994,7
+unique young you make a video of dos and donts. I’ll stick to doing what I like on my own channel 👍🏼,0.3612,27
...makeup is expensive & plenty of youtubers go on to show what you shouldn't do &/or how to fix.,0.0,23
"1. United States 🇺🇸
2. Fall/Autumn 🍂
3. The clothes, shoes, food and weather",0.4215,22
"Ahhh thanks for reading my comment, I’m screaming!! My name is username is Kimizuru 💗 I like the idea of using jelly in the middle of the macarons 🍑",0.5242,34
"Another fantastic recipe!  Thanks, Nick !",0.7955,8
Are you gay?,0.0,4
Ask what our favourite food is,0.0,6
BEEN WAITING FOR THIS VIDEO FOREVER! YAY 😍😍😍☺️❤️❤️🍑🍑🍑,0.6625,20
Beautiful!,0.636,2
Biggest fan from South Africa 🌸🌸,0.3182,7
CONGRATULATIONS ON MAKING TO NUMBER 31 ON TRENDING,0.7695,8
Can you make blueberry flavored macarons?,0.0,7
Can you make starfruit macrons please,0.3182,6
Can you please make Sonic the Hedgehog cupcakes?,0.3182,9
Can you ship some of those to the states? Philadelphia to be exact?!?,0.0,17
Can't even pronounce Macarons right...,0.0,6
Charismatic That does sound pretty cool tbh. I’m torn *^*,0.5423,15
"CharmingKrista what about the power to refill? I know it sounds lame but think about it, you wouldn’t need to swallow swords for money, just get any amount of money and keep on reusing it once it’s gone. Same goes for food, beverages, gas etc. Best super power hell yeah lo",0.7684,62
Cheese and peanut butter,0.0,4
Chicken nugget macarons,0.0,3
Christmas themed macarons,0.0,3
Cutest macaroons I've laid my eyes on!!😍😍,0.658,11
Deepthi Madabushi oh awesome ! All the best for the future x x,0.8622,13
Delicious!,0.6114,2
Do anyone ever make his stuff?,0.0,7
Do cherry cherry boom boom Macaroons,0.0,6
Do u eat all the macaroons after each video ?,0.0,10
Do you think a hollow macaron is bad (or not correct)? Somebody said that macaron shouldn't be like that. But my macarons are always hollow and they are still taste good and pretty.,0.1255,38
Does leaving the whipped egg whites alone for about an hour cause it to deflate faster? Mine deflated too fast before I even finished mixing it through so mine was too thin n didn't rise,-0.25,36
Emma Tesnjak fried potatoes and rice!,0.0,7
Emma Tesnjak strawberries sour cream and brown sugar,0.0,8
Faggots,-0.6369,1
Fanstachetic I never said change them I said make the. more affordable. he could definitely make a video like that the do's and  dont's using affordable ingredients,0.6369,29
Favorite dessert dish!,0.5093,4
Favorite holiday treat😋,0.6908,4
"From make up faggots to cooking faggots, wp YouTube...",-0.8126,11
Georgia Kyd thank you !!,0.4738,6
Gingerbread macaroons 😍,0.0,3
Glad you agree.,0.6705,4
HALLELUJAH THANK YOU FOR FINALLY DOING SOMETHING PEACH!,0.7777,9
HOW DO YOU TAKE SUCH AMAZING PICTURES OF YOUR TREATS OMG,0.5859,11
