,sentiment,wordCount
"""Bad boy"" dance practice please",-0.296,7
"""Let's all wear white shirts and not tell Yeri""",0.0,11
#HappyYeriDay <3 damn my queen grew so well,0.4481,8
*0:30** PEEK-A-POO!*,0.0,7
"*Daily Reminders*
Things to do for ""Bad Boy"":
1.) STREAM BAD BOY (All Korean Music Platforms, Spotify, Itunes, Youtube) 
2.) BUY THE REPACKAGE ALBUM PHYSICAL & DIGITAL
3.) VOTE FOR RV ON MUSIC SHOWS/AWARDS
4.) SUPPORT RED VELVET! 💪💞

#RedVelvet 
#BadBoy 
#ThePerfectRedVelvet 
#레드벨벳 
@RVsmtown",-0.68,66
*Reciclar es bueno decían*,0.0,6
*So is no one gonna talk about how Irene’s glasses were still hanging on her shirt throughout the whole dance? I stan a true talent wow*,0.5267,31
"*To all armys*
are you guys really living in a bts nutshell? I am army too but the ""gogo"" dance you guys referring to is already popular in korea before go go and even before bts make it as a second trend. ""Backpack kid"" invented the dance move, not bts. :/ and nothing wrong with RV use that move,  they slayed 💕",0.862,73
*_Someone help me to find my wig_*,0.4019,10
"*informarse antes de comentar estupideces es bueno, decian*",0.0,11
*irene* ❤❤❤❤❤,0.0,6
*sm i need zoo dance practice hshdjsjjs*,0.0,9
*wendy* 💖💖💖,0.0,6
00:31 ?????거울 뒤에...,0.0,7
01:36 - 01:38 shall we dance block b 😏😏,-0.4404,10
01:39 oh.my.god lol,0.4215,3
0:21,0.0,1
"0:30-0:33 behind the glass there is a woman,You see that ??",0.0,15
0:31 creepy look at the right far end at the mirrors edge,0.0,12
0:31에 오른쪽 뒤에 보면 누가 왔다가요,0.0,7
0:32초에 거울 옆에서 누구 나옴,0.0,6
0:33,0.0,1
1:17 😂💓,0.0,3
"1:38 어디서 봤던안무다★★
예쁘다♡레드벨벳♥",0.0,9
1:39,0.0,1
1:39 @bts gogo choreo,0.0,4
1:40 LOL BACKPACK KID,0.5473,4
1:40 bts choreography...?,0.0,5
1分40秒くらいのところ防弾少年団のgo-goと踊りいっしょ！,0.0,4
2:00 damnnnnn seulgi lol,0.4215,4
2:02 Baekhyun?,0.0,3
2:02 that guy sounds like baekhyun???,0.466,9
2:18 SOOYOUNG'S BACKGROUND NOTES DO Y'ALL HEAR ME SCREAMING,-0.516,9
2:25 yerimm 💖,0.0,3
"2:35    수영언니 하하핳ㅎ너무 귀여우셔 😍
겁나 자연스럽고!!

2:35 2:35 2:35 2:35 2:35 2:35 2:35 2:35 2:35 2:35 2:35 2:35
2:35 2:35 2:35 2:35 2:35 2:35",0.0,27
2:35 haha joy... so cute !!!,0.8003,9
2:36 joy has mistake....but its nice💋,0.5859,9
2:37  joy,0.5859,2
2:37 lol joy,0.765,3
2:37 초때실수했다 그레도 너무예뻐용,0.0,4
2:37초 조이 실숰ㅋㅋ귀여웤ㅋㅋ,0.0,4
"30 minute -33
have something",0.0,6
80's vibe,0.0,4
Althea Lee me,0.0,3
Ano un parang may sumilip na puting mukha sa gilid nila tapos naka itim,0.0,14
Asha Soor well Irene is smoll 😂,0.2732,7
BABY YERIM IS GROWING SO MUCHH,0.1779,6
Baby Angel haha yeah ik i just thought it was cute how they both used it in their dances,0.802,19
Bad boy to please😥😥,-0.5423,6
Best dance ever!,0.6696,4
Beth Galicia and her face is really white tho........,0.0,10
But I do think she should apologize.,0.1027,8
Can we appreciate Joy for not tripping over her shoe laces?,0.7579,12
Carmen AC No no It is Wendy,-0.5267,7
Carmen AC Oh my god.. sorry,-0.0772,7
Carmen AC Thank you😍,0.3612,5
"Clarie Decino Nope, the one you are talking about is the iconic cloud room of sm 😊",0.0,18
Daebak!,0.0,2
Did Someone Know That this is an MAGIC DANCE??,0.0,11
Did anyone see the girl behind the speaker at 0:32 I didn’t notice it at first,0.0,18
Every RV member became Main Dancer in this practice video 😂😍,0.0,12
"Forever Red Velvet
Forever ReVeluv",0.0,5
"GOT7 AND REDVELVET LOOK ........
I DEAD",-0.7213,8
"GucciTae lmao that move was made 3 years ago, became popular last year when the so called ""Backpack kid"" did it! Bts did not create that dance!",0.7558,32
Guys help i dont know what album of red velvet should i get i only have a budget of 20$,0.4019,21
Honey Lab LMAOOOO😂😂😂,0.0,6
How many practice studio that SM have?,0.0,8
"I CORRECT MYSELF, IT WORKS TOO PERFECTLY WITH FINESSE FT CARDI B",0.6369,13
"I can't believe ARMYs actually thought that BTS ""invented "" the Flossing Dance move😂😂. It was already a trend even before  BTS included it into their choreography. Ignorance is indeed bliss😂",-0.3612,37
I can't believe I am a gay,0.0,7
I had to watch this multiple times to focus on eaach member <3,0.4404,13
I like seul gi but can stop looking joy 💘💘💕,0.631,12
"I love their dance practise. I hope sm release bad boy too..  btw, I can't stop watch this video. Their dance make me smile.. this video prove that RV full of talents . :*

*dancepractise Badboy juseyooo",0.8998,44
I really want Seungwan’s shirt and Yerim’s sweater 😭👌,0.1513,14
I stan a talented woman with amazing superpowers. So gay for bae,0.7964,13
"I thought it was going to be red velvet dancing on got7 ""look mv""😑💔",0.0,19
I ♡ RV,0.0,3
IRENEEEE <3,0.4404,2
Irene ♥,0.0,2
Irenesus is killing the dance game,-0.6597,6
Irene’s glasses slays,0.0,5
Is it me or did Yeri perform the best during this rehearsal,0.6369,12
Is this the room where sungjae surprised rv? 😥,0.2263,10
"It's pretty impressive how they all have improve.
Seulgi and IRene always were great dancers, but now Yeri, Wendy and Joy are also incredibly good.
With every comeback RV is improving greatly.",0.968,37
"I’m an army I saw a post on Twitter about some army saying red velvet copied BTS, which isn’t true since this choreography was probably made back in summer at that time go go wasn’t a thing I’m sorry about those immature armys commenting stuff like that please don’t hate on them just explain to them since most are 8 years old (I know that since I have seen them in other videos commenting about their age) I hope they learn from their mistakes",0.4588,97
"Joy is queen fancam of Red Velvet 💚
Joy is the tallest member of Red Velvet💚
Joy is sweet vocal of Red Velvet💚
Joy is the cutest member of Red Velvet💚
Joy - queen sexy of Red Velvet
Joy looks like a model💚
JOY LEGEND 💚
HOT JOY 💚
JOY also a actress too 💚
And Joy has a husband is SungJae (Byuu Couple)💚🦊
💚JOY'S RULE's💚",0.9951,76
Joy messing up at the end was so cute,0.8256,9
Joy 💕,0.5859,2
Joy's cute little mistake 😍,0.2247,5
"Joy's mistake, don't worry thats common.",0.0015,8
Joy❤️,0.0,3
"Kenapa si pada komplain tentang gg yang dianak tiriin dan bawa-bawa bg??? Ini 2018 cuy sadar gak si bg atau pun gg dikasih kelebihan masing-masing dari sm? Sm ngasih bg kesempatan yang gak bisa didapet gg, begitu pun sebaliknya. Mereka sama-sama dapet perlakuan adil dan sama rata lewat cara yang beda-beda. So can you guys just be grateful for once? Please?",0.897,70
Let's all wear white top and black legings and don't tell yeri 😂😢,0.2023,14
Look at joy. She's got a model's body 💙,0.5859,10
Lucy Sosa did someone did a vid where finnese is the song?,0.0,13
"Magic Choreo for this dance practice, this is lit, must watch. Salute to the owner of the vid. https://youtu.be/Ay3p5eEaDr0",0.0,23
Magic Dance Red Velvet https://youtu.be/-jtUXrdoEZU,0.0,5
Me encanta red velvet 😘,0.0,5
Muito bom_^,0.0,4
Musiknya bikin gw keinget lagu i know u know produce 101,0.0,11
My eyes are blessed,0.5994,4
Nafas CHANBAEK MOM woww how did u know this? but yea that voice is so him😂,0.0,18
Neon queen Yves olef the red album,0.0,7
No one can say that their dance is easy. It takes a lot of energy,0.4215,16
"No. Really. Wendy's supposed to be the worst dancer in the group? 

Am I blind? 

Her dancing is LIT 💃 💃 💃",-0.8541,26
"OMG DID YOU SEE THE GIRL IN 0:31???? BEHING THE TALL SPEAKER, THATS CREEPY :<<<",0.0,22
ON REPEAT!!!,0.0,5
OOF THEIR DANCE MOVES ARE SO SHARP,0.0,7
Omg!! I truly love the dance!!!!,0.8507,11
Perfect red velvet,0.5719,3
"Pls release ""You better know dance practice"" for god's sake",0.4939,12
QUEENS,0.0,1
READY TO SAY TO THE WORLD THAT RED VELVET SLAYED!,0.4199,11
RED VELVET IS GOOD AT EVERYTHING 🖤,0.4404,7
Red Velvet Dance Magic 😇😇😇😇,0.0,7
"Red Velvet Wendy singing Fly (Nicki Minaj)
https://youtu.be/reYWTd4cYi4",0.0,10
Reveluv LOL IKR,0.5473,3
SEULGI WAS BORN TO DANCE,0.0,5
SLAY MY QUEENS,0.0,3
"SM got new practice room
but i love the old one with sky landscape at the back 
it's great old k-pop era for me thought ❤️❤️❤️",0.9253,31
SM music is another level and I like this🔥,0.3612,10
Setya Vifyana i know u know kan emang producer exo makanya demo nya diisi sama kai,0.0,16
Seulgi makes everyone else look average.,0.0,7
Seulgi omg,0.0,2
Seulgi slaying as always,0.0,4
Seulgi was one of a hell great dancer in kpop industry!,-0.2003,12
Seulgi you'r the best!!!,0.7249,7
Seulgi’s legs looks so strong,0.6418,7
Seulgi🎉🎉🎉,0.0,4
Shammone!,0.0,2
So amAZING!!!!!!😢😢😀😇😇😇😍😍😘😚😚,0.0,16
"So like is no one going to talk about the part they cut out which wendy usually sings ""it's not dangerous believe in my eyes"" where is goes kind of slow. that's my favorite part I wish they didn't cut it out",0.6579,45
Song is catchy and dance is cute 💙  but I'm seeing some dna and go-go moves here...lol 😂,0.25,20
Such an amazing song to bop to! 😍,0.6239,9
THEY ARE IMPERFECTLY BEAUTIFUL,0.5994,4
THIS WORKS WITH LITERALLY ANYTHING,0.0,5
The only bad thing about this is that it's NOT THE WHOLE SONG wah,-0.5423,14
Their like floating! So smooth..😊😊❤❤,0.4199,11
There should be a video on how many times they spin it will get faster 😂,0.0,16
There's a head in the mirror 0:32 just look carefully,0.128,10
They're so amazing... all of them... so talented !! Love them 💕,0.8831,15
This song has a very 80’s feel that I really like,0.4201,13
Those dance moves reminds me of SNSD moves. They really have them vibes,0.0,14
"Ugh Yeri, Wendy and Irene really snapped here. Yeri needs more solo time with choreo as in give her parts that have you focusing on her like they do with seulrene. Irene is great on her feet, she is quick and is used to run around to get into formation which is she always in the center and edge. She can easily hit the steps very quickly and gracefully so clear as to why she is the lead dancer, she can hold her own in comparison to miss seulgi. Now wendy???? Wendy snapped severely. This is the kind of choreo they need to do more. Wendy is very in touch with her body like she can dance, she just struggles with some steps. She is very fluid as you can tell and good with moving her entire body. Quicker steps with hand movements and feet bother her more but she did amazingly here.",0.8236,169
Visuals and talented red velvet!!!😍😍😍,0.6341,11
WENDYYYYYYYYY,0.0,1
"Wendy should get fat again so she can humble herself and quit making racist stereotypical ""imitations"" of black people.",-0.6124,22
Wendy though,0.0,2
What is the chorus of this song?,0.0,8
"Whoever said that Wendy can't dance..
Your mom's a hoe.",0.0,12
Why r they so far away *sad face*,0.0,10
YERI IS AN ADORABLE MUFFIN ESPECIALLY W THOSE CLOTHES BUT FUCK SLAY ME WITH THEM MOVES GIRL,-0.5647,17
"Yeri has improved so much. I can't deal. Flip, I think her dancing was the best. :O",0.7325,22
Yeri is the only wearing black. That means soon shes gonna be kicked out,0.0,15
Yerii😍😍😍😍,0.0,4
You making that comment does not make you any better.,0.4404,11
Zoo 안무영상도 풀어주세요ㅠㅠㅠㅠ,0.0,3
_So proud of stanning a right group_,0.4767,8
and there are still people who think Wendy is a bad dancer?,-0.5423,13
any seulgi stan?,0.0,4
"buena canción, se escucha machin en mi auto... saludos",0.0,11
bwa bwa bwa... happy streaming i hope we can reach 15M at the end of the year,0.7717,18
eljaydl thank you😍,0.3612,4
finally someone says that is the backpack kid coreography..,0.0,10
good,0.4404,1
haha,0.4588,1
hmm by the speakers at 0:31. who else saw that?,0.0,12
