,sentiment,wordCount
""" it feels fake"" oh my god that sentence touched me deep!!!and opened my eyes.",-0.3769,21
"""but I like cake..."" same girl same.",0.5023,11
$17 for a salad? WHERE,0.0,7
* BRAGGS ACV*,0.0,4
*watches this while eating Doritos*,0.0,7
1 glas of water- 2 tbsp of apple cider ?,0.0,11
1:43 BE STRONG! XD,0.8707,5
:/ you used the unhealthy acv,-0.7003,6
"Actually , they don't drink apple cider vinegar  first thing in the the morning , they drink hot water with lemon to start their day",0.0,25
Am I the only one who likes apple cider vinegar,0.4215,10
Apple cider is nature way of detox your body and it's tasted sour and some hat bitter . I do that sometimes in the mornings and it doesn't taste like ..Clorox?? too me. Interesting vid tho.,-0.3757,41
Apple cider vinegar burns!!,0.0,6
Apple cider vinegar helps with your body's absorption of minerals.  It's also just as effective with soda water or similar to chase or mix it.,0.6908,27
"As a Nutrition Major, these diets really make me cringe because they don't make people healthy, it depletes the body of vital nutrients .",-0.015,26
"As someone who works in a restaurant, please just don't go out to eat when you're on a cleanse or anything. It's not fair to subject the busy restaurant staff to having to bend to all the whims of your cleanse.",0.0869,44
At the end what i noticed was dark circles under your eyes,0.0,12
Ay ay thumbs up this comment if you're in the notification squad :) responding and 💜ing comments all day!! Xx,0.555,23
Because Cinnamon helps losing belly fat.,0.0,7
"Boo, you're suppose to mix the apple cider vinegar with like 8oz of water I think. The body isn't meant to take it straight like that. That dietician is CRAZY. But you should try the Steve Austin's Broken Skull Ranch obstacle course! ilysm. xxoo",-0.481,50
"Bro the background music is soooo annoying, i couldn't finish the video",-0.4019,13
Bruh michelle is so cute!,0.632,6
"Btw... That was the wrong type of apple cyder.... You need ones that come with ""the mother"" (the floating stuff in it that is probiotic).",-0.4767,32
"Building A Righteous Bod: 5 Commandments Of Smart Dieting

To see the best results from any diet plan, you’ve got to know the “Diet Commandments”. These guidelines are essential for superior results. They will take you to the Promised Land, flowing with good health and energy.

Sadly, many dieters miss out on one or more of these rules, and it costs them their success.

Thou Shall Eat More Protein
Of all the foods you might eat while on a fat loss diet, protein is probably the most important. Protein combats hunger, stabilizes blood glucose levels, and prevents lean muscle loss. The result is raised metabolism and accelerated fat loss.

Don’t let your protein intake fall short. Aim to consume some in every meal and snack. For some unexpected sources of protein, consider quinoa, bulgur, avocado, and whole wheat bagels.

Thou Shall Eat Regularly
You may have heard that metabolism increases the more often you eat. That’s somewhat misleading. Actually, the boost you get from a meal is directly related to meal size — eating regularly does help keep hunger at bay.

Feed your body frequently throughout the day to avoid food cravings and energy lows. Those who follow this guideline are more likely to stick to their diet or weight loss program.

Thou Shall Prioritize Fresh Foods
When selecting your foods, remember processed foods are a sin. Eating fresh is a must. In our world, processed foods are around every corner, waiting to cause weight gain and thwart our efforts for a healthy life.

Eliminate processed food and give your diet a major boost. Focus on natural foods, like fresh fruits and vegetables, whole grains, healthy fats and oils, and lean proteins. This isn’t the Garden of Eden—reaching for the apple is the right choice.

You could call this commandment the Golden Rule of dieting. If you make only one change to your diet plan, make this one.

Thou Shall Set Short Term Goals
One diet rule that you should abide by is to continually set short term goals. Think about your strategy in the here and now, not months ahead. If your goals can only be achieved far down the road, it becomes too easy to lose sight of them.

You should also ensure that you put your goals in writing and tell a friend or family member about your intentions. The accountability will redouble your commitment.

Try thinking in two-week segments. Two weeks is generally the period necessary to form good habits, so it’s the perfect amount of time to build behaviors that stand the test of time.

This is precisely why The 2 Week Diet was created. It will help you stay motivated and consistent until good decisions become automatic.

Thou Shall Avoid Fruitless Comparisons
Finally, stop comparing yourself to others. Realize this is your journey. Your body is unique and you won’t see the same results as everyone else, so don’t expect to.

Instead, start comparing yourself today to yourself from yesterday. That will give you everything you need to know. If you improve every day, or hold fast to your diet program, then you are already a success.

Keep these diet commandments in mind. Focus on them and be confident you are building a truly righteous body.

http://bit.ly/2nMldjI",0.9957,630
But I like CAKE😔,0.3612,5
But I like cake 🍰.... Lol I love cake!!!,0.8854,13
"But like, how many pounds you dropped?",0.3612,9
"Can you try one of Ashley Horner programs? 
That would be awesome!!",0.6892,15
Candace was talking about not eating salt as it showed a pic of her salad covered in olives which are literal salt bombs. 😂,0.0,25
DIEt,0.0,1
DO KOREAN GIRL GROUPS/BOYBAND GROUPS DIET!!!!!,0.0,11
"DO NOT go on a diet that leaves you hungry! If you feel hungry, that’s your body’s way of saying to get more food. You need nutritious food, so it’s ok to go on a diet full of fruits, vegetables, and other healthy foods, but no matter what, do not go on diets that leave you hungry. Btw everyone is different, so you might play a sport or sit in a chair all day, so make sure you  eat differently depending on energy burn. These models probably don’t work burn as much energy. (And dilute vinegar before you take vinegar shots.)",0.9021,125
Dandelion tea is pretty common. I found some easily at Kroger (my local shopping center).,0.6808,19
"Did it do anything for being on it a week? Did it trim some fat, debloat your tummy? or was it just a complete waste? Either way i have no willpower to stick to that kind of diet lol xD im struggling at the moment on 1200 calories =\",-0.4479,53
Did u lost any weight?,-0.3182,6
Did you guys dilute the apple cider vinegar? I usually do 1 part vinegar/ 1 part water. Makes it a little easier to throw back so it's not as potent :),0.007,34
"Dilute the vinegar, or your esophagus will be damaged. Also dandelion tea is gross and I'm sorry to know this and not be able to tell you",-0.743,29
Do this simple 2 minute ritual to lose https://tinyurl.com/yc7mk57e,-0.4019,9
"Don't diet to look good, do it to feel good. At the end of the day your looks don't matter in the slightest.",0.6933,26
