,sentiment,wordCount
"""...You Get Nothing...Good Day Sir!"" - Willie Wonka.",0.0,15
*1:33** - **1:35** jailbreak in roblox :)*,0.0,15
*Just seen the movie and it's the best thing ever!* *Really recommend it!* [ dotiny.com/uyikvj ],0.8065,22
"0.41 I recognise those fuel tanks, Mad Max's Interceptor the Ford falcon xb",-0.4939,14
0:55 ( ͡° ͜ʖ ͡°),0.0,9
"1:10, it's that Team Fortress 2 Logo or another brand Logo?",0.0,13
"1:47 *We stand here amidst my achievement, not yours!*",0.0,13
"2:04 - why is hero character Tracer from Overwatch game in this!?
Blizzard you have been naughty?",0.643,20
2:05 THIS FUCKER HAS A TRACER SKIN,-0.7213,7
2:05 Tracer! Seems like Blizz payed the commercial hahhah..,0.4199,11
2:05 oh I can't wait for the references,0.0,8
2:05 overwatch,0.0,2
2:05 tracer,0.0,2
2:12 That is fucking Gundam. Biggest reason for me to watch this,0.0,13
2:12 gundam!!!!,0.0,5
2:13 fuck the chuck,-0.5423,4
2:19 Superman.,0.0,3
2:21 back to the future theme music Easter egg,0.0,9
">beaten up DeLorean time machine
>tracer
k.",0.0,10
@2:04 - 2:05 overwatch and street fighter characters! Awwwwwright!,0.2924,13
After watching this my cock is rock solid,0.0,8
Alternative title: *Internet the movie*,0.0,8
Any robloxians?,0.0,3
Are u ready to fight!! So fucking cheesy another shitty film,-0.6755,13
Can I ask where is the copper key?,0.0,9
Can you find my secret egg? Whoever finds the egg wins a million bajillion dollars.,0.5719,17
"Christ, just read the book.",0.0,7
Chun Li and Lara Croft  at 2:05,0.0,7
Columbus ain't gonna be looking that baf,0.0,7
Cool trailer! I'm gonna watch this movie!,0.4374,9
ESSE FILME VAI SER UMA MERDA!!!,0.0,9
"Everyone will dislike the movie. By the way, will they use the MA5D (Halo CE's 60 round assault rifle)?",-0.7506,24
"Expectations:HOLY SHIEEEETTTT O MY GOD IM SO FAMOUUUSSS IMMM A WAIFU IM CELEBRITY I CAN BE WHOEVER I WAANNNAAA B EEEEE




Reality:*eight year olds whacking around* *dO u kNO da wAe?*",0.4278,40
Free2play mmorpg becoming pay2win: The Movie,0.0,9
Funny shit. With telling people since the 1980s this is our future. Ahh. To be told you are crazy and see the world finally come into sync with the way you have seen it all along lol. Now that is what fucks with your sanity. Makes you wonder did the world catch up to you. Or did you head further into crazy land lol. But with the evidence at hand. It says we are no different than we used to be. Just grown up a lot. And see we were never crazy. The world just couldn't see the world the way we did because they can't see anything but what they are told to see. That this world works off of people letting others tell them what to do and how to feel. So break free from that existence. Become the best you can. I will admit I try and not let me ego get the best of me but seeing every single tech that I pictured would come out from the 80s to now feels pretty good lol. My teachers that thought I was nuts now think they are nuts and question everything seeing everything I said would happen happen lmao. The only 2 that have yet to happen are full planet VR. And the transferal of our minds to a digital system creating a new universe in one that our minds live on forever. And become seprate from us. Making us immortal. Or they could choose to upload their mind and end their body. To save it from the stuggle. But it becomes a new existance in one that fantasy and reality no longer have a boundary. They are the same thing. And no one will ever want to come out if we transfer those experiances back to our body. Scary shit. To see perfection and come back to a world so ugly. Who knows. Maybe this is not the first time we have followed this cycle. =P Enjoy the mind fuck btw. lol. I see shit past this even. But. It seems more like fantasy than reality because it just loops over and over in different ways that lead to a multiverse each time I process it. We are already building a multiverse we call the collective mind. The emergent property of the many individuals linking together to become more than the sole person can ever be. And as our knowledge grows so does our multiverse. AKA Perspective. We all live in the same world with our bodies. But our minds all exist in a different world. Some small changes. Some large. Some so big it doesn't make sense. And some. The lucky few. Exist in all perspectives. Take my advice when you go for the key. Enjoy the good and the bad. And never give up!. Make your story a great one!. Reach for the stars and become a legend!.,0.9937,539
GUNDAM!!!,0.0,4
"Gamer, not Player.",0.0,5
Gundam in 2:12,0.0,3
He's got friends in low places as he slips on down to the Oasis.,0.25,15
Hello If you watching this im dead,-0.6486,7
"Hey nice this was posted on my birthday





And did I see tracer!",0.4753,14
Hey there is Tracer,0.0,4
Hey you play roblox we have a even  in roblox is called  ready  player one  lolXD😂😂😂😂😂,0.5994,19
Hype!,0.0,2
I SAW Tracer.,0.0,4
I can't wait for this movie to be Spielberg's biggest and worst reviewed flop.,-0.7579,15
"I don't know, I can feel the influence of Japanese anime/manga.. but, judging from the trailer, I believe that this movie will be full of action and wonderful CGI.",0.7227,36
I get chills every time i watch this! can't wait!,0.0,12
I have to loot a ticket!,0.0,7
"I heard ""Union of the Snake"" is in this movie. I'm sold",0.0,15
I just finished the book yesterday and I am excited! Hope I’m not disappointed!,0.8145,18
I know that everyone here is talking about how shit this is gonna be but I'm so excited,0.4356,18
I love overwatch i love street fighter,0.875,7
"I read the book a while back and let me tell you... after reading it, I'm even more fired up to see the film! 

Even if it's not completely faithful to the book or makes changes in the film, as long as the changes make sense and the film is fun, I don't care. 

So far, the film has gotten some positive reviews. As of now, it has 78% on Rotten Tomatoes which isn't that bad.",-0.4563,87
I read the book and i loved it and im gonna love this even more.,0.8442,16
"I recommend you read the book before you see the movie, the book is so freaking amazing",0.4519,18
I remember SAO ,0.0,3
I saw Tracer!,0.0,4
I saw street fighter lady there I forget her name with speed kick.,-0.0772,14
I saw tracer,0.0,3
"I saw, the iron giant. im definitely watching this movie",0.4019,12
I see a overwatch person,0.0,5
If roblox was here,0.0,4
Im not watching it if there are traps and Ugandan knuckles running around,0.0,13
"Iron Giant
Tracer
Delorean 
Tron 
King Kong
Gun dam
Chucky 

And a lot more characters from world of Warcraft and some other games and stuff",-0.34,25
Is the book good? Planning to read it before watching this.,0.4404,13
Is this the Sword Art Online live action?,0.0,9
Isn’t this the plot of spy kids 3D?,0.0,11
It's overwatch,0.0,2
Itachi Uchiha That's like saying Star wars is a remake of Star Trek because both are in space.,-0.2732,19
Its like the anime sword art online,0.3612,7
Jesus this looks bad,-0.5423,4
Jump - Van Halen,0.0,4
Just Sword art online,0.0,4
Just finished the book. Can. Not. Wait!,0.0,11
Just seeing the iron giant makes me happy,0.5719,8
"Just to tell you, the writer of this movie also wrote THIS https://www.youtube.com/watch?v=Hds8Z29ilxw
for Reds vs Blues. Yup. That's a thing you know now.",0.0,28
"Just turn off his internet, you're the government",0.0,9
Look it's the Twilight saga for unfuckable men.,0.0,9
Looks like it will be a great movie!,0.784,9
Looks really uninformed and bad,-0.5809,5
Lucas Juravich a bit more than that.  You can die in real life too since there is a massive corporation that takes eliminating competition quite literally.,-0.5994,28
Member This: The Movie,0.0,5
"Mmm, did somebody think this movie inspired from SAO and Accel world?",0.4939,14
Nice Video!,0.4753,3
No Fornite ? Nan mais hallo quoi !,-0.3595,8
Not being a nerd but has anyone read the book yet?,-0.1531,12
OMG I heart it too!!,0.0,7
"Oh look, another anime ripoff..",0.0,7
Oh man. I liked The Iron Giant movie as a kid <3,0.6908,13
"Okay I see overwatch, but Sword art online tho. Why is no-one talking about that.",0.1154,18
PETER PARKER❤❤❤❤❤❤❤❤,0.0,5
Pop Culture: The Movie,0.0,5
Qui va allez le voir ✋,0.0,6
Ready Player One Event In Roblox,0.3612,6
Ready player one : the cheater p2 !,-0.3164,8
Roblox anyone?,0.0,3
Roblox event!!!!,0.0,5
Roblox is sponsoring this movie I might go see it,0.0,10
Roblox!!!,0.0,4
Rotten tomatoes confirmed fresh,-0.25,4
SAO?,0.0,2
Sao the only difference is you don't get your brin microwaved you LITTERLY DIE NO LITTERILY,-0.8208,16
Second Life: the movie,0.0,5
So for you who haven't read the book. Please do yourself a favor and read the book or listen to it befre you watch this! You will get out so much more information and character development than if you where to watch this.,0.6476,46
So it is basically a real life movie of Sword Art Online,0.0,12
So it's like... SAO meets Divergent or The Hunger Games? Interesting.,0.1779,14
So the Oasis is basicly more futuristic VRchat?,0.0,9
So the creators of this movie point at imaginary evil people who charge others for escaping into an illusion...while the creators of this movie charge people in reality for escaping into the illusion that movie creates...,-0.6124,39
"So, we're just gonna pretend that Aech is a boy?",-0.1027,12
"Sonic is in the movie. He first appeared in the ""Take on Me (2)"" TV commercial.",0.0,22
"Sooooo, SAO?",0.0,4
"Spielberg is a pedo, stop supporting him!",0.2481,9
Sponsored by ROBLOX,0.0,3
Star Wars Battlefront 3,-0.7003,4
"Steven Spielberg haciendo realidad nuestros sueños desde 1975, las mejores peliculas que he visto, tema, dialogos y sobre todo imaginacion. larga vida para ti Steven.",0.0,30
Steven Spielberg is a time traveler from the 1980's,0.0,11
Still waiting for iron giant 2,0.0,6
Sword Art Online's copy,0.0,4
T - racer!!!,0.0,6
THIS IS NOT ANYTHING LIKE THE BOOK!!!!!!!!!!!!! I HATE IT,-0.5216,13
THIS MOVIE WILL BE SHIT!!!,-0.6679,8
TRACER,0.0,1
Tbh I would've took 6'ers 5mil deal for instructions to the first gate.,0.0,16
The Art Online : Oasis eGGdrasil lul,0.0,7
The Main Character Is From The Scout's Guide To A Zombie Apocalypse Movie,0.0,13
"The book is so amazing, no way the movie can live up to it, one and a half hour is just not enough. I'm watching it anyway.",0.5248,31
The iron giant omg my favorite,0.4588,6
The music in the end of the clip sound exactly like the back to the future film :)))))),0.3612,20
The ultimate showdown 2,0.0,4
There is tracer,0.0,3
This aint a DLC it is the single player update. Coming soon : A Multiplayer mode,0.0,17
This film is only for gamers to find their best character reference for 2 seconds like Tracer from Overwatch 2:05,0.7717,20
This guy looks like Cyclops from X-men Like if u agree,0.7579,11
This is just Imaginationland with bigger budget :D,0.6166,8
This is not post-modernism; this is masturbation.,0.0,9
This is pretty much VRChat the movie,0.4939,7
This is so stupid,-0.656,4
This looks really stupid,-0.5709,4
This movie is going to be a Blockbuster because of ROBLOX! We out here trying to get the Golden dominus,0.636,21
This movie is gonna get dunked on so bad it will need triage. It will need skin-grafts to deal with the many deep burns.,-0.6696,26
This movie looks so fucking stupid & I hate watching the previews in theaters.,-0.8486,15
This movie will be good,0.4404,5
This will be an amazing film with this director! And the take on me trailers are awesome! And that back for eh future car  was amazinf,0.8585,28
Tracer,0.0,1
Tracer 2:04,0.0,2
"Tracer, Chun Li, Iron Giant

how and why",0.0,10
"Trailer doesn't look that good. The only reason anybody is excited for it is because of the easter eggs such as Tracer, Iron giant, Delorean etc.",-0.0015,30
Um WHERE THE FUCK IS UGANDAN KNUCKLES HES USING VR!??!,-0.7333,14
VRchat: The Movie,0.0,4
Vr chat just if,0.0,4
"VrChat

Server - Oasis Max - Infinity Symbol",0.0,8
WHY DO THEY PARENTS ALWAYS DIE?,-0.5994,7
"Waiting for one publisher making saving only possible when an additional microtransactions ist being made, or that you can only use the game-mechanics of you additional paid for them, otherwise you'll only get a visual novel. 

But let's guess whether Black Ops 3 will be a clusterfuck or only a mediocre game. Long time since gamers really got fascinated by a game.",0.6887,67
Was is TRACER doing in there,0.0,6
"What exactly is the point of winning vast wealth in a world where there's literally nothing real left to buy?

Lame-ass sci-fi wannabe can't even see past the end of capitalism.",0.765,33
What is the Back to the Future tune at the end!? IS IT JUST ME WHO HEARS THIS!?,0.0,22
What music is this?,0.0,5
What's the name of the song at 1:26. Please reply,0.3182,11
What's the song at 1:26?,0.0,6
What's the song in the background?,0.0,7
Where is all the 80s stuff....all I see is a bunch of wacky VR shit.,-0.5574,18
Who found the copper key in roblox? Lol,0.4215,9
Who saw McKenna grace?,0.4215,5
Why aren’t all those people on the streets getting mugged or killed,-0.6705,14
Why is tracer there?,0.0,5
"Woot woot,roblox event is on babieeeeeeee",0.4215,8
YES,0.4019,1
as a rule i always avoid movies that are marketed towards gamer geeks,-0.3818,13
at 2:05 is n't that girl from overwatch,0.0,8
cant wait for it to be realesed,0.0,7
"could they pull off a decent Game of this,,, think id be in",0.0,16
"god damn gundams and iron giant and overwatch and my god,",0.128,12
how is chucky in this film?,0.0,7
"i love how warner bros,who own dc makes a marvel refrence at the start",0.7906,16
i love the book,0.6369,4
i love the fact that they used the DeLorean :D and also at the end of the trailer you can hear the soundtrack of back to the future!! :D,0.9306,31
im watching this when it comes out in 2 weeks,0.0,10
is Sonic?,0.0,3
is that transformers!! 2:11,0.0,6
its like vr chat,0.3612,4
l Você tem o número Play ligar para você,0.34,9
literally sword art online XD,0.6739,5
mega man just imagine mega man,0.0,6
music could've been better. Much better,0.7003,7
no,-0.296,1
please buy vr online game,0.3182,5
please come quick plz plz plz,0.4939,6
roblox event,0.0,2
steven spieldberg dont let me down!! this movies gona be epic,0.0,13
sword art online,0.0,3
"tf is that tracer

also why am i watching this at like 12am",0.3612,13
there better be a jojo reference,0.4404,6
there was overwatch chucky and thats it LOL,0.5473,8
this ain't got shit on Avatar.,0.4449,7
this is ROBLOX!!!!!!,0.0,6
this looks nothing like the book READ THE BOOK,-0.2755,9
this movie looks sick!!!!!!,0.0,7
this movie will make me more depressed about the everyday's boring real-life/real-world/reality..,-0.7089,17
this movie's lazy shit. don't watch it,-0.7269,8
vr chat the movie,0.0,4
