,sentiment,wordCount
( привет...  я смотрю твой перевод если ты меня поймёшь и мне очень нравится тваи онимации они лучшие!),0.0,21
"*""a casual fight to the death""*  AWWWW YEAH LET ME GET MY KATANA!",0.3453,18
*BR*,0.0,3
*Eats Oreos while watching*,0.0,6
*G U A C A M O L E* GUAC GUAC A MOLE,0.0,15
*I m l o o k i n g a t y o u b r i t n e y*,0.0,23
*W H Y  U  N O T  D O C T O R  Y E T  ?*,0.0,19
"*WERE GONNA GET PHISICAL,PHISICAL*",0.0,8
*im from the future~*,0.0,7
"*video about health and fitness*

*im here eating crunchy peanut butter*",0.0,15
011101000110100001100001011011100110101100100000011110010110111101110101,0.0,7
1 like = 10 dollars donated to an animal shelter,0.3612,10
18=2/3 day 6=1/3 day 18-6=1/3 day,0.0,12
2030 anyone lol jk,0.5719,4
2x speed,0.0,2
AHEM *FLUFF*,0.0,4
"ALRIGHT, GIVE ME THE MONEY",0.25,6
Abbie's Land Learn to be happy for someone rather to be salty. You’re just gonna get hate.,0.0,21
Ad:LOSE.......your money,0.0,6
Aliyah Browning Na it aint cheating.,0.4449,7
Any suggestions on wher to get exercise equipment,0.0,8
Are you going to comicon ?????? Pls reply,0.3094,10
As the sound effects intensifies ..,0.0,6
Aww im hopeless!! Awwwww!! **looks at food**  *AM NAM NAM NAM*,-0.6331,21
Cheesey HAHAHAH PIZZA JOKE,0.4466,4
Congrats on 3.5 mil,0.5267,4
Could you mabey make a video about periods please,0.3182,9
Dear Jaiden You have to try FrameCast it's an animation app with all these fabulous animators just plz get FrameCast,0.743,20
Did anyone notice that the dumb hip hop music is still playing in the end card?,-0.3612,17
Do ya know de wea,0.0,5
Do you have a pencil? Cause I want to erase your past and write our future,0.0772,17
Dont look at that leftover pizza IM LOOKING ATE YOU BRITNEY wait wha,0.0,13
Exercise Tips By: JaidenAnimatons,0.0,5
Finally! Someone else wakes up at 6!,0.0,9
"First of all, I agree with everything u say. Second of all, I know ur incredibly busy and having extra people on the team is so helpful. Also u have just started with this,but I feel like I never see ur animations in the videos any more. Don't get me wrong all the people are super talented, I just feel like the animation is inconsistent. I don't think any of my comment is that important; this is just my random opinion. P. S. ur videos are still amazing.",0.9763,102
For best friend day make a video of your Best Friend Kate.,0.9413,13
