,sentiment,wordCount
#  vote jp,0.2023,3
#jp,0.0,1
"(Grabs my baby brother) now I know where to put you (evil laugh)...





(Puts him on my bed and hugs him while watching the rest of this video) I love you baby brother sis wont put you in the oven :3",0.8934,49
(TOT),0.0,3
"*Che merda, fa schifo solo a guardarlo*",0.0,10
*PLEASE MAKE THE GIANT COSMIC BROWNIE!!!!!!!!!!!!!*,0.0,11
*somebody touch my  s p a g e t!*,0.0,12
0:08 turn on subtitles were making gay music !,0.0,9
0:10 with subtitles.,0.0,4
0:52 Julia touched his spaghet,0.0,5
0:53 don't touch my spaget,0.0,5
"0:57

Somebody toucha his spaghet!",0.0,6
2000 CALORIES HOW IS THIS HEALTHY,0.5319,6
2:07 I have never heard her say that,0.0,8
374785676666666666666666666676574848484585858755845475754747474745745457557566757674u12345709876543123345555595555595959686958786768787686868868686868686868686868686868688888t6666666666666,0.0,9
4:32 Have you been reading Ready Player One?,0.3612,9
4:35 that's not funny.,-0.3412,5
5:31 how to lose knife's edge.,-0.4019,7
@1:04 GIVEA MEA MIYA SPAGET BACKK #meme,0.0,9
ARE THEY DATING,0.0,3
Americans have a really big servig,0.0,6
Aren’t Cutco knives wonderful?!?,0.6544,9
Awesome! I was making these as a teenager back in the 80s! It was One of many 420 inspired dishes! Lol,0.8996,24
"Back in the old Hellthyjunkfood videos, Julia has 1 sharp tooth. Now her teeth have changed.",0.0,19
Be for I voted for hilua now I'm voting for jp,0.2023,11
Beautiful TOT,0.5994,2
Can you do pizza inside a chicken or chicken inside a pizza😁😁😁😁😁,0.0,15
Can you guys with a giant spaghetti taco,0.0,8
Can you make a giant chicken melt,0.0,7
Carb city,0.0,2
Dang can i be in your video,0.0,7
"Dino Train  
lol im happy theres still 4 year olds embarassing themselves on here",0.7579,14
Dino Train and i have 22 subs. What now,0.0,10
Dino Train fuck you,-0.5423,4
Dino Train shut the fuck up dude,-0.5423,7
Dino Train you have 16 subs? Why did you make 16 yt accounts to sub to your crappy channel. Go hate somewhere else,-0.8074,25
Do more versus,0.0,3
Do you live in Florida? I saw the Publix cheese? If so can I judge the food in your videos?,0.0,23
"Dude, I can't believe how far you've come! It seriously amazes me!",0.4738,15
FOOD PORN 😍😍,0.0,4
Fadoua Trady wai u such an asshole,0.0,7
Gordon Ramsey should be on the show,0.0,7
HellthyJunkFood Pizza /pasta volcano please,0.3182,6
"Hey, jp, you know what would've made your spaghetti burrito even better?





Make a giant garlic bread cut it in halve and put your spaghetti burrito in it.",0.3818,32
How about a giant meatball sub?,0.0,7
How dare you Touch my spaget,0.0,6
How did they make a spaghetti quesadilla if they took out the spaghetti,0.0,13
I Carly spaghetti 🍝 🌮,0.0,5
I VOTE JULIA,0.0,3
I actually dont know who won,-0.4585,6
I actully thought julia was foing ro win but i think it is JPs now,0.34,15
I am Groot Oooh he got toasted,0.0,7
I feel like JP always wins the weird unhealthy ones.,0.5622,11
I feel like JP is the most creative and Julia is the most basic,0.8034,14
I have never been so happy and sad with jokes,0.5232,10
I love JP,0.7739,3
I love JP and his crazy ideas sometimes they look really good,0.8189,12
I love the new teeth job what happened??,0.6767,10
I made the burrito of julia,0.0,6
I made this it's so bad lol I can't think of a recipe with spaghetti and tortilla that ends well,-0.0805,20
I pick pedros,0.0,3
I prefer a spaghetti sandwich but that looks pretty good,0.8462,10
I seriously want to see how gordon ramsay would react to this.,-0.1027,13
I think that jp wins,0.6705,5
I vote Pedro,0.0,3
I vote for Julia.,0.0,5
I vote for Pedro,0.0,4
I vote for Pedro!,0.0,5
I vote pedro,0.0,3
I want her to have my creamy alfredo sauce.,0.0772,10
"I was laughing my head off during this. The ""meat log""... Where my dirty minded peeps at!?",0.1511,23
I was really hoping for that quick message,0.4754,8
"I would do hers just add some meat to it like he put it his cause garlic beard, cheese, spaghetti and meat would be so on point with that.",0.3612,32
I'm Michael Jordan stop it get some help lel yummy,0.5994,10
I'm actually contemplating on making this,0.0,6
I've got four words for ya: Deep Fried Spaghetti Tacos!,0.0,12
If Mario from SMG4 watched it he would probably be PROUD 😏,0.5904,13
"If you guys opened up a resturant, AHHHHHHHHHHHHH",0.0,9
In jp'so head when the burrito went into the oil...I hope it doesn't turn into that dissegrated potato.,0.4404,21
Is it just me that likes watching Julia shove objects in her mouth ;),0.5719,14
It amazes me that JP is winning in the pole vote. LOL,0.913,13
"It's a good thing that he is funny and she is hot,otherwise-stupidity galore.",0.7003,16
It's a spurrito?,0.0,4
Its a spagerito,0.0,3
J,0.0,1
JP,0.2023,1
JP fat jk you weight 20 julia looks like whit hersheys by the way love you chann i subed,0.8788,19
JP has my vote,0.368,4
JP wins,0.7378,2
JP wins i love you!,0.8939,6
JP won,0.7378,2
"JP, I've gotta hand it to you man.... that log looks delicious",0.8567,14
"JP:competition's on,we're making spaghetti burritos!' Julia:'Oh My God! Where did you get this?'",0.3987,25
JPs was more creative,0.4927,4
Jp,0.2023,1
Jp made spaghetti Wellington,0.2023,4
Jp so one.,0.2023,4
Jp win,0.6808,2
Jp windev,0.2023,2
Jp wins,0.6705,2
Julia,0.0,1
"Julia always not aprove for jp food
Rip english im indoo",-0.1511,11
Julia always say it my baby hahhahahaha,0.0,7
Julia don't sabotage jp,0.2924,4
"Julia fixed her teeth 👏👏👏 don't get me wrong ,hun,you are likeable now as you were before 👌
And yes,get rid of your flip flops and your regular shoes/boots.
Woman,you have joie de vivre all over so get yourself a gay person or stylist and lift your style up up up 🙏",0.486,64
"Julia has won, she had the right amount of sauce without to much meat, while JP had a log of meat with little sauce. But JP cheese game on fleek.",0.8301,34
Julia how many babies do you have?😅😅😅😂😂😂,0.0,14
Julia wins,0.5719,2
Julia wins presentation but jp wins overall,0.8625,7
Julia won,0.5719,2
Julia wonn,0.0,2
Julia you win sorry JP,0.7213,5
Julia you won #JULIAISBEST,0.5719,4
Julia ❤❤❤❤❤,0.0,4
Julia's burrito looks like a stromboli,0.3612,6
"Julia:""garlic butter oil""",0.0,7
Julia’s teeth are goals,0.0,6
Kay Kangaroo well im glad you liked it,0.7845,8
Like for Giant Spaghetti Taco!!!,0.5229,8
Lol jp definitely won this one that was insane.,0.8074,10
Love her. He's okay.....,0.6369,6
MAKE A SPAGHETTI CHIMICHANGA,0.0,4
MOMS SPAGHETTI,0.0,2
MY SPAGHETT!!!,0.0,5
Make a giant rice burrito,0.0,5
Make spaghetti taco,0.0,3
Man you got 8 mile playing in da background. Lol,0.5574,11
"Meatball burrito ... 


But there’s spaghetti in the meatball",0.0,11
Music at 3:44?,0.0,4
"Nah, original chef boyardi sauce is da real bam",0.2263,10
"No ones doing it so I'm doing it....





*S O M E B O D Y  T O U C H A  M Y  S P A G E T T*",-0.296,34
Oh my gosh this looks amazing👍🏻,0.0,8
Open up a restaurant,0.0,4
Pedro,0.0,1
Please make a giant one,0.3182,5
"Probably not a comment y'all get a lot but im going through a really tough time right now and your guys videos are really helping me and i really appriciate all the work you guys put into making these vidoes. I honestly love your videos in general but they have been helping so much, thank you",0.9626,58
R.i.p. jp X julia </3,-0.4939,12
SOMEBODY TOUCH MY SPAGHET,0.0,4
SOMEBODY TOUCHED MY SPAGETT,0.0,4
SOMEBODY TOUCHET MY SPAGET,0.0,4
SPAGHETTI TACO ANYONE🌮🍝,0.0,5
SPAGHETTI TACOS!!!!!!!,0.0,5
Seth M I,0.0,3
Seth M i,0.0,3
