,sentiment,wordCount
"""None as big as the sunshine state"" I live there. *packs bags swims to Australia*",0.4939,20
*Meanwhile in Florida*,0.0,5
*WE DID IT! YOU DID IT! 1 Million subscribers! That's a 1 with 6 zeros afterwards! INSANE! Incredible. I am so flattered! Thank you so much. You are the best! This means more than you can imagine!*,0.8434,49
"...take a breath, calm down, 
just slow fucking down 
your voice sounds 
neurotic",-0.0258,16
10.5,0.0,1
1000000000000.0000000 qauke could destroy USA,-0.5423,6
2022. A 10.2 magnitude earthquake in California. That's the next deadly one.,0.0,15
"6.7 earthquake? More like ""6.7 Liter""",0.4201,9
7.2 8.4 9.5 ??? All the big ones in recent years,0.0,13
"7:26 ""It's thought that roughly 2,000 people will die""
*shows picture of smiling scientist",-0.2263,17
"A big enough quake at the San Andreas line could actually save USA.. 

Provided it doesn't also trigger the Yellowstone volcano cataclysm.",0.4939,24
A possible big one in the sunshine state🤔,0.4939,9
According to Greenland the 1906 earthquake was 8.3,0.0,8
"Also, the sun shine state is Florida, not CA.",0.0,12
"An earthquake can hit literally anywhere at anytime. Some of the most devastating earthquakes have happened in places where there was no history (in human terms) of quakes. The likely place is Alaska or Cali and they are so underprepaired every single time, so just think what would happen if it were a 7.5 near DC, Atlanta or Chicago.",-0.7778,66
Arizona literally the chillest state and phoenix has literally no destructive disasters,-0.8689,12
"Avdax7 SI, does anyone care?",0.4939,8
Awkward moment when you live down the street from Olive View hospital,-0.1531,12
"Before you watch this video, use some fucking common sense for once. If an Earthquake with an magnitude that big would not only destroy Mexico and Canada but cause ground shifts making this pretty retarded.",0.25,38
Bruh the sunshine state is florida not california,0.4939,8
"Btw this guy needs to get his facts straight, Alaska literally had a 7.2 earthquake last year",0.2263,18
Califonia is SJW central so maybe God is sending a message. lol.,0.6344,14
California is the golden state not the sunshine state. Idiots. Smdh,-0.3875,13
"Californians: We can take any earthquake!

New York peps : WHAT IS HAPPENING!!!!",0.0,18
Call me,0.0,2
Can an earthquake destroy the U.S.? No I’m in Minnesota screw California. Have fun with the earthquakes. 😀,-0.4215,26
Cascadia roughly happened 317 years ago. Worlds slowest and most powerful fault. If it were to unleash the big one the power would be 30 times more powerful than the San Andreas fault. Right now cascadia is in a subduction zone with the Juan De Fuca plate. Even though it hasn't generated the biggest earthquake on record it is capable of generating bigger earthquakes above 9.5.,0.4271,71
Chile is due for a huge one,0.3182,7
Congrats YOU HIT 1 MIL,0.5267,5
Congrats on 1m! Love you,0.8356,6
"Doesn't matter how and strong a building is. If it can't move in the form of vibrations, if can't flex itself then it'll simply collapse every time. Believe me, I work in the construction branch, and I have seen quite a few things.",0.0067,49
"Doesn't take any earthquakes, just one Donald Trump.",0.0,10
Dusty The Hedgehog me 2😢😢,0.0,7
Earthquake in alaska today,0.0,4
Earthquakes happen when two socially awkward people/faults accidentally bump into each other,-0.4588,14
"Earthquakes? There’s a fucking super volcano that’s waiting to erupt sitting in the middle of the US, that is nearly guaranteed to wipe out the whole US. We’re all screwed.",0.2484,40
Eeeh you just go to the east coast of the states.,0.0,12
"Florida is the sunshine state
California is the golden state",0.4939,10
"From Japanese point of view, the news or information of earthquakes happened in foreign country always lacks its seismic coefficient (intensity scale), so we can't figure out how severe the earthquake affected the city or area. It seems there is no international standard for seismic intensity scale but it's very important. Of course magnitude and a seismic center  information, too (especially in terms of tsunami to come).",-0.0156,77
"Fun Fact: In my opinion, natural disasters arent the bog one in news stories, child mortality is. Again, its my opinion.",0.296,27
"Fun fact, I was born 15 mins before the Indian Ocean tsunami 😂",0.5106,14
Goodbye my Illinois 🙏,0.0,4
Ha we are safe in Wisconsin.,0.6486,7
Heh. Wonder if thats what is happening right now in Alaska.,-0.1531,13
Hey can you make a video about this bomb cyclone that's happening right now,-0.5789,14
"Hi from Tohoku, Japan. Earthquakes are very common here. We even had one that lasted several minutes today. They could still be aftershocks from the 2011 disaster but it could just be the Pacific Ring of Fire doing it’s thing. I think Japan would still be a contender for the next big one. Earthquakes are tens to hundreds times more frequent here than other countries, even those on the pacific ring like America or New Zealand. That said, they’re prepared like no other country. Alerts aren’t even issued for magnitude 4 or less and magnitude 5-6 earthquakes are a minor every day occurrence. Earthquakes of this magnitude are serious disasters for most countries. Every building is earthquake safe, every major city in Japan would be ok. It’s one of the main reasons most of the older buildings weren’t built very high, even in Tokyo. It is only the small towns in coastal regions that are in danger of Tsunami damage but the repairs and improvements to reduce this are still underway in Tohoku.",-0.6705,200
Hmm. 7.9 Alaskan earth quake just happened 2 days ago.,0.0,12
