,sentiment,wordCount
"""Emily's"" face after she blew the kiss goodbye 😂",0.4215,11
"""I farted before this video"" 😂 (turn on the subtitles)",0.0,14
"""I will sue you Min Yoongi!""",0.0,9
"""Mic mic bungee "" - Vanessa


Btssssss",0.0,8
"""Nancy are you there?..."" **hilarious questioning face** 😂",-0.1027,16
"""Remember kids your pets only love you because you gave them food""LOL",0.6369,15
"""and he still has whiplashhhhh"" i laughed so hard",0.2809,11
' mic mic bungee ' lol hahahahahha,0.4215,7
"1. how come in fashion is my passion, veronicas hair looks lighter, 2. Finally mt news is back, 2. More fashion is my passion pleeeeeeeeeeeeaaaaaaaaase",0.7184,31
ARMY YAASS MIC MIC BUNGEE,0.0,5
ARMY!!!,0.0,4
"Aaww Jenny is so cute and Rose, I missed her so much!",0.4512,14
Are you doing  more merrell twins exposed,-0.144,7
At least this is more reliable than the actual news 😂,0.0,11
"At the beginning, I thought they said “EMPTY NEWS”, instead of MT news. :3",0.5106,20
Bloopers,0.0,1
Can you do Mt News again,0.0,6
Cristiano Ronaldo 😍,0.0,3
D,0.0,1
Do more exposed video 🙏 PLEASE,0.4027,6
Do more please also LOGAN PAUL COLLAB WE NEED THAT but also MT NEWS DO MORE PLEASE,0.8118,17
Fashion is truly my passion,0.7096,5
GOT7 JB,0.0,3
GOT7s JB <3,0.4404,4
Got7 Jb😍😍,0.0,5
"HAHAHA I'M LAUGHING SO HARD AT THE BLOOPERS RN
MIC MIC BUNGEEEE
Also the part where they were like ""JB"" I was thinking about ALL those people and they showed up
Love you guys!!!",0.9285,39
Has anyone else realised that practically all “roses” names begin with a j 😂😂,0.0,17
Hey merrelp twins add me on snap chat pls i have already added you,0.0772,14
How come I knew it was Rose?,0.0,8
I,0.0,1
I MISS THIS,-0.1531,3
I actual liked the leaves crown!!😻😻😻😹😹,0.5242,13
I actually feel bad for Jenny.,-0.5423,7
I didn't know that the merrell twins knew about jb the leader of got7,0.0,15
I died I’m Jessica I died,-0.802,8
I died at JB pic (k-pop),-0.5574,8
I hate fashion is my potion,-0.5719,6
I have a school play and it's Willywonka play and the boat part. 😂,0.5859,15
I have the same Dora blanket,0.0,6
I like Jenny's hair,0.3612,4
I like the BLOOPERS SSOO MUCH AND MIC MIC BUNGEE IS FUNNY WHEN VENESSA SAY THAT LOL,0.8647,17
I literally have that Dora blanket from my childhood. 😂 it belongs to my rabbit now.!,0.0,19
I love MT NEWS! Please make another!!!!,0.8257,11
I love MT news,0.6369,4
