,sentiment,wordCount
"""Divine trial - Door open/Terminal activated"" of the BotW OST",0.5574,14
"""In the name of Allah, the Entirely Merciful, the Especially Merciful.
[All] praise is [due] to Allah , Lord of the worlds -
The Entirely Merciful, the Especially Merciful,
Master of the Day of Judgment, 
It is You we worship and You we ask for help.
Guide us to the straight path -
The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray."" Amen. Quran[1]

Is life just a game? Is the only purpose of life to get married, have children and make money? You Deserve to Know. YOU were created to worship your Lord.
Realize your purpose through ISLAM before it's too late. Have you got any questions about ISLAM? then come to edialogue.org for a one to one chat.",0.9082,164
"""Sometimes I forget myself... and get lost in the past""",-0.4939,13
"""The perfect drink"" sidequest",0.5719,6
#BringBackMiiverse,0.0,1
#RevivetheObiterater,0.0,1
"#SavePlayer1
#FUCKEA",0.0,2
#revivetheObliterater,0.0,1
"*Nintendo, I love this game! Please  look into some of these ideas, for one last (paid?) DLC to keep us challenged and therefore invested even longer:*

Something I believe could be easily applied and really change the dynamic would be a *much smaller inventory* , allowing you to only carry a handful of armors and weapons. Also having less materials with you would mean a little bit more planning on which area you will go to or which fights to pick.

A *thougher economy system* would make it harder for players to buy loads of arrows and materials, really bringing out the survival aspect. A lesser chance of mining valuable loot could tie into that.

*Destructable armor* would add to that too, since you'd have to constantly buy them anew. On top of that, imagine the thrill of losing your Orni armor in the middle of the Hebra mountains, making you rely on warming meals you've been wise enough to cook beforehand!

You could even go so far as to make *fast travel cost rubins or items* , forcing you to think twice if a fast travel is really worth it. The farther you'd want to fast travel, the higher the cost.

Add *infinite recurring quests* from NPCs, who will pay you. These could be monster hunts or material gathering.

And last but not least, since everyone loves Eventide Island, make the *blood moon nights strip you of all inventory items and allow no saving* , so you have to survive the entire night. If you die, you only get a fraction of your equipment back.

I believe these changes would keep up the challenge and make the wait for a sequel so much more endurable. :)",0.9198,330
"*You must rise today*
Yes that's a good idea
H-Huh wait?! A motorcycle?! Okay i will not rise today!",0.8288,26
"*use of alcohol

Wot where",0.0,6
0:00 Use of Alcohol lol,0.4215,5
0:00-0:02 it says “use of alcohol”,0.0,9
"0:01. Use of Alcohol. Oh yeah, that one part in Gerud..... I am about to spoil you people, and I don’t want to do that.",0.3612,33
0:52 obviously firelight ganon did,0.0,5
"100 subs without any videos No, Breath of the Wild Won’t fit on 3DS.",0.5248,18
"1:13 
""Hey, can I copy your homework?""
""Sure. Just change a few things so it's not obvious.""",0.0,25
1:42 tears down,-0.2263,3
2 million views,0.0,3
20 dls oh okay girl,0.2263,5
2:04 when u think the trailers over and then a motor cycle,0.0,12
2:05 AAAAAAAAAAAAHHHHHHHHHHHHH,0.0,2
2:06,0.0,1
"2:11: Tell me it's a joke...x'D
Also, baby Sidon is so cute!!!! >///<",0.0,24
2:16 insert A-Team meme here,0.0,5
"2:27 You know, I just realized that that's probably the last time Nintendo is ever going to fly the Wii U symbol in anything. Farewell Wii U, you weren't all that bad, to be honest.",0.7311,40
"7.5/10 
Too much shrines",0.0,6
81,0.0,1
:o,-0.1027,2
"A motorcycle? 

WINNING.",0.6289,5
AHHHHHHHHHNHHHHHHHHHHHHHHHHHHHNNNNNH,0.0,1
ALCOHOL IN A NINTENDO GAME!?!??!??!?!?!!???!??,0.0,25
"All video games DEVs take note: you don't need to finish your games! just release them with half assed and unfinished graphics! If its for nintendo sheeps, it will be good enough!",0.5826,37
And the cost?,0.0,4
And whats the play? 100 floors underground?,0.4137,9
BABY SIDON IS SO FREAKING CUTE! 😂,0.1223,8
BEST DLC PACK EVEEEEEEEEEEEEEEEEEEEEEEEEEEER,0.6369,4
"Beautiful game but..
The worst story and the worst Zelda story ever.
Empty and meaningless.
They could've made it much better easily but they failed miserably.",-0.899,30
Better than the actual game 😎,0.4404,6
Bought this on Christmas 😎😍,0.0,6
"Brian The Lion I know that but realistically you can climb way faster just using revali and high stamina quicker and then just drop the horse. The bike is just really sloppy, if it climbed mountains steadily and didn't always like throw Link back and forth (pretty real for a dirt bike tho honestly) then I'd like it better.",-0.5315,64
Bunch of flashbacks,0.0,3
