,sentiment,wordCount
#38 en tendencia en Honduras,0.0,5
*Hermoso Ricky*,0.0,4
"*ME GUSTÓ MÁS ESTA VERSIÓN EN SOLITARIO, SIN WISIN & YANDEL SUENA MEJOR!*",-0.5983,17
"*Ricky I have loved you since Maria was released, your music was always so Unique and  so creative, Now  your recent songs after Almas de silencio album, I feel in the first few seconds of the song I have heard this song already 10000x. That special feeling when you are listening to Ricky Martin song is gone.. nothing unique just the same generic beat.*",0.8966,72
".fiebre ... Ay jurame suavecito que tú calor va x mis venas , que solo eres la receta ,eres mi receta",0.0,23
"1 vez, mmmm maso el tema
2 vez, a mira esta piola
3 vez, YO ME LA PASO TODO EL DIA PENSANDO EN TIIII Y EN TUS OJOS NEGROSSS",0.0,32
7/10 needs a currrent English speaking remix like despacito,0.3612,9
"A espada faz vida, mais nao pode cortar essa receita que Deus deixou para as mulheres, e so a mulher pode afiar a espada e deixar la a corta certo. Ninguem muda este pronto socorro na vida do seres humano. Nunca vi duas espada se afiar um com outra, sempre sai inferrujada por quem lubrificaçao e a mulheres que tem? Por isso que ao tempo o lamena da espeda fica rombuda e cheia de orificios ressecada,ao usala em qualquer corte sair o corte cheio de farpas, como ferridas em curavel,  assim na vida dos seres humanos. Nada pode ser abusos entre o desejo e fazer e querer, obstruçao do futuro e o cancer e doenças cutaneas ferida do futuro. Ja vi isso em baixo do sol? Hoje sou viuva por causas da espada.causa da morte, insuficiencia renal.insuficincia respiratorio. Drogas, bebida. Meu marido gay? Realidade e verdade. Que acha? Como nao amar, cuidar, entender, aceitar as fazes da lua. Com carinho!. JOSY TAVARESTAVARESIRG163954RPILFBRASIL. EDUQUE SEU FILHO PARA O CERTO EM UNIAO. AS ENTRADA DA PORTAS PODE ATE SER IGUAL,MAS O MIOLO DA CHAVE DA FECHADURA E DIFERENTE. EXEMPLO. EDUCAR SEU FILHOS!!! ONDE ESTA DOENÇA QUE O ABSORVE MOSQUITOS? O PROPRIO SER HUMANO QUE FAZ NAS SUAS ATITUDES? SERA QUE AS FEZES NAO TRAS BACTERIA E VERMES? HIV?  LOGICA DE PENSAR? RELEMBRAR O PONTO DE VISTA DE CADA UM PARA O QUADRO? CADA UM OLHA PARA O QUADO DE UMA FORMA? Observaçao.",-0.819,285
"AAAHHH NO!!! SOY RE FAN,AME !!! SALUDOS DESDE ARGENTINA <3",-0.2962,17
"Acabo de empezar con mi canal de covers😊 

Pasense por mi canal para escuchar una cover guitarra voz  de este tema 

Instagram   @raulk666",0.0,24
"Amei “Fiebre”... Kikito, tienes que venir a Brasil...",0.0,13
BELOO TEMA ! SOLO TU TIENES LA RECETA NO HAY CURA...,-0.3595,12
BR💚💛,0.0,3
Beautiful song,0.5994,2
Beautiful!,0.636,2
Bella cancion y contagiosa !!,0.0,6
Bello por donde lo mires que hermosa vos por dios !!!!,0.0,13
"Bendiciones a ti y familia, tienes una voz única.",0.0,11
Better than despacito 🤷🏼‍♂️,0.4404,8
"Buen ritmo,hermosa letra le dio al clavo",0.0,9
"Buena canción! Hice un cover, los invito a verlo en mi canal y decirme qué les parece, si te gusta no olvides suscribirte para ver más de los videos que subo 🎼😎",-0.3595,36
C ÑORA SU HIJO TIENE FIEBRE,0.0,6
Comepoio,0.0,1
Con Dinah Jane,0.0,3
"Continuo na musicas e artista. Tenho que desenhar? Josy Tavares tavaresirg acha que e comerdia tudo que escrevi, sera que nao deixei claro? Facebook, twitter, stagram etc. E RICKY MARTIN. JOSYTAVARES TAVARESIRG1639V54RPIPLFBRASIL.",0.0,42
"De Jack? Don Cheto? Get it?
 Okay bye.",0.3485,12
"Dear friends make peace with God the Father through Jesus Christ THIS VERY MOMENT. Pray and tell Jesus you are sorry for your sins against God. Ask Him to save you from your sins. Put Jesus Christ first in everything you think, say and do. As soon as possible be water baptized and ask and trust Jesus to fill you with the Holy Spirit. Allow the Holy Spirit to help you read and absorb the New Testament Bible. Obey the commands God has recorded for followers of Jesus Christ to obey. Join other Christian believers to help answer your questions, to pray with, to encourage and strengthen one another. You will be rewarded greatly and your life will be forever changed! God bless you in the Glorious name of Jesus Christ our Lord and our Savior.❤️❤️❤️                       
    (Romans 10:9;  John 3:16;  Acts 2:38;  John 14:6;  Galatians 3:26;  Romans 6:23)",0.9929,174
Demasiado Buena!!! 😉👍,0.0,7
Dónde está WY?,0.0,4
ENGLISH VERSION OR SPANGLISH VERSION PLEASE ASAP SUMMER IS COMING THIS IS PERFECT,0.7184,13
El hombre mas lindo del planeta,0.0,6
"En Solitario, Lanzo el Audio.. Pillado, pero suena mejor asi solo, que acompañado.. Ya que son tres y es efecto y alargar la cancion.!! Saludos Desde Colombia..",0.0,36
English version please thank you,0.5859,5
Entre mass pasan los años este parsero se ase mucho mas que bendicion para la musica latinaa el mas grande entre los grande papi riki,0.0,25
Eres guey,0.0,2
Eres un encanto Ricki,0.0,4
