,sentiment,wordCount
""" But. My hammer , ' said thor
'Shut up thor,' said loki",0.0,17
"""'But. My hammer,' said Thor.
'Shut up, Thor, said Loki.""",0.0,21
"""But in trying to achieve the impossible, they'd pushed themselves harder than ever before, and changed the world in ways no one had expected..""",-0.296,29
"""But. My hammer,"" said Thor
""*SHUT UP, THOR *,"" said Loki",0.0,20
"""But. My hammer."" 
Cool story. Thanks for sharing.
wow... and my name is up there :P",0.8668,23
"""Struggled mightily over his greatest challenge yet: opening a bag of food"". Same tho. Have you seen how tough they seal those Lays chip bags?",0.3818,31
"""What is plucked will grow again,
What is slain lives on,
What is stolen will remain
What is gone is gone...
What is sea-born dies on land,
Soft is trod upon.
What is given burns the hand -
What is gone is gone...
Here is there, and high is low;
All may be undone.
What is true, no two men know -
What is gone is gone...
Who has choices need not choose.
We must, who have none.
We can love but what we lose -
What is gone is gone.”",-0.717,108
0:04 Thor Ragnarok in a nutshell,0.0,6
0:05 I'm warning you...very emotional 100% will cry so inspirational,0.0878,13
230 frost giants disliked this vid,-0.4019,6
6 mill subs!!!,0.0,6
6 million!,0.0,3
A moral in guise of a myth...,0.0,8
"Actually, though a huge Gaiman fan, and a fan of the Norse mythos since childhood, i found his 'Mythology' kind of colorless. A simple point by point retelling in modern language. His Mr Wednesday is far more interesting, sadly... i expected this to be on a par with the Roberto Callasso books on greeks and hindu...",0.8357,66
"Ah, one of my favorite Norse myths. The illustrations were amazing, by the way. Btw, Neil Gaiman’s book is (IMO) worth every penny.",0.8271,33
"Ahh this movie :) 
https://www.youtube.com/watch?v=XwAGt9dvZdo
http://www.imdb.com/title/tt0094238/",0.4588,6
"Also, read Rick Riordan's Magnus Chase and the Asgardians: The Sword of Summer",0.0,15
"Amazing, just amazing!",0.8356,5
"And director, Fenar Ahmad, is going to make it into a movie!",0.0,15
"Anybody else here because Magnus Chase XD
<3 u TED-ED! And I love all the animations! It makes it so much easier to remember the info :)",0.9601,29
"Aren't you glad that Muslims was around and preserved what they could get their hands on when Christians was busy eradicating all European knowledge and wisdom???
If it hadn't been for them all the old Greek texts would have vanished!",0.4122,44
"As much as I love Neil Gaiman's works, I feel like he takes a little too much liberty in his Norse stories for the academic in me. I prefer going to Jackson Crawford for my Norse Mythology, to get a grasp of the stories, then going to people like Gaiman to see how they retail them.",0.9069,61
Asgardia is picking its government. Wake up USA!,0.0,10
Avengers 4 plot leaked,-0.3182,4
Before they met the giant they stayed first at an old man's house to rest.,0.0,16
