,sentiment,wordCount
"""She lost a lot of weight she looks great"" Look I think women should do whatever they want with their bodies to make themselves happy as long as it's healthy but she was never fat to begin with. Yeah she was a little thicker but she always looked great. Her ""losing"" weight doesn't make her look any different.",0.9287,65
#Zhavia,0.0,1
0:08 i hear meghan say “no one knows”😂😂,0.0,12
0:41 she sounded like she was demi lovato..,0.3612,9
1:28 “DEAR FUTURE HUSBAND IF YOU WANNA BE MY ONE AND ONLY....”😍😍😍,0.0,18
1:29 look at jimmy fallons eyes,0.0,6
3:56 she sounds like Ariana grande,0.3612,6
"4:21: “Don’t disrespect me! I’m a woman have you met one before?!”
5:51: “I cried and left because they didn’t let me speak”
ooook",-0.717,39
4:30,0.0,1
After seeing her on 4 I lost respect .,0.2023,9
Am I the only one who saw the photo of her and him and the bag of dildos ahahhaahahahahahah,0.0,19
Anyone else who thinks Ally Brooke  n Meghan kinda look alike,0.0,11
Ariana + Ally (5tharmony) + Blake Liv.= Meghan Trainor ^_^,0.0,16
Ariana Stacey nope other way around. Watch previous videos Meghan didn’t act like this.,0.3612,18
ArianaThisIconicWoman I love em too!!!,0.7249,8
Aww she looks so happy 😊,0.6948,6
AyeItsNoura me too also Ariana!!,0.0,7
Can stand her,0.0,3
Congrats on this ! congrats on that!  congrats congrats congratsss!,0.938,12
Dammmmnnnnnnn she lost weight!!!!,-0.5374,7
"Damn, i got a huge crush on her. Come get you some Good Latin Love.",0.7269,18
Dear future husband.... he better take notes now,0.6705,9
Did she really leave the four?,-0.1263,7
Diddy is a B!!!!! I've heard it from people that use to be signed by him. He treated them like shit!!!!!,0.5673,28
Diddy isn’t even talented don’t know why he’s judging he’s just very annoying. I wish Will Smith would because I know he’d do great even though he isn’t directly involved in the music industry!,0.8261,48
"Diddy, Jay-z and Kanye are the most misogynistic, egotistical and mean people in the music industry let alone in general.",-0.4902,23
Dingbat.,0.0,2
"Don’t like Megan ,,,,,she is all selfish",-0.1531,12
"Dude, I am Meghan Trainors BIGEST FAN!!!!!!!!!!!!!!!!!!! I luv her!!!!!",0.0,17
Ela é com certeza uma das melhores pessoas que existem. Eu a amo muitooooo DIVA 💗💜,0.0,18
EpicPie9121 she is,0.0,4
Even though that I love Meghan trainer all she did in the four picked a favorite and that was zhavia poor Kendall,0.6249,22
"Everyone who was watching the four was because Z, and she ""lost"", so Meghan did the right thing.. respect !",0.5255,25
Fat bitch needs to get on the track!!!💀,-0.6884,12
Fuck P.D,-0.5423,4
Gak pake bh sepertianya,0.0,4
Girl you can fit into a few sizes smaller now,0.3612,10
Good she didn't need to be on that panel anyway,0.4404,10
Happy birthday!!!,0.6784,5
Her earrings look like a big toenail 😂 LOL,0.7213,9
Her personality is so real I love it,0.6682,8
Her personality reminds me of Ariana Grande,0.0,7
Her song all about that bass is no famous no longer,-0.5267,11
Her speaking voice would be really good for the radio or even voice acting,0.4927,14
"Hi Meghan,
Oh we know now why you cried on the 4...Becuz you were acting as an audience not as a judge.  You are an amazing person zo thats fo sure.",0.5423,36
Hi guys check out + like https://youtu.be/C2V9jIUobiY if you like to make your day better,0.7845,15
Hishy Picky my guess in the middle of March or beginning of April,0.0,13
Hooray she's back to blond,0.5106,5
How many times is she gonna make a shocked face tho like 😮,0.0516,13
I  would have cried watching this video because I always wanted to marry Derek as a kid 😂😂😂😂,-0.3818,20
I HAVE NEVER REALISED HOW MUCH SHE RESEMBLES ARIANA GRANDE. WHY AM I FREAKING OUT. HAS ANYONE ELSE EVER NOTICED THIS?!,-0.4753,25
I am so happy for her!👏🏻😄♥️.                   💍,0.6468,14
I didn't even know she had a boyfriend 😂,0.0,9
I dnt like her she's not judging for talent this Bitch judging cuz she wants the dick the last white boy on there she was on his dick n u have a fiance lust,-0.8986,34
I don't know why but her smile and voice reminds me of Ariana!!!!😲,0.6617,17
"I don't understand, you both pick a ring together which means you already know he's gonna propose so why are you acting surprised again? screaming & crying for what?",-0.6322,32
