,sentiment,wordCount
"""Friday"" of 2018! Oh no... This talent is never going away?!",0.5242,17
"""The Walking Dud"", coming soon to a theater near YOU!",0.0,14
#zoms vs. poms who are you zombie or a cheerleader,0.2263,11
*I didn't know I was reading fanfiction*,0.0,9
".........................
I hate it..........",-0.5719,5
"1. ZOMBIES is just Descendants, but with zombies.",0.0,11
"2 things, was that a man at 0:47 and zombies are fiction.",0.0,14
50 years after the outbreak yet they’re teens  and I’m pretty sure they can’t have... ugh 🤢,0.4019,24
"American shows and movies almost always portray Cheerleaders and Athletes as the roles the teenagers should always aspire to be,which is pretty dumb. . . And then you add fucking add zombies and some stereotypical cliches, and you got yourself a first grade high quality garbage of a show. The cringe is too damn high, people who will watch this are the same people who fucking eat Tide Pods and believe the Earth is flat. LMAO",0.5816,81
Another show about how social class is everything? #stopruiningdisney,0.0,10
Are you serious with this shit,-0.5994,6
At least Skillet actually put time and effort into their zombies!,0.0,12
Basically like descendants but zombified,0.1901,5
Bring back high school musical this shit is garbage,-0.6428,9
But what do they eat....?,0.0,7
"CIA, almost funny.
Lick butt.",0.3832,8
Cringe,0.0,1
Cringe is over 9000!,0.0,5
DAAAMN IT'S MORE DISLIKES THAN THE LIKE HAHAHAHAHAHAAHAHAHAH,-0.1263,8
Damn what happened to Disney......I feel bad for my sis she missed out on all the great shows back when I was a kid,-0.5106,26
Dancing rapping zombies? Disney has run out of ideas,0.0,10
Dislike,-0.3818,1
Disney Presents ... Fudgepacker With Green Hair ... Great,0.6249,9
Disney channel is so fkin garbage now.,0.0,8
Disney channel is trash now omg,0.0,6
Disney has just become the channel to make your kids retarded,-0.5719,11
Disney is not what it used to be what happened? I mis the old disney,0.0,16
"Disney production kek, the optimum ratio of spending as little as possible but just enough to attract pre-teens I fucking miss sponge bob",0.1207,24
Disney...black people don't get paler when they die; Eliza shouldn't be pale.,-0.5994,16
Does Disney know what zombies are?,0.0,7
"Everyone: Hey Disney why don’t we show kids how bad discrimination is with other ethnicities in America.
 Disney: I have a better idea:",-0.1531,29
"Everything you need to know about zombies. It's so crappy, I just blocked the whole Disney channel so the kids can't watch anything on that channel.",-0.7894,29
Everything you need to know is it's shit and Disney finds a way to family friendly everything,-0.1027,17
FIRE WHO EVER MADE THIS DISNEY!!😂😂😤😲,-0.4559,12
"Fuck u disney for ripping off the movie ""Fido""",-0.5423,11
GamingCentral Good for you,0.4404,4
Gayest thing I’ve ever seen. Why would anyone like this crap that was only made for money?,-0.128,21
Green hair girls ill watch it,-0.4215,6
"Hate the idea but love the guy that says ""get out there and lose better"", like it was a question. 😂😂😂",0.631,27
"Here's an idea Disney
Don't",0.0,5
"Hey guys if your bored or anything, please make sure to come checkout the new video my little bro and I made.We worked hard on it, hopefully you enjoy. Thanks",0.872,33
Hey the main girl is from American Housewife! Bruh,0.0,10
How is this trending?????,0.0,7
"I actually TRIED to enjoy this movie, but I couldn’t. I watched around 20 minutes, and I was done. The plot was not played out well, and the characters were not the best. The two characters I hated the most were Bonzo and the cheer captain (forgot his name). Bonzos character seemed WAY too forced as a comedic character, and the cheer captain was an annoying stereotypical character to watch. The only good character was Eliza, which barely had any lines (at least from what I watched).",-0.6459,104
"I can tell ya about the movie in 10 or less seconds.

Its a stupid movie with 1900 graphics.",-0.483,21
I didn’t like it but I’m gonna use a quote from it for my like motto. “ Lose better”.,0.1154,26
"I feel like this is like when you see a meme on Facebook, it’s a dead meme. 🤦‍♀️",-0.0772,25
I feel sorry for the actors but I guess you got to start some where.,-0.0387,16
I hate you ivan soto👹,-0.5719,6
"I have green hair.. shit, I didn't realize I was a zombie!
Honestly this looks like absolute trash and a shit concept 😂",-0.4574,26
I live in a small town called seabrook...,0.0,9
I love this movie! Great job Disney,0.8622,8
I love your picture really cheesy😉,0.6369,7
I mean Cody witlock sun.,0.0,6
I mean I'll let pass decendants but now this!,0.0,10
I was born on the wrong generation smh😒,-0.4767,9
I'd rather visit the dentist for a root canal than watch this,0.0,12
I'm having fun imagining the Mountain (post-Qyburn) being introduced as the new zombie linebacker.,0.5106,17
"Id be a zombie to, if I watched this..😳💀💩",0.0,14
"Idk about anyone else but the first things that come to mind when i think of zombies are their athletic ability, dancing, green hair, not being decomposed at all, the desire to learn, and the racism against them.",-0.09,44
"If you listen closely, you can hear my childhood scream out in pain.",-0.7184,15
"If you take the movie's plot and replace all of the zombies with African Americans it actually makes a lot of sense. considering the boundary that separates them was made 50 years ago. Anybody know what happened about 50 years ago? The late 60s! Disney is low-key shouting out segregation.
And Zed and his friends are low-key the Little Rock 9!",0.5696,67
Is that Corbin blue from Jump In little sister ?,0.0,10
Is this fr,0.0,3
Is this it?  Are zombies finally not cool?,-0.323,10
Is this subtly race relations and High School Musical in one package?,0.0,13
Is this what disney turning into?😂,0.0,8
Isn't this movie kind of like supporting necrophilia.,0.6258,9
It's a good video just I wish I could see the movie. Please make a video of the movie.,0.7845,21
It’s a tide ad,0.0,6
It’s nice to know how much time was spent in this plot.,0.4215,15
"I’m scared 
why the green hair",-0.4404,8
"Just me, or is this like Descendants, but worse",-0.496,11
Just when I thought Disney couldn't get any worse.,0.3724,10
LOL THE DISLIKEDS!!😂 really disney dis movie is dumb....,0.627,13
"Last minute shit, and a movie about zombies, why? WHY?",-0.6072,14
Let's all cheer for Cody withlock sun. CODY CODY CODY.,0.5106,12
"Let’s take a minute and ask the real questions, like umm...for instance...

What the actual fuck is this shit?",-0.6808,26
Lmfao! This is cringe!,0.6229,6
Lmfaoooo take this fatass L Disney,0.0,6
Looks like C-A-N-C-E-R,0.3612,3
Love it,0.6369,2
More dislikes than likes :),0.4715,5
More dislikes than likes😂😂,-0.4576,6
"NFL, it's like the Batman's Joker got raped by Hannah Motanna and had a boy and girl that inbreeded into this gah-bage!!!",-0.5386,26
Ned's Declassifed Survival Guide: Zombie Edition,0.0,7
Nepojew owned media,0.0,3
"No substance anymore with Disney, absolutely terrible.",-0.6801,9
Not just zombies but Jewish Marxist leftist commie degenerate trans garbage scum zombies got to go IQ dropping fast,0.0,19
Oh my cluck,0.0,3
Ok I’m not doing this for attention. I put so much work and effort into my videos. I’m almost to 200 subscribers. That’s a huge mile stone for me. So if you subscribed it would mean so much to me :),0.7579,51
"Okay. I honestly want to die now, knowing this shit exists.",-0.6059,14
Oof. That like to dislike ratio...,-0.0258,8
