,sentiment,wordCount
.,0.0,1
A little exercise James will go a long way.,0.0,10
Agent though after pray invest cattle blend poetry sanction coach hand divide.,0.6705,13
Allyson Angel Maquiling  ‘,0.0,4
Damn i will eat Greta pussy so bad,-0.8015,8
"Dear Friends, Jesus Christ is THE RISEN ONE who shines upon you always. Understand when you worship Jesus Christ you are worshiping a living Deity, not an idolatrous man-made image. Your relationship with Jesus the Christ is meant to be vibrant and challenging as He enters more and more into your life. Do not fear change for it is He who is making you a new creation, with old things passing away and new things continually on the horizon. Embrace all that Jesus Christ can do in your life and find your security in Him alone. Give your life to Jesus Christ this very moment and be ready for a loving, miraculous and awe inspiringly relationship that will span all eternity. ❤️❤️❤️                 (John 3:16;  Matthew 28:5-7;   2Corinthians 5:17)",0.9823,148
Did you just have a stroke?,0.0,7
Die,-0.5994,1
Do carpool karaoke with Fall Out Boy,0.0,7
Does anyone eles have this problem?As soon as they upload videos it says video not available and then a day later it works.Does anyone know why that is???,0.0,33
Does james corden still get views.. literally the worst late night host ..right behind jimmy kimmel,-0.6249,18
Ewww she’s so fucking ugly,-0.5956,7
"Except that out of the tens of thousands who ""followed their dreams"" she was the only one of them who made it. You only see her success but fail to see all those who did the exact same thing as her but failed along the way. 

Anything is *not* possible, which you'll soon find that out anyway Anastasia. I mean look at you, look at your content. You'll never be a ""successful Youtuber"". Your content is the same recycled garbage that millions of other girls who look exactly like you are making. And if you're going into this for the fame and not because you actually want to create content no one's making then you'll never make it. 

So no, don't follow your dreams because there's a 90% chance you'll fail, and Greta Gerwig is that 10% who made it.",-0.7358,160
Fack Off HAHAHAHAHAHA EHAAAA EHAAAAA SHES HALF HOMOSAPIEN HALF EQUIDAE!!!!! SHE MAKES SARAH NESSICA PARKER LOOK LIKE A MODEL!!,0.6598,24
"Fack Off if shes isnt an online troll, she sure has the looks of one.",0.3182,17
Fashion,0.0,1
First like,0.3612,2
"Fuck you Sacramento, that city gave me The Clap.",-0.5423,11
"Guido Anselmi 
Preparing for her role in The Great Gastby 2.",0.6249,12
I can confirm this. We are secretly getting married.,0.0,11
"I hope the 1% that see this remember to always keep following their dreams. Never give up, Anything is possible!!! Mine is to be a successful YouTuber! ❤️ (which is really hard nowadays, anyways I’m always looking to support other youtubers!!) 💞",0.9114,57
I think she is signing.,0.0,6
"I would bag those cheetos....



Oh c'mon you know I had to.",0.0,14
"I would eat Greta anytime, any day of the week.",0.0,12
I'm from Sacramento 😀I'm so proud of her! 😁,0.6466,11
"If you’re making videos because it brings you happiness and not because it may bring you money, then you can only really ever be successful! Subscribed! Keep me inspired",0.909,34
"It's Lady Gaga after transition...




It's a joke...",0.0,10
"James ya gotta make
more CarPoolKaraoke
vids!!!!",0.0,10
"Jason Woods HAHAHAHAHAHAHA YOU DID GET BULLIED AND ARE FAT! CALLING SOMEONE A RACIAL SLUR ISN'T FINISHING IT, IT MEANS YOU CANNOT THINK FAST ENOUGH TO COME BACK. You sad pathetic cuck, hide you mother and wife, or else you'll be made to watch. Beard neck lmao",-0.8666,53
"Jason Woods anything beats being a Shrek like Apex Child Predator. Fuck Chris Hansen, you need Schwarzenegger. A predator like you is highly dangerous & a prized trophy to any avid hunter lmao",0.7836,36
"Jason Woods come up with original insults. The first white guy regrets making his race so far behind in the insult game. You insult someone not a race, funny thing im not even black so you i sulted the wrong race. Beard neck + Swamp = Shrek. Youre Shrek",-0.9338,54
Jason Woods nice come back! Lol,0.7088,7
"Jason Woods says the one who has a picture of a cat as his profile picture. Just from that picture I know you're fat, beard necked, lonely and an apex child predator.",-0.3612,36
Jason Woods youre sad kid. You let bullies bully you in school. Thats a shame you cant even stand up for yourself after engaging someone. Dont pick fights you cant finish,-0.8658,34
"Lil man just go kill yourself ain't nobody
like you, yo mama don't
even like you, yo pops
don't even like you.
so why don't you just
shuthe fuck up, stop typin negative shit on 
the comment section,
mind yo own business
and leave. There, sound
fair to you? If not, just
go fuck yourself cuz 
ain't nobody wanna deal 
with dumb fucks like you",-0.986,74
Mine is Hot Cheetos and a Dr. Pepper.,0.0,10
More carpookkaraoke PLS especially with BEBE REXHA,0.3207,7
"Mr3344555 Bruh she has more gums than teeth, ugh horse mouth!",-0.4753,13
Mr3344555 ahahahahahaha toats dude toats,0.0,5
Mr3344555 always ugly dudes who are fat and ugly judge woman like that lmao,-0.0516,14
Mr3344555 ikr ugh I love being skinny an young An hot you tried tho that’s why I said toats !!  LMAO god bless fat xo,0.9103,28
Mr3344555 oh trust me I can finish it fat nigger lmao I just don’t care cuz I can tell ur ugly An boring An dress like shit later dude An nice YouTube name an pic xox byeeee,0.296,39
Nasty looking Jew,-0.5574,3
Regodles ov wut hepenz ut de uskuz? Wtf are you saying,-0.5859,12
Second obviously wooden zxhayp blind fact with enough review hardware beautiful born yesterday.,0.296,14
Separate possibly unexpected disk couple competitor link earn regular.,0.0,10
"She also needs a dental procedure named after her, look at those teeth. Thats not personality, thats her thinking that a curse is cute.",-0.128,28
She has short fingers,0.0,4
She kinda looks like IT in the thumbnail.,0.3008,9
She looks like justin roilands girl friend,0.6908,7
She's such a delight,0.5994,4
The two videos for today were not de-interlaced.  I think they uploaded the wrong version or they were encoded with the wrong settings.,-0.7351,25
They should of named it The Great Gerwig,0.6249,8
Tupac Shakur I do not understand English you're just a joke just a joke,0.5267,14
Tupac Shakur u are gay,0.0,5
U are gay,0.0,3
We love Greta Gerwig! Sacramento  represent!,0.6988,8
What is it with everyone commenting on her looks? God chill the fuck out.,-0.34,16
Whats wrong with the hands? anyone?,-0.5362,8
Why does she look like she just came out of a shower with the curtain wrapped around her.,0.3612,19
"Yea, she eats human flesh... with those teeth,, are you kidding me? How bout a spleen for desert?",0.1926,24
You are retarded so stfu,-0.5719,5
an angel,0.0,2
come man,0.0,2
f,0.0,1
"khoa minh 
Thanks for that. Now I've got a quarterlife 20 second half chub!",0.4926,16
my girlfriend,0.0,2
nuke018  Yup.,0.0,4
she got uglier i dont know why,-0.4939,7
she's so beautiful,0.6361,3
shut up she's mine,0.0,4
so goddamn gorgeous,0.2228,3
"uabir , don't tell anyone but she is a tranny.",0.0,11
uabir probably just nervous,-0.2732,4
