,sentiment,wordCount
!!!!!NEXT VIDEO IDEA!!!!!!! : What if the Portuguese Empire Reunited Today?,0.0,18
"""Fate and circumstance""... More like the God who created everything.",0.7316,14
"""That's no moon that's a space station""",-0.296,9
"""Yes! Good goyim! Promote ads"" 
*Rubs hands jewishly*",0.7256,14
"""they might form into a ring around our planet""
Kim Jong un: NUKE THE MOON",0.0,18
"'what if we destroyed the moon'
By koro Sensei",-0.4939,11
*That's No Moon!*,-0.3595,6
*The Thumbnail Question Isnt Even A Question?*,0.0,10
2037 time machine 2002,0.0,4
"A pedant writes: They're only meteorites when they're found on the ground. Before that, they're meteors.",0.0,20
All we have to do is build a Death Star.  It can't be that difficult.,-0.4195,17
Always americans with their stupid plans,-0.5267,6
And what would happened to the moon if earth was destroyed...?!,0.0,14
Another negative effect that will happen is there is not  going to be a lunar calendar,-0.5719,16
Answer: Termina would be safe.,0.4404,7
Answer: We wouldn't have any moon.,0.0,8
"Antarctica would never be realistically colonisable as it would still experience many months of darkness, making it impossible to grow good crops",0.2263,23
Antartica is an archipelago,0.0,4
Any assassination classroom fans?,-0.5994,5
Anyone thinking about Assasination Classroom?,0.0,6
Anyone up for smashing the moon?,0.0,7
Assassination classroom,-0.5994,2
"Beginning of the video

""Made possible by universe sandbox ²",0.0,11
Best channel I know 😍,0.6369,5
But how can we destroy the moon if we have never been there before?,-0.5423,15
Buyer bite gravity switch environmental shift God what relative matter consumption.,0.296,12
Can skillshare teach me how to cook meth?,0.0,9
Casper Lindberg what kind of nerd are you ? Calculating the percentage... it says a lot about your life.,-0.3597,21
"CasperInkyMagoo Actually, 5.4 %.

Just saying, retard.",-0.5267,11
"Conclusion: so, let's keep that moon around at least for now and at least for romantic reasons and future discovery ( of its surface) and as a place to settle in bases for relieving Earth's population growth. Okay? OK!",0.8984,45
Delete this before Kim Jong Un see's it.,0.0,9
Dew it!,0.0,3
Dont destroy the moon,-0.5423,4
"Don’t let a stormtrooper do the job 
He will miss...",0.0,13
