,sentiment,wordCount
"""I cried the other day""
* laughs lightheartedly *",0.1531,11
*Han Solo Would Be Proud Of Her..*,0.4767,10
"*How far did she get?*




*further than us*",0.0,13
*M A R Y   S U E*,0.0,9
1:14 Daisy only has 4 fingers😶,0.0,7
"1:34 god damn it, Star Wars still better than Star Trek (i've seen it and it's alright)",-0.3182,20
"2:35 The whistle in ""finished"".",0.0,8
2:35 that whistle,0.0,3
"5 minutes my ass, in reality those types of lego sets can take up to a long time",-0.5423,19
5 minutes!!!!!!!!!!!!!!! Rey has no chill,-0.5216,9
A lot of people think you and kilo are in love for THE movie,0.6369,14
Anyone else get a hard on watching this?,-0.1027,9
Awesome,0.6249,1
Be my girl,0.0,3
Benton Bravo because they’re perfect,0.5719,7
Best character in Star Wars.,0.1531,6
Bill The Bull Gates I'd buy all of it if she did. She is one fine doll.,0.2023,19
Bitch build the fucking lego,-0.5859,5
Bitch can't do anything,-0.5859,4
Blg Why NOT that’s nice.,0.4215,8
Bruh why the music in the background..  Its so distracting,-0.4341,11
"Bullshit, she did not finish that in 5 minutes, it takes like a fucking hour to build that shit",-0.7096,21
Came here for the lego building experience,0.0,7
Can I admit that I have a crush on Daisy Ridley? Because I do.,0.0516,16
Chris Davies What do you mean?,0.0,7
Click bait,0.0,2
Cory Huddleston wtf,-0.5859,3
Cute girl . . Like candy. .,0.6705,6
Cutie :3,0.7003,3
DAISY is really adorable.,0.5413,5
Daisey! Use the force skype,0.0,6
Daisy,0.0,1
Did she actually builded it.....,0.0,6
Did she actually built it,0.0,5
"Did she said ""I built it in 5 minutes""???",0.0,14
Did she say it took her 5 min to build,0.0,10
Didn’t Adam driver get divorced #reylo,0.0,8
"Episode VIII sucked, but that wasn't Daisy's fault. She's great.",0.8194,13
Ethan R. Byrd this was uploaded one day before my birthday,0.0,12
Exactly,0.0,1
Fake,-0.4767,1
Gary Stu!,0.0,3
Get the whole cast to build a huge stormtrooper,0.3182,9
God I hate this woman,-0.3818,5
Good,0.4404,1
Her smile makes me smile :),0.7906,6
"How did she do that in five minutes??????
Not hate I'm just amazed.",-0.3527,17
I LOVE SO MUCH HER ACCENT :^),0.8415,9
I Will give anything just to she could be my girlfriend,0.0,11
"I am in love with Rey! Daisy Is amazing, we are bound by the force to be together.",0.8516,21
"I appreciate daisys' effort in building this lego falcon while answering questions, but... the construction of the cockpit is really the thing that take away my concentration from her answers.",0.4019,34
I built one in 8 hours,0.0,6
I cried toThe other day,-0.3818,5
"I eat , sleep , and love this video",0.6369,9
I en Jeff THE killer en,-0.6486,6
I feel...,0.0,3
I hate the word whilst,-0.5719,5
I have built a millennium falcon before with legos.,0.0,10
I have that set,0.0,4
I have the same LEGO set,0.0,6
I have the same LEGO set!,0.0,7
I have this set,0.0,4
I just realized that I could only hear the music. 🤔🤔🤔🤔( I can't believe she built this😊😊😊😊😊😊,0.0,24
"I know it's hard to multitask, but c'mon. She made like no progress with the set while building XD",0.9052,21
I love bunnies. But I'm also allergic to them,0.4588,10
I love cats but I'm a allergic to cats aswell,-0.0516,10
I love daisy,0.6369,3
I love daisy Ridley :),0.802,5
I love her hair like that (and I love her everything),0.8979,13
I love her smile ❤️,0.7717,6
I still don’t have the LEGO millennium falcon.      :(,-0.4404,12
I thought it was the UCS MF,0.0,7
I want the lego she toutcht,0.0772,6
I want to build a Milinnieum Falcon and have someone ask me questions,0.0772,13
I wish you were my girlfriend Daisy Ridley cause you're beautiful,0.765,11
I wonder what it's like to be a famous actor and all these toys are made to represent you I would totally get them all,0.3612,25
I'd like to see her Rey impression,0.5267,7
I'm allergic to cats too,-0.296,5
In one part of the Milenium falcon she built it incorrectly,0.0,11
Is construction real?,0.0,4
Is fan lego star wars,-0.3182,5
Is no one else wondering why her dad cut all her hair off when she was 7???,-0.5913,20
Is this your cannle rey,0.0,5
It must be awesome to have a mini figure made after you!,0.6588,13
"It seams to me that daisy will have to book all 2,920 comments into a date. Lol",0.4215,18
It took me an hour to build the millennium falcon,0.0,10
It's weird not having the questions. Looks like she's talking to herself,0.2023,13
Its an aluminum falcon guys,0.0,5
It’s very easy to tell that she just was on the first LEGO page and holding the same LEGO brick the whole video but at the end she finished. This is framed,0.2724,35
I’m a vegan,0.0,5
I’m faster,0.0,4
I’m in love with Daisy Ridley,0.6369,8
I’m pretty sure her best starwars impression is Rey,0.891,11
Jacob Thomas and Legos.,0.0,5
Jayden Yoo She's gorgeous. I'd love to own her. She's so sexy.,0.9269,15
Jayden Yoo She's gorgeous. I'd so do her if I could. So beautiful.,0.8479,16
Jee u cryed in the movie to maney times,0.0,9
Joe D 2:57 I always pause it there.,0.0,9
Kurapika Kurapika yeah like:( you fear you will never be as powerful as DARTHVADER!!!!!!!!!!!!!!!:) That would be awesome.,0.4471,24
Legos are easy because they are for kids. Try building the millinium falcon out of Duplos that takes real skill.,0.4404,22
