,sentiment,wordCount
*3.7k views* ... trending???,0.0,10
*She's remembering last night actually*,0.0,7
"*Tamika, lemme grab ya titty*",0.0,8
"*dancer grabs wardrobe quite viciously 

Dancer: ""that's what u get for taking my spotlight u bitch""",-0.7501,20
"*more dislikes than likes....




This is the new ""It's everyday bro""....",-0.4019,16
"+Clorox Bleach YouTube might tell us that, but there are several channels I know that get 100,000 in less than an hour and they’ve never been in trending",0.0,32
"+VIP Limousines 

Trending on YouTube

Trending helps viewers see what’s happening on YouTube and in the world. Some trends are predictable, like a new song from a popular artist or a new movie trailer. Others are surprising, like a viral video. Trending aims to surface videos that a wide range of viewers will appreciate.

Trending is not personalized. Trending displays the same list of trending videos in each country to all users, except for India. In India, Trending displays the same list of trending videos for each of the 9 most common Indic languages.

The list of trending videos is updated roughly every 15 minutes. With each update, videos may move up, down, or stay in the same position in the list.

What determines if a video is ranked on Trending?

Amongst the many great new videos on YouTube on any given day, Trending can only show a limited number. Trending aims to surface videos that:

Are appealing to a wide range of viewersAre not misleading, clickbaity or sensationalCapture the breadth of what’s happening on YouTube and in the worldIdeally, are surprising or novel

Trending aims to balance all of these considerations. To achieve this, Trending considers many signals, including (but not limited to):

View countThe rate of growth in viewsWhere views are coming from (including outside of YouTube)The age of the video

We combine these signals to produce a list of videos that showcases what’s happening on YouTube and in the world. This means that the video with the highest view count on a given day may not be #1 on Trending, and videos with more views may be shown below videos with fewer views.


Even if your video meets all the above criteria, it may not appear on Trending, as many other videos may also meet those criteria. The Trending system tries to choose videos that will be most relevant to our viewers and most reflective of the broad content on the platform.


YouTube does not accept payment for placement on Trending. We do not include views from YouTube ads in selecting videos for Trending. YouTube does not favor specific creators.

Privacy settings for trending videos

A video can only appear on the trending tab if its privacy setting is public. Videos that change from unlisted to public are treated the same way as videos that are public from first upload. However, if your video gets more than 100 views in a single day while unlisted, it will be more difficult for it to appear on Trending

I copied and pasted this from the YouTube site just for you.  lol",0.9619,485
...meanwhile in tryna figure out the name of the song they were dancing to when she fell 🤔,0.0,19
"3636lk "" *MANLY MEN DON'T HAVE FEELINGS OR OPINIONS ARGHHH* """,0.0,13
3636lk that’s his job and the WHOLE point of the show.,0.0,14
9 thousand views in 6 hours YouTube is fucking selling out,0.0,11
AHAHAHAHAHHAHAHAHAHAHAAHAHAHAHAHHAHAHAHAHAHAHAHAH,0.0,1
ATTEMPTED MURDER!!! 😡,-0.7633,6
AWSOMUS PRIME To The far right,0.0,6
All that weave on stage .......,0.0,6
"All this time spent typing out this hateful comment, you could've googled who Xscape is...🙄🙄🙄",-0.5789,20
Am in the only person that watches singers fall on stage ?,0.0,12
And still handled it like a boss.,0.3612,8
And ur white so you probably grew up plain and cultureless,0.0,11
And???,0.0,4
Another one for the hall of shame,-0.4767,7
"Any FRIENDLY people out there who can SUBSCRIBE/support my beauty channel . I will SUB back, just let me know. ALL genders welcomed ❤️",0.8788,29
Anybody else read travis scott,0.0,5
"Anyone else just dislike because, TMZ?",-0.3818,8
Are you related to that guy Ariel Castro who abducted those 3 girls for years? 😳,-0.5106,17
"As a white 20 year old i have absolutely no idea who these people are, and i guess i shouldn't unless they sang some one hit wonder im aware of",-0.3597,31
Black gay entertainment has come a long way....good for them....,0.4215,13
Black sea Click my YouTube Name and watch my YouTube Channel how augmented Boko Haram Freaks and Hamburg cell Germany blocked me 30 years to learn a profession and tortured. We want our HUMAN rights GG12 UN23 Anna IM Kirchtal Anti ISIG - Boko Haram - Al Kaida - Al Dogan Porz - Dogan the Kinderficker Bitch Germany killed last week relatives No one cares please world help two little kids,-0.891,72
Bye Felisha.,0.0,3
CLICK BAIT!!! That was nothing!! Wasn't even that bad!! I was expecting something like Eddie Murphy Goonie-Goo-Goo!! That wasn't even funny!! Boooo TMZ!!!,0.6264,37
CMD1211 yea considering your age you probably wouldn't,0.0,9
"CNN is fake news. 

And Bill Clinton is a rapist.",-0.8402,12
"CafeNightster ...Agree! If TMZ is going to show a fall, show a a genuine fall. She caught herself, so she doesn’t deserve to be trending. 😆Yes, I am confused.",-0.3802,40
Clearly you know nothing about 90s R&B,0.4019,9
Clickbait,0.0,1
"Clorox Bleach 

🦑🦑🦑",0.0,5
Clorox Bleach It’s obviously paid lol. Don’t act like he’s the stupid one here. 100k views in 2 days is not trending,0.2263,30
DJ Jordan you make no sense,-0.296,6
Dead and Dying 😂,-0.6486,4
Didn't you hear? Getting the lowest view count possible is the trendiest thing ever,-0.3818,15
Dumb,-0.5106,1
Dumb YouTube,-0.5106,2
Dumb hoe,-0.5106,2
English Garden All implants,0.0,4
Eric Friend But your comment did?,0.4939,7
Eric Friend Yet you think “wants” and “once” are the same word.,0.4939,17
Everybody here talking crap about TMZ showing this; yet here we are.,-0.3818,14
FINISH HER !!!!!!,0.0,5
Fake,-0.4767,1
Fall of shame ( Wendy William) 😂😂,-0.4767,9
Feel off?.....,0.0,4
Flops who had at least 3 or 4 hits on billboards main charts!,-0.4003,14
ForEva Young trending page is controlled by someone,0.0,8
Funny Cool Awesome music dope,0.8519,5
F’ing pissed now w/ my loss of memory.,-0.7579,12
GOOGLE PLEASE 🙄 DAMN😒,0.3182,5
Garbage people watching garbage.,0.0,5
GiGo,-0.1531,1
"Girl, why u trippin?",0.0,6
Go to hell,-0.6808,3
"Good, the entertainment industry is failing. Hollywood will fall into the ocean via earthquake or bombers... up to you",0.34,22
Good..to bad she went on to perform,-0.5423,9
Gtfoh,0.0,1
Ha haa,0.34,2
Haha Traces Of Her Lipstick On The Floor Where She Fell!,0.5093,12
"Haha flop, Ms Normani Kordei would NEVER",0.1531,8
Hey I saw your guys' report on Chester Bennington. And can I just say fuck you and everyone who works at TMZ... useless pricks,-0.802,27
Hmmmm well..... I guess YouTube lied to us......,-0.3818,10
Holy shit! That was Epic! Fuck off TMZ.,-0.8264,11
How much do you have to pay to be on trending?,-0.1027,12
How the FUCK is this trending at 1k views?,-0.6408,10
I came cuz of the 3D thumbnail,0.0,7
I don't know who they are so who gives a shit! Lol!,-0.3915,14
I don't see what happened,0.0,5
I feel bad for the chair...,-0.5423,7
I hate TMZ😑,-0.5719,4
"I have no schadenfreude for the mishap in this clip. But rather, I feel disgusted by TMZ for exploiting it.",-0.8176,23
