,sentiment,wordCount
#yourontrending,0.0,1
:3 I wanna bake with you. I wish I could.,0.7184,13
ALMOST 10 MILLION SUBBS,0.0,4
Amazing,0.5859,1
Awww congrats! 2018 is gonna be even better!!,0.8007,11
BLOOPERS OF 2017,0.0,3
Batman’s impression!,0.2942,5
Big fan! You make really good videos! Keep up the good work! We love ya♡!!!,0.9332,22
Byee ro ro love u,0.6369,5
Can u do mermaid cake with Molly plz,0.0772,8
Can u make a mermaid cake plz,0.0772,7
Can you do a Jacksepticeye septic Sam cake with Jacksepticeye? That would be awesome,0.6249,15
Can you do a what is in my fridge video 😊,0.0,11
Can you do another challenge with Your sister? I miss those,-0.0772,12
Can you do sailor moon cupcakes or minecraft cakePlease??,0.0,11
Can you do something My Little Pony themed. I love that show. <3,0.7806,15
Can you do something from the last Jedi!!!!!!!!!!,0.0,11
Can you do something sims 4,0.0,6
Can you make another  video,0.0,5
Can you make something from the greatest showman movie,0.6369,9
Can you make spaghetti taco's from iCarly?,0.0,8
Can you make the book in Spanish,0.0,7
Can you make your cookbook  in Norwegian,0.0,7
Can you please make a Spanish version of the Nerdy Nummies cook book this year so I don't forget my Spanish.😂 Also I love your videos huge fan,0.8967,30
Can you please make something Stranger Things,0.3182,7
"Can you please please please with a cherry on top do a Riverdale themed dessert!?!?!?!?!?! Please!!!!!!!! Thanks, p.s, I love you and your videos!!!!!!!!!!!!!!!!!!!!!",0.9511,45
Can you pls do something bts cuz I love them plsssssssssss,0.6705,11
Can you plz make star wars cake pllllllllllz,-0.5106,8
Chicago!!!! That's in my home state!!!!!,0.0,12
Collar with WENGIE!!!,0.0,6
Come to El Paso pls,0.0772,5
Come to the uk,0.0,4
Cooking with Justine,0.0,3
"Could you make something that is avatar the last airbender??
I would love you forever
even though i already love you ;)",0.8924,24
DO SOMETHING TIDE POD THEMED!!!,0.0,8
Do a meat an greet in Nevada,0.3182,7
Do a video of what you  got for Christmas 🎄🎁🎁🎁🎁🎁🎁🎁,0.0,13
Do a video with Collins Key & Devan Key,0.0,9
Do another challenge with Kurt <3,0.4939,6
Do something with Jojo Siwa,0.0,5
For 2018 Can you please make a slurp juice from Fortnite,0.3182,11
"Got here early! Nice video, as always :D! Keep up such good work!",0.7633,17
HAPPY  NEW   YEAR  !!!!!!!!😆😆😄😄😆😆,0.765,12
HAPPY 2018 RO!!😗,0.7199,6
"Half of this is literally Justine
*not complaining*",0.0,10
Happy 2018 Ro !  (me and my sis thought of this for you to make ) 3...2...1   Fidget Cube Cake Pops,0.6114,26
Happy 2018 rosana and cookie,0.5719,5
Happy New Year 🎉🎆,0.5719,5
"Happy New Year, Rosanna! Tell Mo and Justine I said Happy New Year!",0.8395,16
Happy New year's Rosanna can you please do the takie challenge with iJustice happy 2018,0.875,15
Happy new year ro!,0.6114,5
Heyyyyy ro I wonder if the nerdie nummies cookbook could be in Spanish because I'm from Cuba and I speak Spanish and I would love to get the cookbook so my mom and I can bake cakes or cupcakes because I am passionate about baking.,0.8225,46
Hi Ro I love your videos your my inspiration can you please make a pig cake❤️🐷,0.872,19
Hi Ro check out Raphael Gomes 's video he did recipes from your cookbook,0.0,15
I Sade up all night that day,0.0,7
I WAS AT THE MEET-UP IN CHICAGO!!!! I LOVE YOU RO!!!!!!!!!!,0.7482,17
"I adore you, Rosanna. I hope to continue enjoying you and your creations for a long time.",0.91,20
I can't believe it's 2018 already!!! It's so crazy.,-0.6114,13
I don't bake but I love to watch Nerdy Numies,-0.7052,10
I find it funny how your mom and dad had their own 40th this year and mine had their 50th,0.4404,20
I h am a big fan   and  can you please  cook fries,0.5574,12
I hope you enjoy this 2017 Recap Video! What was your favorite memory from 2017?,0.8553,17
I hope you have an AMAZING new year Rosanna!!🎊❣️ Also may all your wishes come true this year :D,0.9473,24
I just subscribed,0.0,3
I love this! And you! Great !! ❤️,0.8877,12
I love u so much to!,0.6696,7
"I love you & Justine, for some reason I gave you two a ship name either Justanna or Rostine.",0.6369,21
I love you. 😃😃😃you make me do happy!,0.8478,13
I love your baking line with Wilton on amazon!! Super cute!! My favorite thing from your line are the little puppy paw silicon molds!! Adorbs 🐾😍❤️,0.9514,35
I love your dads mustache who else?,0.6369,8
I love your videos and you are always so beautiful ! 😍,0.8881,12
I loved it when you played that Five Nights At Freddy's game with MatPat I loved it when you freaked out! You were so funny! LOVE YOU ROSANNA! <3,0.971,32
I loved the movie jumanji welcome to the jungle,0.7845,9
I miss 2017! Good times!!!,0.5374,9
I saw when she got scared from Freddy it was funny 😆,0.0,12
I was able to meet you in Chicago. You were so wonderful to meet! I even made a friend waiting in line!,0.8599,25
I went to the meet and greet in Ohio and I got to meet you it was so fun 😁😁,0.7609,21
I wish I had a year like that :'(,0.25,9
"I won't spam, but you should also do a video with aphmau! That would be awesome!",0.8311,19
I would totally ship Rosanna pansino with swoozie,0.0,8
I'm a new subscriber,0.0,4
ITS 2018,0.0,2
"If u do another tour please go to Albany,Georgia!!",0.4374,13
In my opinion.....we need more YouTubers that are this jubilant,0.6956,12
It is by watching your video that I realize that I missed a lot in the year 2017,-0.296,18
Its amazing that she is always the smallest,0.5859,8
JUSTINE AND ROSANNA PANSINO ARE MY BESTFRIEND GOALS,0.0,8
Jeez so many ones with Justin's I love it also can u make something twenty one pilots themed it would mean the world,0.6369,23
"LOVE YOU RO!!!! Keep up the great work! I can't wait to see what the year has in store for you!
P.S. The Legend Of Zelda series is my favorite",0.9349,38
Let’s make it to #10Million subs in 2018!,0.0,11
Libro  español 😇😢,0.0,4
Love love your videos,0.8555,4
Love you Rosanna😁,0.6369,4
Love you Rossana!!!!❤️❤️❤️,0.7482,12
Love you ro,0.6369,3
Love you so much Ro! Hope you have a great 2018!,0.9193,13
Make  a Spanish version of your cookbook 🤗,0.0,8
Make a getting over it cake!!!,0.0,9
Make a stranger things cake please,0.3182,6
Make a tide pod,0.0,4
Make an emoji puppy cake pls! Love your videos.,0.6996,11
Make peanut butter cake,0.0,4
Make something from phych🍍🍍🍍🍍🍍🍍🍍,0.0,7
Make something riverdale please,0.3182,4
Make your logo on a cake,0.0,6
Molly looks just like your mom😂,0.3612,7
More Mo ❤,0.0,3
My favorite video from 2017  was when Justine and Ro tried the pineapple candy. :p,0.6124,16
My favorite video was when you used the tiny oven with Justine I was dying the whole time hilarious,0.6908,19
My name Roseanna too,0.0,4
No video with your sister mo any time we miss her a lot,-0.4215,13
OH MY GOD IM FREAKING OUT!!!!! I actually dance supporting the make a wish foundation and I get to meet kids tooooooo!!! I'm glad you do too! 💘😊,0.8429,36
OMG SHE WENT RO ARKANSAS NEAR ME AND I DID NOT KNOW 😭😭😭😭😭😭😭😭😭😭😭,0.0,15
OMG YOU HAVE TO DO STRANGER THINGS INSPIRED CAKE AND OR CUPCAKES AND IF you do please shout out maybe..? Or not I am just SUUPER OBSESSED WITH MILLIE BOBBY BROWN AND STRANGER THINGS thx! Also happy new year!,0.8906,43
OMG is it 2018 already? Time just flew by... Happy new  year Ro! Thanks for making my year better❤️,0.784,24
"OMGOODNESS YOUR SO FAMOUS, YOU GO GIRL 🍰🍪🍩",0.0,11
Ok you attened a lot of premiere😱😱,0.296,9
Omg sorry I ment staded,-0.0772,5
One day can you come to oldham its in the uk,0.0,11
PLEASE make a Turtle cake with John Green!!!!!,0.6371,11
