,sentiment,wordCount
"""CAKE AWAY""",0.0,4
"""Got Cake?"" says the fortune cookie",0.0,9
(im just binge watching your videos again) I NOTICED THAT WHEN YOU CRUMB COAT A CHOCOLATE CAKE WITH WHIT BUTTERCREM IT LOOKS LIKE COOKES & CREAM,0.4995,28
All i do is cake cake cake no matter hatter what got fondint on my mind when i walk into my shop and every time i step into that bakery every ones forks go up its fat tuesday its fat tuesday ts fat tuesday,-0.2732,44
Am I the only person who thinks that Jocelyn didn't really sound like Jocelyn? huhu,-0.3217,16
Amazing! No wonder you were on *Nailed it!*,0.4912,12
Amazing!!! :D Greetings from Dominican Republic,0.9102,9
Anyone tried to replicate one of these cakes and end up lookin like a disaster,-0.3818,15
Are you a dead person? (Horrible joke from Japanese culture),-0.4767,13
Are you aloud to eat fondant ,0.0,6
But I still love your videos,0.6369,6
But if you could make a Matilda themed cake I would feel dazzled and appreciated,0.5106,15
Cake burritos next!,0.0,4
Can u do a fraggle rock cake,0.0,7
Can u make a light cake 🏳️‍🌈🏳️‍🌈🌈🌈🌈,0.0,16
"Can you do a Thomas the Train cake, dying to see that!",0.0,14
Can you do a collab with nerdy nummies?,-0.0516,9
Can you do a mega lava cake? Plz🍰🍰🗻🗻,0.0,13
Can you make Moana face cake please 😁,0.3182,8
Can you make a hotpot cake??😄,0.0,9
Can you make a princess cake,0.0,6
Can you make alice in wonderland theme plsss,0.0,8
Can you please make a fat unicorn cake? Its so adorable and you are the best cake decorator. ILYSM. Like if you agree! ❤️🦄🎂❤️,0.9424,33
Can you please make a salmon cake?????,0.504,10
Can you show us how to make French butter cream,0.0,10
Cantonese isn’t a written language and you probably wrote in traditional Chinese,0.0,14
Can’t say it enough.... AMAaaaaaaaaaaaazing!! 💕,0.0,11
"Chicken fried rice and an egg roll. Every time.  Some rare occasions I ay feel like lo main, but 99% of the time it's rice.",0.1901,30
Chiken lo me in is my fave,0.4404,7
Could you do a Riverdale cake ? Or a black panther cake,0.0,12
Could you maybe do a start of a person with a medal round their neck for the athletes🙍‍♀️like this but with a medal on their neck,0.7351,31
Creative shall rather acquisition amazing red simply side photo beat loss tribal.,0.6597,13
Did you let the sides stiffen up for a while(if so how long?) or did you add gumpaste?,0.0,23
Do a Funnel cake,0.0258,4
Do a fist cake.,0.0,5
Do a money cake,0.0,4
Do you eat the cake you make,0.0,7
Do you participante un Nailed it?,0.0,7
Does anyone actually make this?,0.0,6
Does anyone know what the syrup does? I’m curious,0.3182,12
Does she waste her cake like that...,-0.0772,8
Dose anyone know where all the cakes go because like she don’t look like she eats them all❤️❤️😋😋,0.6124,26
Early,0.0,1
Eat more cake to be in the fochen cockie,0.0,9
Eh I’m bundling up,0.0,6
Every time she says uppside down I think of Stranger Things,0.0,11
