,sentiment,wordCount
""" peaceminusone "" 😍😍",0.0,5
"""and for those post grads out there.....fighting!"" 😂😂😂😭😭😭 right back at ya 👉🏻👉🏻",0.0,26
"(joan puts down her mug)
me: o shit its about to get real",-0.5574,16
15:56-17:33 Beautiful words Claudine...seriously made me tear up - I can relate so much!!!,0.6981,20
30 min video? heck yes. also joan u look sooo pretty 😍😍,0.7096,15
"AHH I so needed this, been feeling so unmotivated lately but this video totally made me realize that it's okay not to be okay, and we'll all get where we want and need to be eventually ♥ love you two! and alsoo aww I'LL REALLY MISS CLAUDINE",0.7091,50
Also you both look STUNNING in this video <333333,0.516,10
"American college applications are so intense! I feel like here in Canada it's pretty lax. The application doesn't ask about your hobbies and activities. It's literally your name. Citizenship status, transcript and GPA. It's like a bigger high school without a dress code and lots of drinking lol",0.9111,54
"And the experience and the criteria US schools look on are so different from Asia. We seldom look at a candidate as a potential person, trying to help students and shape and grow. We here look more on academic results instead.",0.4019,45
Anyone knows what job does Claudine have now?,0.0,9
"As a UC Berkeley alum I can attest that UCB is today a commie shithole filled with shitty libtard snowflakes. I can only imagine how many times worse Harvard is. If you meet a Harvard or UCB student, run from them as fucking fast as you can.",-0.7717,51
"As a college students, I had mixed feelings watching this.. Although the education system is a little bit different in my country but every student have their hardship.. As a medical student who have 1 year left till graduation, I had so many worries.. There are times I feel like I don't fit medicine, there are so many things to learn, to undersand,  to memorize and to practice that I would worry would I be safe to treat human lives? Just so many emotions & I'm in examination period.. Just wish me luck & thank you Joan & claudine for a great video",0.9705,113
"At first I was like, ehh I've graduated, so this isn't really relevant to me anymore--but I'm so glad I clicked on this. Even if it's med school, not college, I'm worried about, the advice you guys gave and Claudine were so inspirational, thank you!",0.9389,53
Can you do a video about what you guys did after graduating from college?,0.0,15
Claudia is  really insightful . I was just thinking that when you mentioned the book thing... And that really made me laugh!,0.6317,24
Claudine and the red lipstick 💕,0.0,6
"Claudine is honestly so wise and well-spoken. I loved what she said about her not being the right puzzle piece for the other colleges, and them, not being the right puzzle piece for her.",0.8977,38
Claudine is my fave in joanday 👌 and now in her main vid yasssssss.,0.4404,15
"Claudine is so wise! Great video, love this :)",0.9543,11
Claudine's first semester in college is so relatable :D #UPFight,0.6498,10
"Claudine, you made me cry when you talked about how you made friends, That you lost your laughter. I could definitely relate. I'm so glad you had this Q&A with Joan. 😊",0.816,39
"Claudine, you're honestly really inspiring. Makes me want to work harder... Also Joan, thanks for the study tip. I'll try that now, and maybe move my GPA to an upward curve!",0.862,38
"Damn you two are really big time ❤️❤️

Aaaand joans PMO shirt hehe",-0.4019,16
"Damn, the class president convo hit me hard",-0.4767,9
"Did you ever have to deal with disapproval or trying to tell you what to major in from your family? Even if not, do you have advice to get past it? Thank you. This video was really helpful :)",0.8493,43
Didnt know u went to Cal! Go Bears!,0.0,10
Do you have any suggestion for people who's working in non related field with their major? Like they stuck in it for some reason. How can step out and do what you want?,0.2869,36
Don't want any of my kids going to either of these colleges..Much better out there.,0.3975,18
Every words that came out from claudine are just arts i love it,0.6369,13
Film & Media Studies is pretty different than a Film degree that’s why lol. Any major with the word “studies” after it requires you to analyze and write papers rather than produce content. A Film degree would be more production based. Students are required to film and submit pieces. Hope this clears up the confusion.,0.795,64
"Fit and match trump grades and scores. This was something taught to me over and over as a McNair scholar in undergrad, I wish I had known this in high school but as a first generation student with no family experiences about university, I didn't learn any of this until after.

I recommend to everyone to visit the campuses you want to attend. Email admissions or student life and ask for information about where you can stay, connect with students and ask to sleep on their couch if you can't afford a hotel, it shows that you're greatly interested in their school. Email professors in your fields of interest and make those connections, those can also help you get in, especially in graduate school.",0.9436,135
"Follow Claudine on IG: https://www.instagram.com/goingtowardsheartbreak/

Also, here are the time stamps :)
0:48 Where did you go to college? And what did you major in?
1:49 How did you choose your major?
4:40 Did you have a part-time job? Money Management!
6:57 How did you make friends in college?
12:56 Study tip that worked for me
14:24 What makes you not cry at night?
17:49 What food reminds you of college?
19:59 How did you get into your college?
23:44 Also how'd you deal with feeling homesick?
26:15 What's your favorite memory from college? 

What should my next Q&A be about?",0.9137,117
"GREAT VIDEO!  I am going to college in the fall, and I am so excited! :D",0.9306,19
