,sentiment,wordCount
#Amo a ozuna,0.0,3
#ElNegritoOjosClaros,0.0,1
#FuerzaPuertoRico,0.0,1
A y te apoyo chulito😘😘😘😘😘😘😘😘😋😋😋😋😝😝😝😝😎😎😎😎😎😎😎😎🛂 y ángel 😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇,0.0,23
Amo Ozuna,0.0,2
Amo tu musica mi negrito ojos claros!!! Atte: MaryAngel:),0.0,14
Amor💕,0.0,2
Aparte de que me gusta tu música me gusta como hablas,0.0,11
Bebe 😍😍😍,0.0,4
Ben a Costa Rica,0.0,4
Bendisiones chico,0.0,2
"Bonde estu prosimo  concierto y cuando 
Firma : maryuri tu fan",0.3182,11
Buen solo digo,0.0,3
"Cada dia te admiro mas 
♥♡♥♡",0.0,9
Chulicimo. Pobres pero te 😘😘😘😘😘😘😘😘😘😘😘,0.0,8
Cual es cu numero ozuna lo ciento por esta pregunta gracias ozuna,0.0,12
Cuando vader tu procimu cursierto,0.0,5
De Verdad Si Lo Eres El Mejor 😍😍 @Ozuna,0.0,10
Dimelo mami activo y tú,0.0,5
Donde vives ozuna,0.0,3
ECUADOR,0.0,1
"EL MEJOR VIDEO  DE LA MEJOR PERSONA : OZUNA 
♥♡♥♡♥♡♥♡♥",0.0,18
ESTA FEO LO DE PUERTO RICO PERO SIGUES SIENDO PUTO,0.0,10
El Reggaeton y la electronica son las mas escuchadas en el mundo tanto el reggeton la electronica hay muchos fanaticos! ❤,0.0,22
El mejor sigue asi de umilde,0.0,6
El negrito ojo claro,0.0,4
El negrito ojo claro !!!!,0.0,7
En donde se pone el me encanta?❤,0.0,9
Eres el mejor,0.0,3
Eres el mejor voy a ir de México a Puerto Rico,0.0,11
Eres grande te admiro mucho. OZUNA!!!...el negrito claro,0.0,14
Eres mi favorito,0.0,3
Eres mi inspiracion ozuna te admiro ❤❤❤❤❤❤,0.0,9
Eres todo miamor,0.0,3
Es Sierto tien a Sofia y a jacob,0.0,8
Es que Osuna es un amor ta lindo yo prefiero 10000.000000000000 veses a Ozuna q a bad bunny BAD BUNNY ES UNA MIERDA NO ASE NI MIERDA BUENO ozuna I LOVE YOU :v,-0.186,34
Eso es sierto wow cantas muy bien soy tu faann número 1,0.5859,12
"Eso es un verdadero cantante😍😘,yo amaria conocerlo y aparte de eso daria lo que fuera por triunfar como el . La iniciativa la pone uno , y la colaboracion de la musica no se subestima ya que eso aporta demasiado : TE AMO❤❤💖💓a👉ti,ozuna.",-0.296,57
Esta bien,0.0,2
Esto me gusto del 0:00 asta 7:y algo peri me encanto,0.0,13
Fuera cagada conchAtumare,0.0,3
"Gracias
Por darme 
Lo Que me faltaba saber
Eso de
Si 
Tienes talento 
No necesitas la mejor set de grabación 
Sólo es tu talento y tu humildad y llegaré a ser un gran cantante como tú 🎧🎧🎧😌",-0.296,40
Gracias ozuna por compartir todos  tus sentimientos te amamos ozuna,0.0,10
Gran soludos desde MEXICO PUEBLA👍🙌,0.0,7
Grandee,0.2732,1
Hay que mono,0.0,3
Hola ozuna espero q leas este mensaje quiero decirte q me ayuded a cumplir mis suenos,0.0,16
Hola ozuna hola ozuna te mando saludos desde Argentina 🇦🇷,0.0,11
Hola ozuna medisen que tueresfamoso,0.0,5
I love ozuna❤,0.6369,4
It was very good,0.4927,4
Jambre se equivocó Soy Dominicana Saludo Osuna Dios lo bendiga soy de la Romana consigueme un Cell soy pobre,0.0,19
LIKE SI TE GUSTA LA MUSICA DE OZUNA,0.3612,8
La humildad te hizo grande sigue así Ozuna que Dios siempre te llene de muchas bendiciones y prosperidad te admiro sigue adelante saludos desde Perú,0.0,25
La voz de ozuna😍🤤🤤🤤🤤😍😍😍😍😍,0.0,11
Like Si Estás Contento Que Ozuna  ❤Aya Llegado A 10 Millones❤😘 De Suscriptores 🎉 De YouTube !,0.4199,20
Like al que es su cantante favorito,0.3612,7
Like por puerto rico el pais ee ozuna,0.3612,8
Like si amas a ozuna,0.3612,5
Like si es lo mejor  OZUNA👍👍👍:D,0.3612,10
Like si piensas que ozuna es un perro zarnoso,0.3612,9
Like si te gusta Ozuna el negrito ojos claros,0.3612,9
Like te amo ozuna,0.3612,4
Literalmente Ozuna tiene razón si no fuera por yt nunca me ubiera dado cuenta de tus canciones,-0.296,17
MIL Laiks 😍😘☺,0.0,5
Me Encanta JoseLuis Ozuna Rosado 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,0.0,8
Me encantas Ozuna sin duda el mejor y mi artista favorito Bendiciones espero que sigas creciendo en tu carrera musical y saludos desde Ecuador ♥,-0.5574,25
Me tiene lokita su music y él. Que bueno es!,0.0,12
Mi negrito ojos claros👀💙,0.0,6
Mil respetos!!!!!!!!!,0.0,5
Negrito de ojitos claros (te amo),0.0,8
No pasa nada te amo😍,-0.296,6
"Nunca olvides que tienes una hija, cuida las letras de tus canciónes,  videos e imagenes. No seas agresivo tampoco exageres en lujos en tus videos... recuerda a tú gente, de donde vienes. Busca tu ritmo, tu propio flow sin depender por completo del  genero de reggaeton. Me encanta tu historia y tu talento.",-0.7003,62
OZUNA MI MAYOR SUEÑO ES CONOSERTE Y GRABAR CONTIGO PAPI FELIZIDADES DE PARTE DE TODO PUERTO RICO,0.0,17
OZUNA 🐻💣🔥Eres el mejor 🐻,0.0,8
Oh yea check it u ll feel good https://youtu.be/fVDOWPdiXMk,0.4404,9
Ojos claros o entendí todo claro,0.0,6
Osuna te apoyo con tu carera soy tu fan,0.3182,9
Oye papi estas bien bueno,0.0,5
Ozuna,0.0,1
Ozuna Eres descendencia dominicano y nunca has hablado deso por k R.D en alto coño,0.0,17
