,sentiment,wordCount
#BTSInPortugal,0.0,1
#BTSxTTEOTS,0.0,1
#BtsPleaceComeToArgentina2018,0.0,1
#Taiheong #Sinbai #We #love #you #from #the #Arab #throw,0.0,9
#iHeartAwards #BestFanArmy #BTSARMY,0.0,3
**muere**,0.0,5
.....,0.0,1
0:22 jisus :v,0.0,4
0:39 V 😀😀,0.0,4
1M likes only for a teaser? 😂😂😂 is army that huge? 😂😂💕,0.5362,18
2018 rewatching this and still feels excited although I already watched it 48752893847 times.  Yes I'm a super extra ARMY but HEY JM NOT ALONE RIGHT,0.1029,28
"24 days left
PLS include #s to help
We must NEVER😤allow ***to take the lead 
Esp in d last week
MASS VOTE
FROM TODAY PLS KEEP the gap 100M😛UP

#MicDropRemix
#iHeartAwards #BTSARMY #BestFanArmy
@BTS_twt
ARMY VAN 👅💪",0.6971,46
3:33,0.0,1
50 mil! We can do this army!,0.0,9
:v,0.0,2
Aaaaaaa BTS 😍,0.0,3
Amo kpop,0.0,2
"Amo muito 
BR❤",0.0,4
"Andy Bradley 
Entonces escribelo bien :v",0.0,7
"Anyone here ?? 

NO ..okay Then !",-0.5551,9
Aprende ha escribir antes de comentar tonterías 👌,0.34,8
Ariana Cruz Martinez  sope is real😆😉,0.0,8
"Aristeo Aguilar 
Are you an hater?",-0.4215,7
Aristeo Aguilar From you yes wbk,0.4019,6
Ascooo 😷😲,0.0,3
BTS,0.0,1
BTS EU TEAMO😇😙😙😘😍😏🐕💗🈲🈺🉐🈸,0.0,15
BTS SUCKS,-0.3612,2
BTS WAS PLAYING ON A TV IN A RESTAURANT IN AMSTERDAM YASSSS,0.2023,12
BTS en Honduras  por favor,0.4019,5
BTS es oro puro,0.0,4
BTS hurray,0.5719,2
"BTS i love you very very very much 
I am a big fan for you 😁
I hope you are good 👍👍🍫
Happy korean year 🙆
Please  can you wach my video for you BTS 
2U cover jungkook & V in my channel BTS Channel Love  you ever 
This is the link of the video 💕

https://www.youtube.com/channel/UC0XgIuoqSMC6A_lYNVBO1Xg",0.9702,59
BTS is  copy  version  of CNCO 😊,0.0,7
BTS!!!!!!!!!!!!!!!!!!!!!!,0.0,4
BTS가 인도네시아에 올지도 모름,0.0,4
Bts,0.0,1
Bts aoki,0.0,2
Bts i love you💋❤💋💋💋❤❤,0.6369,11
Bts tak hebat tulis firas,0.0,5
Chupamelo,0.0,1
"Dear BTS, Thank you for being there and for giving me so many reasons to smile. 💙😊",0.8402,20
Dick heads (u r what u eat),-0.5106,9
El orgullo chama,0.0,3
El trap es mejor,-0.3182,4
Fascinante 😙😙😙,0.0,4
First 2 min I said wtf why I’m watching this but then I said wow nice song 👍 😁,0.8176,21
GOOD SHIT,-0.1779,2
Gen halilintar me like,0.3612,4
Goood......,0.0,2
Goosebumps,0.0,1
Happy Yoongi day love you ❤❤❤❤,0.836,8
Happy birthday JHOPE..,0.5719,4
"Hello fellow ARMY, If you have time, please watch our MV dance cover of Mic Drop (Steve Aoki Remix) + DANCE BREAK. This is the link: https://www.youtube.com/watch?v=TzSftsLcRXA. Please give us critics and feedback since we really need it xD. Thanks!",0.8203,49
Hello me like you and me suscriber you hello me people indonesia,0.3612,12
"Hey. ....I know that bts haven't a lot of time to make a party in Egypt.....but Egypt really has a lot of armys....really all Egyptians wish if they can come to Egypt😊
Thanks😊😊☺☺❤",0.6597,44
Hi,0.0,1
Hixtappeeee,0.0,1
Hola Elian,0.0,2
I LOVE BTS💖,0.6369,4
I LOVE SUGA 😍😍 I love bts,0.8788,8
I Love You BTS Come TO Turkey,0.6369,7
I Love You Bts <3 <3,0.875,6
I hate my parents for me not able to have merchandise from them,-0.5719,13
I love BTS,0.6369,3
I love bts,0.6369,3
I love bts😚😚😚,0.6369,6
I love it ♥,0.6369,4
I love you bts 😍 😍 😍,0.6369,7
I love you bts😊🤑😍😍,0.6369,8
"I love you, you are great, I would like you to do a concert in Poland, who also want to leave my paw up I hope you read it",0.93,32
I was so hyped for this when it got out man,0.0,11
ILOVE YOU  BTS,0.0,3
IM DOne,0.0,2
Is it bad that my girl likes these guys more than me,-0.1779,12
It is true that BTS will be presented in Latin America (es verdad que BTS se va a presentar en latinoamérica),0.4215,23
It’s out,0.0,4
JHOPEEEEEEE  JHOPEEEEEEEE JHOPEEEEEEE,0.0,3
KEEP STREAMING BTS VIDEOS PEOPLE LETS GO TO BILLBOARD SOCIAL TOP 50 AGAIN,0.368,13
"KIM NAMJOON
KIM SEOKJIN
MIN YOONGI
JUNG HOSEOK
PARK JIMIN
KIM TAEHYUNG
JEON JUNGKOOK
BTS!",0.0,16
Kkk,0.0,1
LOS 😘😘😘,0.0,4
Le pueden decir a jungkook es que junstin bieber le encanta bts y su favorito es jungkook,0.0,17
Let’s gooo,0.0,4
"Likes: + de 1 milhão
Deslikes: só 7 mil e pouco
'-'",0.4215,16
Love bts 😘⭐😉😘⭐😉bayıldım 😉⭐😘😉⭐😘,0.6369,15
Love love love,0.9274,3
Love you BTS,0.6369,3
Love you suga!!!!!!,0.7482,6
"MD, BST & Fire have the best teasers. Damn!",-0.2244,12
MDS DO CEU MELHOR PARTE É A do suga(na minha opinião),0.0,14
ME DAN KANZER HIJOS DE SU PUTA MADRE ESTAN BIEN SOBREVALORADOS PUTOS ONE DIRIECTIONS KOREANOZ ESTAN HASTA EN LA SOPA CON SU REGETON KOREANO DEL KKPOP,0.0,26
"Mariam CNCOwner 
Jajajajjaj nice joke 
Jajajajjajaj LMAO",0.8636,7
Me encanta esta canción la amo 😘😘❤️❤️,0.0,12
Me encanta estos videos mi suga mini yoogui i love you te amo 👄👄👄👄👄👍👍👍👍👄👄,0.6369,21
Meu sonho é conheser voces,0.0,5
"Mmmmm나는 미쳤다. 네가 몇 살인지 물어 본거야😂😂     😂😂🌟。♥。😉。🍀
。🎁 。🎉。🌟
✨。＼｜／。🌺
Happy New Year!
💜。／｜＼。💎
。☀。 🌹。🌙。
🌟。 😍。 🎶새 전화가있어서 내 수준이 낮습니다.",0.6114,61
Nao nao clipe nao bts nnn,0.0,6
Nicole Nauth It's just teaser listen to the full song,-0.25,10
No son feos,-0.296,3
Nossa isso é que é um teaser,-0.25,7
Now it's already certified gold 😎,0.0,6
Nueva Army desde Esquel Argentina ✌❤❤💓💪,0.0,10
"OMG OMG OMG, I KNOW I'M LATE BUT OMG I JUST CANNOT OMG OMG YOU NEED TO OMGG",0.0,19
"OMG jimin is so hot , oh my poor heartue 😘😘😘😭😭😭",-0.4767,16
Okaii,0.0,1
Ozuna es mejor,0.0,3
PERFECTO,0.3182,1
PERU <3 LOVE 분리되지 않은 모든 것에 대해 감사드립니다. ...어쩌면 내가 세계에서 끝날 때까지는 전쟁에서 시작된 것이 아니었을 것이다.,0.8331,21
Paola Ferrario are you a retard,-0.5267,6
Parabéns Suga!!!! 😘❤😍💖😇,0.0,10
Please stop spreading cancer,-0.6486,4
Please watch & like the video for Social 50!,0.6239,10
Porque no vienen a mexicali b.c.  ??,-0.3736,11
Q issso,0.0,2
Que intenso esta el video😓,0.0,6
Que interesante,0.0,2
Qưeerrrttyrtyttuttyuutyiuyoouilkiplp,0.0,1
Qểttyyiiuuooiipp,0.0,1
REMIXXX,0.0,1
Sara Katsa  ik its a joke,0.296,6
So Coolx,0.0,2
Suga😊❤❤❤❤❤❤💕💕💕💛💛💛💛💕😻😻😻😙😙😙😙😙😊😊😊😊💙💙💙💚💚💚💚😍😍😍😘😘😘I love you😇,0.6369,37
Sus canciones apestan,0.0,3
Te amo bts suga 😍😍😍😍😍😍,0.0,7
The original song,0.3182,3
They never disappoint,0.3089,3
This comes out at my birthday 😂😂😂❤❤❤,0.0,12
This has to remind you of kendrick lamar’s humble music vid,0.0,13
VER ESTO DE NUEVO Y RECORDAR ESTAR GRITANDO COMO LOCA :v,0.0,12
Very beatiful,0.0,2
WHERE IS THE ENGLISH VERSION?,0.0,6
Wa keren aku suKa pasti kawan kawan pada suka😎😎😎😀😎😀😎😀😎😉😎😉😎,0.0,22
"Wait, is that, OMG STEVE AOKI",0.0,8
"When they can sing rap and dance at the same time
You call me 👌",0.0,15
"When this teaser was released, i have to say, RIP replay button.. ahh good times. Hahaha",0.6705,20
Who else watched the M/V first 😂😂,0.0,10
Who never heard of him before?,0.0,7
Why am I watching this when the mv is already out lmao,0.5994,12
Woooow there is literally 1M dislikes against 6k dislikes... I'm shook 👏🏽,-0.4767,14
Wtf 1M likes is.... I LOVEEEE,-0.25,7
Ximena Muciño Si sabes que tu comentario les vale berga verdad? :v,0.0,14
YAAASSS THIS TEASER THO. SLAY AF,-0.25,7
Yasmine touzani,0.0,2
Yo noooo,0.0,2
Yoonmin is real,0.0,3
alguien habla español,0.0,3
angelus_001 Escribo asi aproposito :v,0.0,7
bts forlife,0.0,2
bts!!!!!!!!!!!!!!!!,0.0,4
"bts는이 같은 클립을 더 많이 만듭니다.
키스, 널 사랑해.",0.0,12
cabros a prendan aser hombres no mujers y,-0.296,8
each of school love bts so much...,0.6369,8
epotuiaser cvnkkkkkkkkkkkkkkkkkkkkkkkdvsvd,0.0,2
excuse me? :v,0.0772,5
hi,0.0,1
hi ^_^,0.0,4
