,sentiment,wordCount
"""vernacular isn’t as important as the idea""
incapable... 
lol",0.5574,14
#wouldfuck,0.0,1
"''Danica Roem made history on November 7, becoming the first openly transgender person to be elected and seated to a state legislature.''

Cool story bro! Next time, vote for someone intelligent and not because of his/her gender...",0.68,48
"'It's a trap !@!' 
- Admiral Ackbar",0.0,11
*PUNCHES MIC*,0.0,4
"+C A
ROFL, ONE PERSON, try again moron. OFFICIAL stance of psychologists and psychiatrists is that it's NOT a mental illness, individuals have their OWN OPINION...doesn't make those opinion the realty moron. just like you bigotry doesn't mean what YOU believe is reality.",-0.2885,52
"+headcoLd7

there is the tolerance of the sinner and the tolerance of the sin....",0.5267,17
101thetruthguy her policies aren’t really significant to the world outside that jurisdiction though that she won as a trans woman and how is relevant to the rest of the world,0.6997,32
"2 Genders.  Nobody cares.  This isn't something ""good"".  Transgers are mentally Ill",0.0516,17
5:30,0.0,1
"A politician who might actually give a shit is a miracle. People are smart enough to see things for what they are some times. Seems like they had a lack of options for the longest time, and then someone with some ideas finally emerged, and they jumped on it.",0.4767,54
"Abomination!!!

Look for the Gods to be judging that state!!!",0.0,16
America is infiltrated by operatives of the glorious state of Amazonia.  We are going to turn all Americans queer.,0.6369,21
"As always, right wingers who are totally not at all whiny snowflakes, bitching endlessly in the comments.",-0.2732,20
"As long as she is intelligent and open minded and has the public interests as her primary concern, who cares what any of her proclivities include?  Good people are good people, no matter what.",0.8934,38
"As someone born and raised in Manassas VA, where Danica is from and considering the bigotry of her predecessor Bob Marshall. I can say it with pride that she will  represent her district well, and fix 28, and fight Dominions corruption among other issues that matter to us in western Prince William. Not focus on controversial social issues, and grandstand.",0.0516,67
At least some things in this world are nice,0.4215,9
Awesome stuff !!,0.6892,4
"Being completely pragmatic, it's stupid not to listen to this person on the issues. The better candidate won, regardless of sexual identity.",0.4472,26
"Bob Marshal, 
I'm wishin' you the best
Pray that you are blessed
Bring much success, no stress, and lots of happiness",0.9287,25
"C I V I L I S A T I O N A L 
D E C L I N E",0.0,21
"CA
It means you don't know what you're talking about",0.0,10
CRod_93 this is a really heartwarming comment as a trans woman. You and I might disagree about the trans issue but the fact that you can still see qualities in our work and accomplishments as individuals is really cool.,0.584,42
"Caligula making his horse a senator was ""historic"" too.",0.0,12
"Can't wait for the first openly schizophrenic person to be elected...




Oh wait.",0.0,15
"Change is coming , thanks Trump !",0.4926,7
Christopher Velasquez or something lol,0.4215,5
Class act.  Congratulations VA!,0.636,6
"Cole,
Simplistic absolutes are always correct 
lol",0.4215,8
Congratulations to Danica! I'm very happy for her :),0.9039,10
"Conservatives are scared of everything
Y'all need to toughen up",-0.4215,10
Could you give me a full diagnose why this person is mentally ill?,-0.4215,14
Cringe worthy,0.4404,2
Dammmn this story's UPLIFTING!,0.0,5
"Damn, throwback with the Jenny Jones Show lmfao",0.2023,9
"Danica Roem is an amazing, pioneering, brave person.",0.802,11
