,sentiment,wordCount
#DominicanRepublicgirl🇩🇴,0.0,3
0:47 thumbnail,0.0,2
"1:24 ,  she looks so cuuuuuuuuuuute",0.0,6
1:24 she cute she cute,0.7184,5
90 minutes or 1 hour and 30 minutes,0.0,8
"90 seconds including a six second intro, hr little goofy moments and the fact that it’s slowed down. Wow, and some girls (or boys) be here spending hours on their makeup",0.5859,38
90 seconds my ass,-0.5423,4
ADORABLE,0.4939,1
Adorable 👌,0.4939,2
All the people that say she looks pretty without makeup are being fake positive. Sometimes you gotta say the truth.,0.7184,22
Am I the only one who thinks this is kinda lit?😂🔥,0.0,14
Anyone who believes this actually took 90 seconds is dumb🤦‍♀️😐would have taken at least 5,0.0,21
BITCHS CARDI B DON'T NEED NO MAKE-UP !!!! SLAY QUEEN💕💕💕💕💯💯💯🔥🔥🔥,-0.625,21
Beat slip into other uncomfortable become greet honey collection strength due mirror.,0.4404,13
"Better without makeup!!!!!,your baby will be sooo cute!!!",0.7946,16
Bitch we all know that didnt take 90 seconds,-0.5859,9
But cardi don’t need makeup to be beautiful,0.5994,10
CHILDISH af,-0.4466,2
Card I b cute without makeup,0.4588,6
Card I is so funny,0.5777,5
Cardi B brought true FINESSE back to rap!  her flow is so sic for a female omg!  then Young MA brings MANHOOD BACK TO RAP omg!  she more man that about 10 of the top rappers out there fr fr.,0.6679,44
Cardi B is my New Mother,0.0,6
Cardi B would be a good mom,0.4404,7
Cardi DOES NOT need makeup she is so pretty with and without it.,0.6269,14
Cardi b is still very pretty without makeup,0.5413,8
Cardi's so pretty,0.5413,3
"Clickbait

Its 92 SECONDS!!!",0.0,7
Clown ass stripper,-0.5423,3
Comment #cute if this was cute to you,0.4588,8
Comment cardi b if u love her 💗,0.6369,8
Correction 50 seconds😂😂,0.0,5
Crd B,0.0,2
Daaaannnng! She did eyeliner perfectly! SHE PLAY AND SLAY,0.8367,11
Damnnn,0.0,1
ELLE♠️❣️,0.0,5
"Everyone who disliked it, you mother's a hoe. Cardi is so real, and raw. I love her so much, she slays my life.",0.3612,29
FUCK IT UPP SIS,-0.5423,4
Fit me concealer?!,0.4199,5
Flawless,0.5106,1
GO Cardi B,0.0,3
Girl get that SHMONEY🤤🤣SLAYYYY,0.0,7
Girl u ain't got no lashes like me,0.5248,8
Got acne,0.0,2
Her face impressions are everything!!💕😂,0.3578,9
Her faces...LOL😂😂😂,0.0,7
Her facials expressions are the best,0.6369,6
Her makeup is flawless like her. <3,0.8271,8
Her nailllllllls omg,0.0,3
Her skin is goals,0.0,4
Her teeth are so perfect,0.6948,5
Hey Carly B I love you music cuz everytime I listen to your music as singing always put it on my iPad and I just sing it all the time,0.6369,30
Hey Carly B love you music cuz I seen your music,0.6369,11
Heya O lol me,0.4215,4
How is this 90 seconds?,0.0,6
I did an eye shadow tutorial check it out,0.0,9
I dont really stan her but cute.,0.6124,8
I don’t like it when she over contours her node her natural nose is hands down beautiful!!!!,0.7326,22
I just love herrrrrr,0.6369,4
I love Cardi!!!,0.7249,6
I love cardibb,0.6369,3
I love her so much 😍,0.6369,6
I love the music what is it???,0.6946,10
I make money moves✌🏽🤩,0.0,7
I never noticed how pretty she was without makeup ‘-‘,-0.3875,12
"I really like her, she's so true.",0.7513,9
"I thought she was actually gonna day her makeup in 90 seconds and was gonna have a joke...



Yeah a bit disappointing",-0.25,23
I wanna know how she does her edges and her bun😂😍,0.0,13
It's not 90 seconds. It's 92 seconds. Duh,0.0,10
Its actually 92 seconds lol,0.4215,5
Jose Ayala lol,0.4215,3
"Ladies, just keep your skin healthy and clear, then bam, everything's easier",0.7964,15
Love you Cardi !,0.6696,4
Lovely routine. Please watch my video https://youtu.be/T7SZcYkD7Nc,0.7269,8
Luv da bun tho,0.0,4
Ma kween 💖😘😍,0.0,5
Magical cardi b 😘🤩👌 perfecto,0.3182,7
Man I love that gurl so much,0.6369,7
More like 92 seconds,0.4201,4
Name of the song,0.0,4
"Never seen Cardi so quiet
Okrurrrrr",0.0,6
Not that pretty,0.4939,3
Now this is something cool,0.3182,5
OH guess what 90 seconds is it really don’t lie to us ELLE. 92 second my girls are shook,-0.1027,22
OMG she looks like a little girl without make-up!!,0.4738,11
Omg girl look at those new teeth,0.0,7
"Omg she got a baby face SHE LOOKS CUTE WITHOUT MAKEUP,she ain’t never gonna age she gonna stay looking 6 forever",0.5766,25
Pretty,0.4939,1
Pretty af,0.4939,2
Prolly not,0.0,2
She be out the door in 90 seconds,0.0,8
She don't even need makeup she is really beautiful,0.6361,9
She don’t need no make up,-0.296,8
She had foundation on when the video started,0.0,8
She has a bunch of makeup artists tho,0.0,8
She is so beautiful,0.7177,4
She is so beautiful with out make up❤️,0.7177,10
She is so cute without make up too,0.5949,8
She is so pretty without makeup,0.6269,6
She kinda looks like ariana grande,0.3008,6
She likes to make weired faces,0.4215,6
She look great without it just need some lashes,0.6249,9
She looks 16 without make - up,0.0,7
She looks 40,0.0,3
She looks bomb without and with makeup,-0.4939,7
"She looks exactly, and I mean identical exactly like my little baby cousin! 😚💞🍒",0.4199,18
She looks just like my one year old cousin,0.3612,9
She looks like a little baby at the beginning of the video.,0.3612,13
She looks so cool without makeup,0.4572,6
She looks so much better without makeup,0.4902,7
She looks so pretty without makeup✨,0.6269,7
She nailed that eyeshadow!!,0.0,6
She pretty without makeup at first I thought she had on the makeup all ready and they was giving us a preview before it started,0.7964,25
She reminds me of Raven Simone when she was on the Cosby show as a child with them fucked yo weird looking eyebrows lmfao this b is ghetto ughhb 🤮😆💀,-0.3818,32
She still lookin pretty without makeup,0.4939,6
"She's good, I wonder if celebs learn how to be good from their on set makeup  artists pretty commonly..",0.8402,21
She's pretty without makeup,0.4939,4
She's so beautiful,0.6361,3
She's so pretty and I'm over here looking like an old potato,0.7178,12
