,sentiment,wordCount
"""Oh my gawd cause she's my mama-in-law, I'm just saying"",   ""Her grandchildren are my children, I'm just saying!""",0.0,26
"""You sit on a throne of lies."" - Kelly Clarkson, 2018",0.0,15
"""what? Iheard that.. That was the Lord sayin pick Kelly"" i died laughing",-0.1027,17
#SHOOK,0.0,1
"'I will call Meryl Streep""",0.0,7
.,0.0,1
"1. Kelsea (Keisha? No, could be better with the right song.)
2. Rayshun (Loving the rock edge!)
3. Kyla (Her voice hit me like a see-saw.)
4. Justin (Best country singer on the show so far!)
5. D.R. King (He could do better with a bit more control.)
6. Britton (Smooth!)
7. Kaleb (Could get boring, but I love his country voice.)
8. Brynn (I believe she could show much much more though.)
9. Drew (Didn't show much of an aura...)",0.8772,123
1:09 It was beautiful,0.5994,4
4:24 Kelly lol,0.4215,3
Adam is sooooooo funny omg and Kelly is everything she can't leave,0.4675,12
"Adam... it's ""gif"" not ""jif"" *facepalm*",0.0,13
Alicia so sweet.,0.5095,4
"As a big Chris Young fan. That was bad, voice is too high",-0.296,15
Beautiful voice ..😍,0.5994,4
"Best blind audition so far this season, maybe even better than the auditions last season. I’m rooting for him to go all the way!",0.69,29
"Best block of the season, Alicia is sneaky!",0.1759,10
Best season ever!,0.6696,4
Blake is so cute,0.5949,4
Blake...you didn't necessarily lose out on this by being blocked...this guy will not be a finalist.,0.3089,21
Call me KILLGORE...,0.0,4
"Chris Young is amazing, but Justin's vocal in this cover is just unreal",0.34,14
"Damn what a voice, why his not in the radio.",-0.4019,12
"Dear Lord, they have a BLOCK BUTTON",-0.2577,8
Definitely my choice to win this show,0.7579,7
Do not like the blocked feature!,-0.1501,7
Does anyone get the big feeling Blake is the one Justin wanted? He seemed meh to everyone else and Blake always wins with country,0.5994,25
"Everyone here is talking about Kelly, but damn this guy is good!",0.1511,14
"First hearing his voice, I thought if Jason Aldean",0.0,10
Gente só eu acho que ele vai até a final ?,0.0,11
Have a great time - Adam 😂😂,0.6249,8
"He Has a damn nice smile and laugh, but kelly is also hillariuos",0.4767,14
He is so handsome n his smile is gorgeous.  Also a great singer,0.9431,14
He looks like a matured David Archuleta 😄😍,0.3612,9
He needs to sing your man by Josh Turner next time! I think that’s a good song choice for him!,0.5399,24
He sounds more manly than other ''male singers'' and he's gay. I prefer listening to this guy instead of listening to some ''male singer'' who sings in girl keys,0.0,38
He was good but not even close to chris Young’s version.,0.2382,14
He would have picked Blake!!  The block is no good!,-0.4724,13
"He's sexy,his voice ...oh man...",0.0,9
He’s so talented!,0.5974,6
His voice is amazing and I wish I had a voice like him,0.8402,13
His voice is mediocrity at its best!,0.636,8
"His voice, I can't express how much I loved that. Damn",0.296,13
"I LOVE Kelly, she makes this season. Lol",0.8286,10
I am waiting for Kelly to block Blake soon. Yes!!!,-0.2677,14
"I don't understand why there is no grit in country music anymore.  It's all so sugary,  not for me...",-0.296,22
I feel like he's faking his country accent,-0.0772,8
I feel like the block is kinda stupid. Because this guy needed Blake to be his coach and now he’s been robbed an experience,-0.5434,27
I hope he gonna win this season.,0.7717,8
I just love his voice is sooooooo special. 😍😍,0.7845,11
I know that boy's soul is hurting 'cause you know damn well he wanted Blake. 😂,-0.5106,18
I like how everyone is focused on kelly and not the singer lol,0.4153,13
I like the new rule😂😂😂,0.3612,8
I liked this video for Kelly 🤣🤣🤣 she is incredible,0.4215,12
I looooove this season of The Voice because of Kelly. She is so amazing and hilarious. 😆😆,0.8329,20
I love Blake!!!,0.7249,6
I love Kelly on this season,0.6369,6
I love him,0.6369,3
I love his sweet country type voice...,0.802,8
I love kelly!!! Please have her next season please!!!,0.8741,15
I love kelly....so fun 😂😂😂,0.8176,9
I love them so much Kelly and Adam are fools lmao,0.7096,11
I love this group together. Kelly and Alicia need to be permanent coaches. They are both fantastic.,0.8316,20
I love this panel. I really do. It is really fine seeing four of them bickering each season. Period.,0.7425,23
I love when Adam gets blocked people all get mad that the singer is missing out on the coach they want but nobody did that for Blake wtf..hah,-0.128,30
I loveeee kelly!,0.0,4
I really wanted this guy for Blake very unique voice but Kelly is cool too!!,0.5475,17
I understand Blake is there but why is every other contestant country? Too many country singers this time around.,0.0,21
"I understand why the show has added the blocked feature, but on the other hand, it's wrong. Who's to say that a performer doesn't already have a vision for who they want as their coach if that coach turns for them?",-0.264,45
I want Kelly and Shakira together in The Voice like judges,0.4215,11
If he can call Meryl Streep... boy that's where you want to go!,0.1511,15
"In his profile pic,  he kinda looks like Elliot from magicians",0.3008,12
