,sentiment,wordCount
"""Buyin dippels. Sucking nippels. """,0.0,8
"""Ripple ripple!!""",0.0,6
"""Young Nakamoto"". The lyrics is in the description",0.0,11
21 Million.,0.0,3
"28?..
28 was the number of litecoin I planned to hodl.
bought em on the day that Charlie Lee Sodl.
Buy hi, sell low that's how we rodl.
why did Charlie have to go and fuddle up my total?",-0.2869,46
AYo Coin daddy. Can you make a track about forex trading too?,0.0,14
Another fire track from the best bit pimp in the biz,0.4215,11
Awesome.,0.6249,2
Aye this is Seo from yesterday's existential lunch sesh! This is actually dope! I'll check out more 👍,0.0,20
COIN DADDY MOTHER F$$CK$$R !! Blockshain.,0.0,14
Coin Daddy I want Merch,0.0772,5
CoinDaddy dope,0.0,2
CoinDaddy how much coins you got?,0.0,7
CoinDaddy to the moon!,0.0,5
Coindaddy holla at me crypto life,0.0,6
Coins and 28 its all 17. Ching ching bling bling,0.0,11
"Finally some music and not documentary :D
<3 love your music.",-0.1155,12
First,0.0,1
Flip the crypt who is that coondaddy holla at me. Crypto Shit. Got me pumped and ur music too,-0.5574,21
Fork 28th ;-)  28k,0.25,4
How can i spin on your dick Coindaddy,-0.5106,8
"I have a parody idea for a song, maybe music video on the cheap...you down?",0.0,19
Just ask.,0.0,3
Komodo is the next thanngggg,0.0,5
"Moon landing was fake , BTC will be  first on moon (y)",-0.4767,14
Not Bcash.. It's BCRASH..  gonna go down hard soon just like after the last whale ride,0.2732,18
Ripple :D,0.6166,2
That production value. Noice!,0.4003,6
This is crypto revolution,0.0,4
"This is the first song i made with Coindaddy, i'm so glad everyone is loving it, we then made wall street and alt season, with more bangers on the way stay tuned for more dope music from Coindaddy and the crypto fam. Nakamoto out",0.8301,48
What a whale <3,0.4404,4
You my friend are a lyrical genius. :),0.7351,9
Young like Komodo?,0.3612,4
coindaddy is the real mvp :ultrafastparrot: :flex:,0.0,11
coindaddy please make a bcash scam song,-0.34,7
dude i just saw you on a bitcoin film ill get back to you,-0.4215,14
great,0.6249,1
"i have this on repeat in the car , more please greetings from Holland!",0.7152,15
if this is who i think it is then he has 50.,0.0,13
imma remix this beat,0.0,4
keep up the awesome work! it is going to pay off HUGE soon! just like LTC ;),0.8938,19
omg it sounds dope,0.0,4
thats cool with me,0.3182,4
ya'll ain't ready,-0.2755,3
you mean HODLland?,0.0,4
"your flow is improving so fast. Your beat production is so fire. Honestly ive been bumping your shit for 6 months. Now i have so much more to bump.. i remember when i got put on to so many young artists. I will keep sharing ur shit man.. Just like WIZ, just like LOGIC, i just got their mixtapes on Datpiff, no body knew them.. But the music spreads like a virus. At the end of 2019 everyone will bump coindaddy.  it take a while to build that image, the brand. and get on DTUBE and STEEMIT and DSOUND. that community will love ur shit as well. Grow the coindaddy family.",0.6769,128
🔥🔥🔥🔥🔥🔥🔥🔥,0.0,3
