,sentiment,wordCount
#27 on trending?? 😀 get it Ally!,0.0,10
#29 on trending let’s get it,0.0,8
0:16 Me and Normani are the same person.,0.0,9
0:18 is that Chrissy Teigen? Xd,0.5859,7
26 on trending yass,0.0,4
"A Ally é f*** d+ 
#RipAllysus",0.0,10
ALLY DIDN'T COME TO PLAY,0.34,5
ALLY OMG,0.0,2
ALLYSIN,0.0,1
ALLYSINNNNNNNNN,0.0,1
ALLYSON. BROOK. HARNANDEZ. 😍😨,0.0,8
ALLYSUS WHO,0.0,2
ALLYSUS slayeeed😍😍🔥,0.0,5
"All they do is lip sing anyways. So what's new? They're true vocal Camilla, left the group.",0.4215,21
Ally got me shook,-0.1027,4
Ally is so cutesie tiny 😍,0.3851,6
Ally is wilding wow!!,0.658,6
Ally omgg their reactions to her tho 😍😭💙,0.0,10
Ally the best,0.6369,3
Ally went from ALLYUSUS TO ALLYSIN REAL QUICK,0.0,8
Ally won big time,0.5719,4
Ally you better put on for the queen of tejano music! 🙌,0.4926,13
Ally 😍😍😍😍🖤🖤🖤🖤🖤🖤😎😎😎,0.0,10
Ally!,0.0,2
Allysin is showingggg 😂,0.0,4
Allyson 7.7,0.0,2
Allysus went to Allysin real quick!! My queen 😍😍,0.0,12
"Allysus, is you?😂😂😂 omg She is perfect!!",0.6467,14
And where is Lauren n Normani???? WE NEED MOREEEEEEE,0.0,12
"Ari & Camz slay music LOVER It’s Selena Quintanilla, not Gomez.",0.6739,15
Arrechaaa la marica 😱😱😱😍😍,0.0,8
Ass Breathe,-0.5423,2
At 0:37 I was like WHAT ABOUT CAMILA HUH??? She’s Latina she fuckin Cuban and Mexican lmao jk I know why she did not say Camila,0.8334,31
BRIAN daSAVAGE you shouldn't be there,0.0,6
Baby Ally 😍😍😍,0.0,5
"Band is called 5th harmony
There are 4 members
TRRRRIGGGGEEEEEREEEEEDDDDDDD",0.4019,10
Beard Bro she actually can,0.0,5
Birmano is me,0.0,3
CMON WINNER!! WOW,0.8475,5
Check her song out PERFECT by ally brooke and topic,0.6633,10
Chrissy's face!!!,0.0,5
Delete Me Please what,0.3182,4
"Dios Mio Ally!!! 😱🙈
Normany me representa 😂😂😂",0.0,14
Donde quedo Allysus ? JAJAJAA AMO A MI ENANA❤,0.0,10
Featuring selena made me want to cry! Omg so emotional I wish she was here today 😔😭,0.332,19
Fkn chrissy on the background 😂😂😂,0.0,8
Go Ally!,0.0,3
Go ahead Allyson,0.0,3
Go buy and stream Ally's new solo song  #Perfect 😊,0.0,10
"Go stream Ally's new song ""Perfect"". It's 🔥",0.0,11
HAHAHAHAHAHAHA NORMANI IS ME 0:17,0.0,5
HATERS SHE CAN'T DANCE?,-0.4939,5
HER DREAM HAS COME TRUEEEE!!,0.3786,7
Her body is so odd...,0.0,6
Her eyes are too close together. Ew,0.0,8
I CANT wait for normani and Lauren 😍😍💗,0.0,10
I always love the girls reactions to Ally when she really gets into what she's doing. 😩🤣,0.6369,19
I am ready!!,0.4738,5
"I am very sad that the fifth harmony of this is ending, now who will leave the group and lauren😭😭😭",-0.2247,24
I feel like they could’ve given her a better looking wig though,0.6597,14
I like this one,0.3612,4
"I love Selena Gomez, too.",0.6369,7
"I love her so much 😍
And stream Perfect!!!",0.8682,12
I love you Ally. I want u to win. #LoveAlly,0.8519,12
I love you allllllllllllllly! 💟💟💟💟💟💟💟,0.6696,8
"I'm actually sobbing!!❤❤❤
R.I.P Selena🌹🌹❤❤",0.0,18
I'm so proud of allysus she is taking over !!,0.6094,11
I'm sorry but that's clearly a man.,0.5267,8
I'm trying to find where is AllySUS,0.0,7
IS THAT ALLYSIN IM SEEING?,0.0,6
If Selena see this will return to his grave 😷,-0.3818,10
Im shook😮😮😮❤❤❤,0.0,8
Indrajith Purasinghe Selena Quintanilla,0.0,4
It is trending.😲Since it is trending go check out Ally Brooke new song “Perfect” you won’t regret 😉😉😏😍😍,-0.4215,29
It would be awesome if Camilla was there too,0.6249,9
It's not Allysus no more It's Allysin time to shine😏😏🌞🌞,0.2235,14
"It's sad how some people think of J-Lo as Selena bc of the movie, don't get me wrong she did really good but that's what people think of when the hear Selena, is the movie. and I ain't tryna prove anything it's just my opinion",0.208,48
I’m pretty sure all those white millennials thought she meant selena gomez.,0.6705,15
JADJSAJJSADJDSAJAS LA CARA DE LAS CHICASSSSS,0.0,6
"JLo for lip sync battle is actually good, but for true vocals Ally should definitely do Mariah Carey!",0.8268,20
"Jhoany Maldonado It’s called Lip Sync Battle, not Singing Battle.",-0.6369,14
Jhoany Maldonado ally outsings camila in a heartbeat are you dumb,-0.5106,11
Jhoany Maldonado https://m.youtube.com/watch?v=5ghJcMAPcxY,0.0,3
KSNSJSBSJDND I'M SHOOK,-0.1027,3
LA CARA DE NORMANI JSJAJAJAJJAJA,0.0,5
LMAOO ALLYYY,0.0,2
LMFAOO I feel some kind of way about the selena bit...I feel like Lauren should’ve selena,0.3612,20
La mejor 😍❤ fue el mejor 😍 le duela a quien le duela😍 ya lo quiero ver bien y completito.,0.0,23
"Lauren, Normani, and Dinah were all SHOOK",-0.2808,9
Lindaaa 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,0.0,11
Lol,0.4215,1
Lol Dinah Lauren and Normani are me,0.4215,7
Looks like Ally probably won lol,0.8402,6
Love her,0.6369,2
Luv SELENA,0.0,2
MY GOOD SIS ALLY DID WHAT SHE HAD TO DOO,0.4404,10
Make sure to purchase her new song Perfect: Perfect - Single by Topic & Ally Brooke https://itunes.apple.com/us/album/perfect-single/1336844645! You will not regret it!,0.9121,25
My two beautiful Latinas Selena and Jlo,0.5994,7
NORMANI ME REPRESENTA,0.0,3
NORMANI'S REACTION THOOO,0.0,3
No.....selena is a no no. SORRY,-0.6633,9
Normani is so me lol😂😂,0.0,7
Normani nos representa con su expresión 😅 ally bebé me encantas,0.0,11
Normani was so shocked omfg😂,-0.4572,6
"Normani, Dinah and Lauren be like:  Allysin what did you do to allysus!?😂😂",0.4199,19
Normani’s reaction 😂😂 Ally looks amazing I can’t wait for this!!,0.658,18
Number 34 trending lol okay Ally Brooke,0.6124,7
Não sei porque a Normani faz essas caras e bocas????,0.0,13
OH MY GOD SHE'S NOT PLAYING,0.4404,6
OH MY GOD! I SO LOVE SELENA AND JLO!LIKE I'M CRYING WHEN I SAR HER MOVIE,0.6221,19
OMG,0.0,1
OMG ALLY AS JLO. A CONCEPT!,0.0,8
OMG I CAN'T WAIT. SLAY ALLY ❤❤,0.0,9
OMG I LOVE YOU ALLY,0.6369,5
OMG THe RETURN OF ALLYSIN wiendeniwnz,0.0,6
OMG! Fifth Harmony aaaaaaaaah 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,0.4574,8
Oh but now she's Latina all of a sudden?    Hmm she's never been very Latina and vocal until it became trendy... she saw it worked for the good sis Camila.,0.5927,33
Oh god 🙄🙄🙄🤢just stfu. This isn’t stan twitter 😳,0.2732,16
Oh my Ally ♥️ LATIN@S🇲🇽,0.0,9
Omg!!!!😭😭😭,0.0,7
Ommmmmmggggggg kweeen,0.0,2
People always forget Ally is also Latina because of Lauren and Camila.,-0.2263,13
People who can't sing go on this show!,0.0,9
"Personally for these performances I think Ally is first place, Normani second, Dinah next then Lauren",0.0,18
QUEEN,0.0,1
Quianna Berry no,-0.296,3
Quien es ella y que ha hecho con Ally,0.34,9
R3drift are you dumb??? she always was proud of her heritage.,-0.1877,15
R3drift she is mexican,0.0,4
Reyes .M on the floor by jennifer lopez,0.0,9
STREAAAMMM PERFECT OF ALLY BROOOKEEE,0.5719,5
Selena Quintanila is literally my favorite Hispanic singer,0.4588,8
Selena omg <3,0.4404,3
Selena 😍😍😍,0.0,4
She did amazing!!!,0.6884,6
She is beautiful babyyyyyyyyyy ❤❤❤❤🔥🔥🔥🔥😍,0.5994,11
She is better as jlo,0.4404,5
She is talking about selena gomez?,0.0,7
She look like j lo,0.3612,5
She should’ve lip synced Havana,0.0,7
She the mini jlo ayyy 😍😍😍,0.0,8
She won! She really did what she had to do. Hands down!,0.6467,15
She's so short,0.0,3
She’s gonna slay as a solo artist,0.0,9
Slayed my entire existence,0.0,4
Slayed my whole entire existence in less than 7 seconds😱😍😍,0.0,13
So happy ally is shinning!!! Everyone check out her new song “PERFECT” it’s so good!!!,0.8721,25
Soo she just gone disrespect Selena like that😂😂,-0.0772,10
"Stranger Things Forever 5 seconds of summer , 4 members",0.0,10
Support her and her song Perfect!!!! Ally Brooke 👏🏻,0.5951,13
TEAM ALLY!!! 😍😍😍,0.0,8
That brunette gives her more sass and confidence and i live for this,0.552,13
The best!,0.6696,3
The winner! 💕,0.6239,4
They couldn't have gotten her a more realistic wig.,0.0,10
They really did good,0.4902,4
This is awesome cause technically ally doesn’t have to lip sync! Her voice is gold!!,0.7163,20
This reminded me of when they sang Flex in DWTS last year,0.0,12
Ughhh can’t wait for the full performances of our amazing girls,0.5859,13
Unknown human sad,-0.4767,3
VIVA LOS LATINOSSS WOOOO,0.0,4
"WTF you make whit my Allysus😂😂😂 I can´t, She is soooooo perfect!!!",-0.4037,21
"Wait Selena who Sing ""dreaming of you""is a Latina?.. Gosh I love her song i didn't know she was Latina.. 😁😁",0.6369,28
We need full video,0.0,4
What a queen! I love Allyson.,0.6696,8
What is the name song ? Selena Gomez,0.0,8
When is manis video gonna be uploaded,0.0,7
"Who is team Ally?
Meeee❤❤❤",0.0,9
Who new this was our innocent Ally brooke,0.34,8
Why are you so obsessed with Camila? She doesn't inspire Ally plus there are millions of Latinas should she mention them all?,-0.6807,24
Why do you ask dumb questions?,-0.5106,7
Why is she short,0.0,4
Wow,0.5859,1
Wow Ally,0.5859,2
Wow I have no words for this all I got is emojis!!! ... 🔥🔥🔥😶😮😲😯😀👍🏽👍🏽👍🏽👌🏽👌🏽👌🏽🤗😄😵🙌🏽👏🏽👏🏽🎤🎤 🔥🔥🔥no caption needed she slayed that performance on point!!!!,0.5815,62
Wow qow ally brooke hernandez jajaja te re amo,0.5859,9
Wow she looks like jlo,0.743,5
Wow😍😍😍,0.0,4
YAAAS ALLY ! <3,0.4926,4
YAS,0.0,1
YASS ALLYYYYYYYYYY SLAYY🔥🔥🔥,0.0,6
YESSSS ALLY!!!!!! SLAYYYYYYYY♥️,0.0,8
Ya had me fooled!,-0.4389,5
Yaaaaaaas,0.0,1
Yaass gurl,0.0,2
Yasss Allysin! I'm shook 😍😍😂👏👏👑🙌,-0.1759,12
Yassss Ms Brooke slay us THIS IS TRENDING AT #28!!!! LISTEN TO PERFECT BY ALLY AND TOPIC ITS A BOP,0.765,23
"Yeah Ally, slay bb",0.296,5
Yes Ally .,0.4019,3
Yes.,0.4019,2
Yesss Ally! 👏👏👏,0.0,6
Yessss,0.0,1
ally has great stage presence. We don’t give her enough credit,0.7717,14
allysin in the club!!!!  #getonthefloore #allybrooke #perfect #fifthharmony,0.0,11
ally😍😍,0.0,3
aye i like what im hearing,0.3612,6
bae😍😇,0.0,3
can you tell me the name of the song please??,0.3939,12
dinah should've been beyonce amiright?,0.0,6
esta monja,0.0,2
grace sentongo why are you stupid,-0.1531,6
https://youtu.be/zOCF26PelVA,0.0,1
i honestly think ally won this,0.7717,6
"love them both , big booty is  my fave song, imagine performing that",0.7964,14
macly mac Como la Flor- Selena Quintanilla,0.0,8
nikkiRio La Loba  really girl? Go look her up,0.0,10
oh wow ally,0.5859,3
omg normani's reaction is everything 😂,0.0,6
please watch ally brooke's mv. perfect.  https://youtu.be/DKk5eDqZDKk,0.7184,9
shes so cute,0.5095,3
stop putting camila up if you can't even spell her name right. and ally can out sing her,-0.296,19
the champ!  allysin is here!  #perfect,0.5696,8
this is all i need my life. Thank you Allysus,0.3612,11
voten por la chaparrita,0.0,4
woow 😃😃 is crazy it.,-0.34,7
wow amazing it's so great,0.9184,5
wtffff the true vocalist is allyson brooke hernandezzz,0.4215,8
yep,0.296,1
yessssa ally😍😍😍😍,0.0,5
you can find the full video in my channel,0.0,9
💖💖,0.0,2
💘💘💘,0.0,3
😂😂😂,0.0,3
😍😍,0.0,2
😱❤️,0.0,3
