,sentiment,wordCount
'Unisex is a word everyone knows but you know I don't see any labels' mark you angel x,0.0,20
"*You actually inspire me to be such a positive person, tis bloody fabulous. 

I am living in my ASOS Twosie at the moment when i come home from work. Have a google they are amazingggg to lounge in. Have fully bought all the colours for friends and fam as chrimbo pressies.

Would love any item lav, surprise me ;) Normally a womens 8 but wear my tops ect slightly bigger as a love them being over sized. 

keep being fab chica <3* @theaberghouse",0.9771,92
"@amie_moss I love the first mustard jumper! And i love wearing a good old bobble hat in the winter, i feel like a festive little elf haha x",0.9629,30
@becca_lucyy or twitter @rebeccadabell I love love love snuggling into cosy hoodies and jumpers in the winter with thick scarfs 😍😍would love to pair the Asos Love tshirt with some jeans and a denim jacket !😍😍of course with a chunky scarf (size s/m) xxxx,0.9729,53
@epresto1 on twitter and instagram,0.0,5
@pinkturnstoblue Love you Mark xx,0.6369,5
"AHHHH I WOULD LOVE THAT 'LOVE' TOP its so beautiful, its currently spring but in winter i like to wear oversized hoodies ahh - my twitter is @franklyjaspar",0.8618,31
ALL OF THE JUMPERSSSS in winter!!! <3 I LOVE that mustard high neck jumper and love your videos too! twitter: @tazzythebrit,0.9349,26
"Aloo Mark, just letting you know that i love this unisex trend going on, so pls do more videos like this please :D ( ah and I pretty much love every clothes that are wintery because they're cosy and warm and i love it, but i tend to use a looot of scarves (the big big ones) and sweaters. Obviously from all the items, i enjoyed the mustard sweater the most. :D (im size small and my twitter name is @monicaritaa ) 
Thank you and Love ya  **",0.9882,98
And my size is XXXL,0.0,5
Anything snuggly and warm ☺️ #festive ❄️❤️ insta- alexzp_x,0.2263,14
Arina why?,0.0,3
"Aw I looved this video <3 My favorite thing to wear in the winter is an oversized jumper, it's just like a blanket hahah. Of course also because of that reason I love love that cream/white soft jacket that you got! My size is a XS so I think like a 6 haha. Much love xx (mijn insta is @madelief.anne )",0.98,70
"Bloody love a good biker jacket, culottes and a baker boy hat in Winter - such a statement outfit and my favourite go to ! Love your fashion videos ! Abso adore the white jacket or the orange and blue striped top! such staple items in a Wardrobe!  I’m a size small :)! Insta- gracemarchantx / Twitter - gracemarchant_ x ❤️❤️❤️",0.9429,74
"HEY MARK !!!!! Love the unisex haul, and im so thankful that you gave your viewers the opportunity to win something! In winter i LOVE wearing knitted jumpers or cardigans :) if by some miracle i win, i love the love t shirt  in either L or XL💕 my instagram is @graceokayyyy",0.9921,58
"HEY MARK! My fav winter item is big cozy swaters,i love you so much and your style! You should do more videos like that! <3 <3 my instagram is: @hangabeatrix",0.949,36
Hate velour! Makes me shiver just thinking about it! Haha 😆,-0.3147,13
"Heey Mark ❤❤ I love to wear jumpers and hoodies on winter cause they are so comfy and warm 😁 I love that LOVE t-shirt and I would love to get it 🙂 I don't have Twitter, but my insta is @aprancane and I hope it's okay",0.9481,49
"Hello Mark   in the winter I like to wear jumpers and long dressed hoodies , I would really like to win that yellow/mustard-ish jumper in the size S and my twitter is philip_phrano",0.8428,35
"Hello buddy! My fave thing to wear i  the winter time are cozy as hell jumpers and big pompom hats! and Id love to have this massive oversized white t-shirt LOVE <3 
my tt: ola_halik 
love u soon much <3",0.9585,43
"Hello! First of all, I would like to say that your video makes me feel very comfortable as thank you for that! 
I think nothing could be better in winter that the good cozy sweater. Also my favorite holiday are New year and Christmas so I always want wear a very festive pajamas. 
And maybe that not surprise that I would like to get a first sweater. I just want to try. My instagram: _tm_ls_
Good luck and I hope you have a great day !🌷",0.9872,95
