,sentiment,wordCount
"""Money isn't paper. It's made from Cotten and linen.""

So... paper like. Yeah. It's essentially worthless. Just like paper.",0.5106,28
"(6:08) lmao the 19th amendment gave white**** women the right to vote. 
granted if we waited for the 100 year mark that would be in 2065. knowing the country, that probably the time they will finish the process.",0.7096,47
*The ten dollar founding father without a father*,0.0,10
+brittney_xox Thanks for watching!,0.4926,6
+carrieanneryan So nice to see you here again! ;),0.6468,11
+comets&bluberries LOL! :),0.7798,7
+neojim Glad you enjoyed!,0.7644,6
+pattyblom It's time for a change! :),0.5093,9
+sarahli Right!? $$$,0.0,8
+skydawg Lovely!! :),0.8118,6
+stephania88 You are so welcome! Thanks for watching!,0.8238,12
+troubleshooters Not yet!,0.0,5
"+zeynep0 Oh, hey! :)",0.5093,8
...idgaf about having no money.,-0.296,7
.o. Can I have some ;-; no okay <___>,-0.0772,13
0:00 her shirt says *B.U.M*,0.0,11
0:36 the baby is praising money,0.5423,6
"0:40 Having money isn't everything - Not having it, is... :/",-0.34,13
10th comment,0.0,2
2:06 Omg did he really just rip that 100$ bill? 😑,0.0,13
2:08 he ripped the 100 dollar bill lmao,0.5994,8
2:08 he rips the $100 bill. WHATS WRONG WITH HIM???,-0.6568,15
2:09 r.i.p 100 dollar bilk he dumb for ripping it,-0.5106,14
2:10 That's the limit.,0.0,5
2:10 counterfeit 100 bill,0.0,4
2:10 did he just rip his 100 dollar bill,0.0,9
2:56 ilumanati comfirmed,0.0,3
2:57 illuminati comfirmed,0.0,3
5:16 best and most true comment 👌🏾,0.807,8
@2:13 is that G-Dragon- You Do instrumental? 👀🍵,0.0,13
America doesn't have women on there bill..... well Canada does,0.2732,11
"America is in debt 23 trillion dollars. The US makes their own money, C’mon Us",-0.3612,19
"Anayte Robinson sameiwth australia 
I really think Australia and Canada are seperate planets from everyone",0.0,15
And peggy,0.0,2
And the same gos for the us but thay r sexiest and dont wont a  women on there money,0.0,19
And the uk,0.0,3
Anjani Cheran ok.so,0.0,3
At 2:08 the money just rips,0.0,6
Ayeee,0.0,1
Because we have no women presidents,-0.296,6
Betty He the pyramid represents the Illuminati lol,0.4215,8
"Big house, money, a happy family in a calm place.",0.7184,13
"Big house, nice car, and a happy family",0.7579,10
Black women !!,0.0,4
Blue Muffin it was posted pretty recently,0.4939,7
Booooooo feminists 🖕🖕,0.0,4
"Britain has Her majesty Queen Elizabeth II on the British pounds, so yeah there ARE woman on money.",0.4341,20
Bro I thought he ripped the money 💰,0.0,8
