,sentiment,wordCount
"""Eh Eh"" if you know what I mean😆",0.0,11
"""If you are as impressed and shocked at this s*** as I am"" 

I'm more impressed and shocked there's actually a nail art tutorial",0.3818,29
"""It's pretty cool *EH* ?""",0.6705,9
"""bUt CaN yOu dO tHiS??""",0.0,9
"""metal nailpolish"" for emos",0.0,6
"""we've all seen multi-chrome nail polish right? 
BUT CAN IT DO THIS!? ""
*holds magnet on magnetic nail polish",0.0,24
#noautotune,0.0,1
*_CRISTINE_** THE SCIENCE QUEEEN*,0.0,8
"*intro rolls*
Me:..amihavingastroke?..",0.0,10
10:22 -- what I was waiting for... :D,0.6166,10
1:10,0.0,1
2:30 she said pretty cool EH?,0.6705,7
5:50 Russian language,0.0,3
6:41 Cristine turns into Morty from Rick and Morty.,0.0,10
7:15 best nail ever😍😍😍,0.6369,7
A bop,0.0,2
Am I the only.one who replayed the intro multiple times,0.0,10
Are they still magnetic as peelys,0.0,6
"At 0:58 all I could think was Pewdiepie going ""BUT CAN YOU DO THIS?!""",0.0,18
Best intro ever!,0.6696,4
Best song ever,0.6369,3
Bow Tie polish has multichrome holo magnetic polish!!,0.0,10
But is it holo??,0.0,6
"By the way I found out that there is also multichrome HOLO made by “bow”.
It really does look like a fucking galaxy so I just want to drown in it MOM PLEASE",0.397,36
CRIS-TIIINE THE-SCIENCE QUEEEENNN!,0.0,4
"CRISTINE THE SCIENCE QUEEN

cristine the science queen 



CRIS CRIS CRIS CRIS",0.0,12
Can someone help me? In most of her videos she says that if we use her code SİMPLY the product will coast less.But on F.U.N. Lacquer's website I couldn't see a place to write the code. Can someone please help me out??,0.8042,51
Can u not cruse I’m a child and I’m pretty sure other kids r watching,0.6705,19
Can you buy these polishes in a store rather than online?,0.0,12
Can you do a gradient with those?,0.0,8
Can you make an X?,0.0,6
China Glaze also makes a magnetic nail polish that you can do some pretty cool designs with and I'm pretty sure you can use other magnets with it. It's not multi-chrome but still pretty cool.,0.9144,37
Christine you don't have to tell a stranger about holo RIGHT!!!  right?,0.0,16
Christine you don't need auto tune 💙💛💜,0.0,9
"Come on why can't they make a holo, multicrome and still magnetic",0.0,13
"Coming from an Alaskan, they look like the Northern Lights! Like wow.",0.8439,15
Could you do a gradient with them? Like with the russian ones especially cause then you could do nail designs,0.3612,21
Cristiene likes extra XD,0.8091,4
Cristine should have a music career,0.0,6
Cristine the science queen 🤓,0.0,5
Cristines autotune skillz are superb,0.6249,5
"Crying

I freaking want the teal to purple on SO bad 😣",-0.8786,12
Dammit Cristine now I had to spend $310 aud on nailpolish,0.0,12
Damn I have braces 😂😂😂😂😂😂,-0.4019,7
Damn that auto tune 😂,-0.4019,5
Do Steven universe nails pls,0.0772,5
Do diy magnetic nail polish,0.0,5
Do something new ! Swarovski nail rhinestones biooootch,0.0,8
EH,0.0,1
"HOLY SHIT THOSE NAILS LOOK LIKE AN ACTUAL  NEBULA
1:12  BEEEAAAUUUUTTTIIIFFFUUUULLL",-0.2732,11
Holy hologasms,0.0,2
How many times can you say 'magnet' in one minute? holoooo,0.0,14
H💿L💿 Is my favorite C💿L💿R/C💿L💿UR( if you are lucky enough not to be from the USA😂),0.7003,32
I GOT MULTI-CHROME POLISH!!!,0.0,7
I LOVE THIS,0.6369,3
I Love u christin im so sorry if i spelt your name wrong,0.0922,13
I am exited as you for that shit,-0.5574,8
I bought this protect and it is really hard your not alone,0.3913,12
I got a magnetic nail polish in 2011 & it worked perfectly  !! I’m surprised that they came back in 2017 lol,0.8585,25
I have some magnetic sexy it’s got HOlooo and it’s gel you should find and check it outttt whop whop,0.5267,24
I just noticed something kind of funny.  When you read the description of the Holo Queen polish (part of your collection) it reads 'Watch how Simply Nailogical apply the polish using the sponge technique on her YouTune Channel'... WHAT'S YOUTUNE?? Is that a parallel universe website that has music instead of videos??? I MUST KNOW!!!  Have a looksie:http://www.funlacquer.com/product/new-holo-queen-12ml,0.6644,74
I just ordered and used the code SIMPLY! I couldn't resist. They're so fucking beautiful.,0.6969,18
"I loooove the phrase ""bake that shit for a minute"" jesus it sounds so i dont know how to say :D",0.1111,23
I love how auto tuned the song is XD at first I was like what is she saying?,0.9049,19
I love the song XD,0.8668,5
I love the way she says sorry 😭,0.5994,8
I love u! You’re amazing!!!!,0.7482,11
I love ur songes,0.6369,4
I nearly missed the peel p0rn,-0.296,6
I purchased the same peel off base coat but am having a problem with it working as yours does when peeling. How long do you let it dry before applying polish?,-0.5499,33
I saw this video and then went to my local nail shop and they just got it in today i have the blue and black,0.0,25
I showed this video to my science teacher for a magnet project,0.0,12
