,sentiment,wordCount
"""I'm so high""",0.0,5
"""Like Katy Perry and Taylor Swift!""

Me: So which one of you is gonna steal some backup dancers? 😂😂",-0.2481,25
"""We can't possibly ignore it for that long."" Ha.. XD Oh yes we can. Sadly..",0.8535,21
"""What do we do when we get *gasp* high"" - Lilly writing the script 2017",0.0,19
"""he's gonna put his tongue behind my retainer"" 😂😂 I love Lily so much.",0.6369,18
"""im gonna wear 10 bras""

i barelly got boobs (75A) and i chuckled at that


even when i was 12 i knew THAT WAS NOT HAPPENING",0.296,30
#SO RELATABLE !!!! I always take off my bra and put it in my hamper but then I take it out,0.0,23
"*""I just know Kevin Jonas is going to be the biggest & sexiest star out of all of them""* Umm was that a diss...",0.0,29
*What should we do when were like... high* IM DYING 😂😂,0.0,15
",i",0.0,2
....😑ewww,0.0,3
0:41 Lilly's face ahahahaha,0.0,4
"10 Mega Pixel camera 
so so HD 
XDDDDD",0.0,8
"10 megapixels? That's like super, super HD",0.8834,9
2017 is very specific.. lol,0.4728,6
2:17 woah lol,0.4215,3
2:22 he is really hot but i prefer nick joanas,0.0,10
2:24 that's messed up dude,-0.34,5
2:32😂,0.0,2
5:10 that Ne-Yo reference! 😍❤️,0.0,8
5:3e HAHA,0.5766,3
:)SO flippen cooooool!@grovey,0.0,6
@IISuperwomanII Did anyone notice your socks? I love them! Where did you get them?,0.7052,17
A MAILMAN😍😍😍,0.0,5
A mailman😒,0.0,3
A taxi driver😇😇😇😇me: honey no no no no just no if i was being forced to i would but like no,-0.6757,26
All I can say is LMAO,0.6841,6
"Am i the only one thinking throwback!



Although im from the 90s not 80s..",0.0,16
"And then he’s gonna put his tongue behind my retainer!!!
*AHHHHHHHHH!*",0.0,19
At 3:15 she was talking about not wearing bras in the future. I’m not wearing a bra as I’m watching this video,0.0,27
CAMP ROCK LMAO,0.5994,3
Can we have a part two to this pleaseee,0.0,9
Channing Tatum should react to this!,0.0,7
Cool!,0.3802,2
"Date mixed up.........… ON A NEW YEARS PARTY

Amazing humor 

Lilly is amazing",0.9206,15
F O U R  P E R C E N T,0.0,11
"Global warming wont be around in the future they say, we can't ignore it for that long they say",0.4039,20
Gringy😬😬😬😬😬😬😬😨😨😨😨,0.0,7
Groovy,0.0,1
Guys that was a Eddie moment,0.0,6
HII,0.0,1
Ha ha just made a vision board with my best friend but looks like y’all had more fun😍,0.8705,21
Haha I love Jenna!!!😂❤️❤️,0.8433,12
"Hahahahaha.... 
Amazing... 😁 
Keep up the great work. You rock Lilly!!!!!!! 😘",0.7405,18
Has anyone noticed that theirs always an m on her views,0.0,11
Hella shots fired 😂😂,-0.5965,5
Hey guys watch my prank 😀,0.0,6
Hey my dads a mailman!!,0.0,7
Hey!  Isn't Jenna from witches of east end???  Perfect collab,0.6738,14
Hi,0.0,1
Hi lilly!! Would you be interested in a superwoman themed game app?,0.508,15
Hi 🦄,0.0,2
"How long is that going to work?
FOREVER",0.0,9
How old are they suppose to be they kinda sound like fake 10 yr olds but look like average 1980 highschoolerz,0.3664,21
How old is Lilly???,0.0,7
I BOUGHT THE BAWSE BOOK :O,-0.1027,7
I DIDNT EVEN NOTICE THAT WAS JENNA LMAO UNTIL SHE TALKED ABOUT CHANNING 😂😂😂😂,0.6841,16
I HONESTLY CAN’T BREATH 😂😂😂😂😂😂😂😂😂😂😂😂,0.5766,9
I LOVE THISSSSSS,0.6369,3
I can’t handle that much of shade XDDD,0.0,10
I don't get it,0.0,4
"I had no idea what vision boards were so i didn’t want to watch this, but hey, it’s Lilly",0.0488,25
"I kinda wish that she makes a sequel to this, like in the present compared to how they invisioned themselves in this video.",0.6465,25
"I laughed so hard at this, the handshake at the end XD",0.7808,13
"I laughed when you swooned over a mailman, because my dad is a mailman",0.4588,15
"I love all the outfits which you wear in all your Youtube videos Lilly! Do you come op with your outfits or does somebody help you with it, like the fashion style and all! 💕😁👌",0.8745,40
I love the skit at the beginning,0.6369,7
I loved Camp Rock when i was little,0.5994,8
I really don't know why but I've watched this like seven times,0.5876,12
I seen the clueless poster in the back and I was like yaaaasssss!!!!solo happy!,0.7067,19
I still have an IPod Shuffle...,0.0,7
I swear I have that exact same Fugi film camera,-0.0516,10
"I understood the englsh words I think, but the references... 0%.",0.0,15
"I want her to do a video with me. She is smart, always knows when to use which references with whatever guest is in her video, has a great personality with goodness.",0.8779,36
I want to watch step up now,0.0772,7
I wonder if this I how I'm going to be looking back on myself later😅😅,0.0,17
I'd put Brendon Urie on my board,0.0,7
I'm dead 😂😂❤❤,-0.6486,6
I'm gonna marry him i just know it!!! litlle did she know she already was,0.0,18
I'm so touched that she chose to drag Kevin Jonas,-0.2263,10
I've always thought Jenna is so pretty. Your way pretty too but we already know that.,0.6269,18
IISuperwomanII I love you sooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo much,0.6369,6
IISuperwomanII Lilly u make me very happy!!!! 😁😁😁😁,0.0,13
IISuperwomanII correct bra size go to Dillard's they'll measure you.,0.0,11
IISuperwomanII hi,0.0,2
"IISuperwomanII in Trinidad we say ""speak to the hand cause the face don't understand""",0.4939,16
IISuperwomanII love u Lilly 💖💖💖,0.6369,7
IISuperwomanII please make a video about going to the Dr to get in a pap,0.3182,15
IISuperwomanII poppy collab please,0.3182,4
IISuperwomanII you’re awesome 😎,0.6249,6
"IISuperwomanII, you and Nick would be so cute!",0.632,10
ITS LIKE KATY PERRY LAST FRIDAY NIGHT! HILARIOUS! LOVED IT!,0.8743,13
Im 11 and i know what an ipod shuffle is......,0.0,11
Imagine Jenna doing this on  Super girl...  Plot twist on James.... ( she plays lucy),0.7096,18
Is Jenna Tatum related to Channing Tatum,0.0,7
Is it bad I didn’t know half of the “electronics” that they said!?😂,-0.5848,20
Is it sad that I love Lilly’s hair in this vid...,0.2732,14
It better not be Nick Lilly that’s where I draw the line. He’s been mine since 2005 lol,0.6908,23
Jenna looks like the person  who only shops in Urban Outfitters.,0.3612,12
"Jenna: it that alcoholic?
Lilly:4%
Both:EEEEEEEEEEEEEEE!

Edit: just in case you wanna know the time: 0:35",0.0,26
Just the amount of shade man,0.0,6
Katy Perry Last Friday Night Vibes Anyone? Lol,0.4215,9
"Katy Perry and Taylor Swift 

Best friends forever 


Not",0.8442,9
Katy Perry and Taylor 😂😂😂😂😂😂😂😂,0.0,7
Katy and Taylor were friends?,0.4767,6
Keira Lake same,0.0,3
Kevin Jonas FTW!!! I love me some Kevy-Jo,0.8692,11
Kevin Jonas in thumbnail! 💕,0.0,6
"LIKE KATY PERRY AND TAYLOR SWIFT 
Me: I HOPE NOT 😅😅😅",0.8555,14
Lauren Grace yessss,0.4215,3
Like Katy Perry and Taylor swift . Didn’t they break up? I choked,0.0516,16
Like Katy perry and Taylor swift....bruh 😲☕️,0.3612,11
Like katy perry and Taylor Swift. I died laughing and my dad thought i was in pain,-0.1027,18
Lilly as a child is so funny😂😂😂,0.0,10
Lilly.. Are you actually asthmatic?!,0.0,8
"Lilly: ooh a mailman 
Me: LOL",0.5473,8
Lilly’s laugh when she is taking about Kevin Jonas😂😂😂,0.5574,14
Lmao! This was perfect.,0.8356,6
Lmaooo Jenna put Channing Tatum On her Board And says these going to get married when they are 😂,0.0,19
Lmaoooo the female presidents and global warming and rap I am screaming.,-0.25,13
Lol,0.4215,1
Lol I stopped it a 1:48 and her face tho😂,0.2263,11
Lol how old is lily?,0.4215,6
Love Jenna! all Jenna's are awesome.,0.8622,8
Love the volume,0.6369,3
Magnifique! Quel talent!... Just watched it. Just work more on the photoshop part of your videos to make it look more... Impeccable. Good luck!,0.7767,31
Mam make a video with all the bloopers of these Christmas collabs!!! 💙,0.0,16
Many years ago looks like the 70s and Lilly’s face though,0.3612,13
Maybe they got the date mixed up. For a new year's party. Lmao.,0.765,16
More than perfect!!,0.677,5
My dads a taxi driver.........................,0.0,6
My two favorite ones. Love you both 😍😍,0.802,10
Nick Jonas all the way,0.0,5
Norm variable include actual passenger sink extremely amid behind tree dedicate.,0.0,12
OH MY LORD THAT WAS THE BEST THINGGGGGGGG LOLLLL,0.6369,9
OMG LOVED!!<33,0.0,6
OOOF Like Katy Perry and Taylor Swift,0.5106,7
"Oh my God, this is such a hard act to balance
Like I’ve never seen this subject covered
This was so entertaining though

LOVE THE COLORS AND STYLING",0.9207,31
Ohhhh blackbear got cooler baby,0.0,5
Omg a whole 4% 😮,0.0,6
Omg my sister has THE SAME EXZACT CAMRA AS YOU!!! its special now 😄😃,0.5538,18
Omg who else thought this girl  was Jessi J,0.0,9
Please do more colabs with her!,0.3802,7
Please do more collabs!!,0.4374,6
Rheanna Wall obvious,0.0,3
S H A D E,0.0,5
SHUT THE FREAK UP! I'm dead 😂,-0.8491,8
