,sentiment,wordCount
"""If they do their job handling the *crimson tide* they could be worth it"" omg😂",0.2263,20
"""Less of a Red Wedding, and more of a birthday party."" oH NO",-0.4466,17
(THIS VIDEO WAS POSTED BEFORE MY FIRST PERIOD),0.0,10
*Tyler casually films safiyas butt*,0.1779,7
"*WHY ARE YOU SO INTERESTED IN PERIODS, ALL MIGHT???*",0.5473,15
*gusset*,0.0,3
1 tsp? That would last me 30 mins,0.0,9
"2:44 OMG , Her Butt😅😅",0.0,7
"2:49 says ""gaze""



Hears ""gays""",0.0,9
"3:33 I want that ""Born in the 90s"" t-shirt too 😍",0.0772,13
4.10min,0.0,2
5:56 she looks so pretty,0.6269,5
7:01 H💿L📀 ITS ME,0.0,7
7:01 repping the Simplynailogical merch XD,0.6739,6
7:02 OMG THE TSHIRT OMG CHRISTINES TOP,0.368,7
9:50 looks like safiya's got a tail,0.3612,7
"@safiyanygaard Found another product for you to try. It was  one of my Facebook Ads. It was called FLEX. And said I quote...""Have the most comfortable period of your life! FLEX is the non-toxic alternative to tampons that provides 12 hours of worry-free wear."" I think it's a bunch of bologna personally,but you could get a interesting vid from this. :)",0.8775,73
@simplynaillogical,0.0,1
"A thinx add was right before this video. Lol
.",0.4215,11
AHHH SIMPLYNAILOGICAL MERCH,0.0,3
All Might Seeing this comment in combination with your name and profile picture is the best thing I've seen all day,0.6369,21
Alyssa Dunn she has,0.0,4
An interesting development has developed,0.4019,5
Anyone else see the Christine merch,0.0,6
Anyone spotted simply nailogical top???,0.327,8
"As I've said before, I absolutely love how just comfortable with yourself you are. 
& you and Tyler are just hilarious together.",0.8883,25
At 6:56 Safiya was wearing #SimplyNailogical merchandise!,0.0,8
At least if you in yoga with only with women they would get it if u leaked,-0.3182,17
Bo x same,0.0,3
But if you wore them all week.... I hope you word a pad to throw out although regardless it’s gross,-0.0516,23
But what is so hard about wearing a tampon?,-0.2183,10
Can you please try the soft cup next?,0.3182,9
Did anyone see the holo it's me shirt at 7:01,0.0,10
Dress like you’re in the 1950’s,0.3612,10
Even a regular pair of underwear can hold one teaspoon of liquid. That's just what cloth does.,0.0516,19
Griffith Observatory! Gorgeous place!,0.6792,6
"Gurl I see that shirt~ 
Simply Nailogical yass~~~",0.0,12
"HELLO FRIENDS!! welcome back to another period video!! who missed these, lol? any other weird period products i should review?? xox, saf",0.857,31
HER “HOLO IT’S ME” SHIRT!!!,0.0,12
HOLO IT'S ME,0.0,3
HOLO ITS ME HOLO IT'S ME HOLO ITS ME  SHE HAS DA SHIRT!,0.0,14
HOLO ITS ME OMG,0.0,4
HOLO ITS MEEEE I love herrr,0.6369,6
HOLO MERCH 💿💿💿💿,0.0,5
HOLO SEXUAL!!!  Yes!! I am a holo sexual too!!!! 😁😎,0.5951,19
HOLOOO! Love ur shirt,0.6696,5
HOOOOLLLLOOOOOOOOOO,0.0,1
Ha ha moose knuckle.,0.5859,5
Had a thinx add before his vid,0.0,7
"Haha-looked kinda odd😂

Nxt thing you'll try is probably like unicorn poop wigs😂😂-jk, don't do that!",0.4199,23
Has anybody noticed that Saf always wears red lipstick in the period videos? 😂,0.0,15
Holo it's me,0.0,3
Holo it's me shout out to Christine,0.0,7
Holo its me,0.0,3
Holo it’s me,0.0,5
Holo shirt,0.0,2
Holoooo what up to shirt reference #simplynailogical,0.0,7
Holooooo!,0.0,2
Holosexual!,0.0,2
Holy crap my name is Kate and this was posted on my birthday plus love the holo shirt *Cristine*,0.3818,21
How are you so happy on your period??? I murder at least 2 people each month!!,0.2881,21
H💿L💿 GUYS,0.0,5
H💿L💿 it’s me,0.0,8
H💿l💿 it's me,0.0,6
"I Feel like it is an ad of my period..
😐😐",0.3612,13
I actually love you so much Safiya you have helped me through many panic attacks thank you😁😁,0.128,19
I always go there the observatory where you could see stars 😱😱😱😱😱😱😱😱😱😱😱😱😱🙀🙀🙀🙀🙀🦄🦄🦄🦄🦄🌸🌸🌸🌸🌸🌻🌻🌻🌻🌻🌻🌺🌺🌺🌺✨✨✨✨🤗🤗🤗🤗,0.0,35
I bled threw a super plus tampon in 30 min. No way this whould do anything for my blood flow,0.4019,21
I completely forgot I was on my period while watching this,0.0,11
"I couldn't help but notice that, when talking about crunching the numbers, you said ""*People* lose between 35-50 mL of blood..."" rather than ""*Women* lose between 35-50 mL of blood..."" and just...thank you?",-0.8285,48
I didn't think you were supposed to do inversions on your period.,0.0,13
I don't have periods this was just looked interesting,0.4019,9
I feel like these would be good to wear with a tampon or mooncup whilst working out to avoid spillages. I know for a fact they would be useless for me to just wear by them selves because I bleed like I’ve been shot😂,0.4404,48
"I feel like when you wear these, you should still where a pad.",0.3612,15
I got a period underwear ad before this,0.0,8
I got a period underwear ad before this lol,0.5023,9
I got a period underwear add before this video 😂,0.0,10
I got a thinxs period underwear ad right before this,0.0,10
I got a yoga pants ad 😂,0.0,7
I have 7 difrent color shorts  forom good will and toss a jacket over is with the arms covering the front no won can tell 50$ all together  so yea,0.6597,31
"I have to say, I love watching your period themed videos... I also think its fair to give creds to your boyfriend for not being a B**ch a** and actually being a sane human being and not being weirded out.... He's cool",0.8316,50
"I haven’t watched this yet !? 😭
And Tyler is literally making me cry 
“I did that” 😂😂😂😂 I love you guys!",0.3987,30
