,sentiment,wordCount
*フラれたら最悪の思い出となってビデオに残るね❤*,0.0,4
Acha h.😂😂😂😍😍,0.0,8
Back in the good day you had to team up with your friend in the bush to take a photo's,0.7269,20
FAIL.,-0.5423,2
Im going to kill myself,-0.6908,5
LINENEWSからきたひとー！,0.0,2
"Other things you can put in the case: a wrap of coke, a photograph of your middle finger or a severed mouse head wearing a tiny fucking tiara.",-0.3612,31
Please no. Wtf is this world coming too. By far the cheesiest way you could pop the question. Guys please have a bit more class than this :/,-0.631,31
"Really, if you want a suprising proposal, don't use diamond. Your GPG private key is a good choice.",0.3459,22
Rosa Gonzalez ウラサイばか,0.0,3
"Tacky. I think there is something far more exquisite about only 2 people sharing certain memories than broadcasting it or capturing it. When we concern ourselves with capturing everything, we miss everything.",0.5106,36
That takes the surprise out of it.,0.2732,8
This is seriously sad. What the hell is wrong with people?! Tacky rubbish.,-0.9151,17
This takes all the romance out of proposals. If u really want to capture your partner's reaction. Just hire a professional  photographer to do it for u and remember to be romantic and focus on your partner and the love that u two share and not on ur phone.,0.923,52
What a time to be alive...,0.0,7
japán gecik,0.0,2
lmfao!!!!!!!!!!!!!!!!,0.0,4
stupid piece of shit,-0.7906,4
torato うれねーよ,0.0,2
torato これで告白する人なんていないんじゃないですか？w,0.0,4
www.rokshok.com,0.0,1
"Илон, быстрее создавай колонии на Марсе, я уже готов сваливать с этой планеты...",0.0,16
ある程度普及した後に、指輪以外の物を入れてどういう反応をされるか撮るのはいいかもね,0.0,3
いやいやいや。録画はいいけどみんな成功すると思うなよ。,0.0,4
え？エイプリルフールネタだよね？,0.0,4
ここのコメントの日本人、陰湿な奴しかいないのか。これが日本と他国の性格の違いか。,0.0,6
"この動画観てみたら要らんと思うかもしれないけど、
知らない人に対してなら別にいいじゃんｗ
俺もケースのがいいと思うけど",0.0,4
これだけの用途しかないと思うと草。,0.0,2
これでプロポーズされたら笑い転げた後にふるな。男だけど,0.0,3
これで貰って嬉しいのかな、と。,0.0,4
これはゴミ商品すぎる…,0.0,2
これは風刺か？笑,0.0,3
"これ指輪入れてたら
ぜったいスマホ無くせないですね:(´◦ω◦｀):ｶﾞｸﾌﾞﾙ",0.0,10
"こんなん絶対いらんわwww




だって、俺ボッチだもん。。。",0.0,7
とりあえずプロポーズの瞬間を違和感なく正面から撮影できる画期的アイテムだとは思うよね。,0.0,2
なに！( ? _ ? )！,0.0,8
なんじゃこれwwww,0.0,1
はいはい 草生える,0.0,2
へーすごく便利ー,0.0,1
まだいらないけどそのうち欲しい,0.0,1
めっちゃいらん、父親にこんな動画見せられたらこっちが恥ずかしくなるだけやし、話で聞くのが一番感動する。,0.0,6
めっちゃ売れそう,0.0,1
アイデアはいいと思う,0.0,1
アメリカ人は成功する場合しか想定しないからダメだ。,0.0,2
フォトジェニックて言葉が流行ってる時代だぜ？冷静に見れば確かに滑稽だけど今のバカな若者の大好物をわかってる,0.0,3
ラウルラララ  確かにwww,0.0,2
ラウルラララ くっそwwwww,0.0,2
中村裕二 あったわ笑,0.0,2
今こんな顔してる,0.0,1
"俺には必要ないwwwwww
彼女おらん。",0.0,3
告白しようとしてる人がここにいない説,0.0,1
変形する飴のお菓子思い出した,0.0,1
"撮った動画を20年後に見て
旦那｢…お前太ったなぁ………………｣
嫁｢貴方だって禿げ散らかってるわよ｣",0.0,14
"数回ぐらいしか使えねぇーだろがよ
指輪渡すために買うなら",0.0,2
普通にいらない説,0.0,1
普通のケースに隠しカメラついてた方がええ,0.0,1
"登録者1万人challenge without videos 
ほんとそうだと思う。
普通の指輪ケースに小型のカメラをつければより一般ウケなんてすぐ良くなるだろうし。
インスタだなんだと言われてる今には良いアイデアだよね。",0.0,10
義ロック子供為のピアノ  ワルツ  エチュード,0.0,3
起き上がりが強かったら飛んでくね,0.0,1
雰囲気台無しww,0.0,1
需要ない,0.0,1
風刺にしか思えない商品,0.0,1
