,sentiment,wordCount
"""Don't treat people differently because they're different"" what do you think the Confederate flag is my guy",-0.3089,19
"""I was afraid that they would ATTACK""  🏊 shark?",-0.5904,12
"""Ppl that are different,don't need to be criticized about it"" SAYS THE KID WHO CALLED BLACK KIDS THE ""n"" WORD.This is a scam and the mother is dumb.",-0.8591,35
#fuckbullying,0.0,1
#whosthefather,0.0,1
"*During Anti-Bullying Assembly* ""Everyone Stares At Him""",0.0,11
*HE SAID THE N WORD SO THAT'S WHY THEY MADE FUN OF HIM! LISTEN HE IS RACIST*,0.5562,20
-lolli pop- no,-0.296,5
0:44 exactly that's the opposite of what his mom is doing people that are different races don't need to get bullied about it ugh this makes no absolute sense,-0.8442,29
"1: Do frickin bully someone for looking different!!!
2: I have & support the Confederate flag and I'm NOT racist!!!",-0.7882,28
Americans are soft,0.0,3
And whats wrong with the Kentucky state flag?,-0.4767,9
"Andy Ahmetasevic his mum never set up a go fund me account and their family have never profited from this situation. His Mum recorded him speaking about his experiences being bullied (upon his own request) and posted it to her PERSONAL Facebook page. If she really wanted attention from this video surely she would have sent this video to local news stations? She could never have foreseen that this video would gain so much attention, but the fact it has is actually helping other children, as it means children who are going through anything similar can watch it and find the courage to speak to someone about it, I have read that they are already showing this video in schools to help other children find the confidence to speak out.",0.9327,139
"Because that's not true, it's a fabricated story.",-0.3252,10
Biggest scam EVER!,-0.6114,4
Boi,0.0,1
Boohoo dont call people the N-Word u brat,0.0,8
"Bring back bullying. Kids soft, just take him to some self defense classes",-0.5267,15
Bro Trust me i was bullied for 7 years in one school and keep strong bro! Do not take it to the heart! Bro all goods for u and if i would be in your school i would  stand up for you! keep strong man!!!!!!,0.7887,51
Bullies are bitchiest,-0.6124,3
Bully me outiside *How Bow Dahh?,-0.4939,8
Bully's are Haters,-0.4939,3
Bullying is great that freaking dork,-0.6124,6
Bullying is okay don't force me to elaborate,-0.4588,8
Bullying isnt real your kid is getting roasted shut up and teach him to roast,-0.5994,15
But his mom liyin so hard 😂😂,-0.2183,8
"But why does that bother you? You're right hundreds of kids are bullied everyday so what makes this child's story any less worthy of being heard? The fact that hundreds of kids are being bullied everyday is exactly why this is important, finally people are starting to listen and take bullying seriously, I have also read that they have began showing this video to kids in schools to encourage other children going through similar things to Speak out about it and not suffer in silence.",-0.7907,90
Can you ask him to say “life is like a box of chocolate you’ll never know what you’re gonna get”,0.3612,26
"Candidates 4, shot watering and sugaring. Child molesters. Rapists and peodo s   u. Better not cross my path or u will cop 4 it",-0.6808,28
"Change the world?
This boy is as stupid as his mum",-0.5267,12
Dank Sinsim You are a disgrace.,-0.4939,7
Dat Boi how?,0.0,4
Dean H tried what exactly 😂?,0.0,7
Did u hear they said the 11 year old mother???,0.0,13
Didnt his mom use all the money and didnt use it for him?!,0.0,15
Didn’t the mom set up a donation online so she can buy Christmas gifts for her family?,0.0,20
Don’t be racist,-0.6124,5
"Don’t listen to them, if they say you’re ugly, it’s not like the pretty and gorgeous... they just want to be popular.",-0.6044,32
Elijah Zola No research to back up your dubious claim.,-0.5719,11
Everone gets bullied why his get a lot of attention,-0.6249,10
Grow a pair,0.0,3
HE GOT BULLIED BC HE CALLED THOSE KIDS N*GGERS,-0.6249,11
HEYYYY YOUUU GUYYYYYSS!!!!!,0.0,6
Hahahaha stupid Boy!!,-0.6103,5
Hammer head shark,0.0,3
He called kids the N word. He doesn’t deserve 50k,0.0,13
He didn’t tell a teacher because he was afraid the kids would Expose him for the racist he really is. Because HE IS the bully and those kids were defending their self’s. Look at TMZ’s video about his dad. *EXPOSED*,-0.8316,51
He is beautiful,0.5994,3
"He is lying they just want money like just read this 
1st his mom posted a video of him getting bullied
2nd his mom. Makes a site to donate money to him so he won’t get bullied like how is money going to solve this problem that makes no sense there has been many people that said this kid also bullied people so that’s why he got bullied",-0.9639,73
He is ugly,-0.5106,3
He looks good not even good- perfect,0.4218,8
"He looks like that because his mom drank while she was pregnant, lol. And by the looks of it, way too much.",0.6486,26
He looks like that shark from shark tales lol,0.6486,9
He should be rosted on a stick,0.0,7
He sounds like forest gump,0.3612,5
He want money he got billed  in kinder,0.5423,8
He's racist,-0.6124,2
His daddy's a white supremacist hahahha,0.128,6
"His father is in prison and IS RACIST, there’s a photo of him topless with “white power” on his chest. Could you be more racist?",-0.9235,32
How is smiling next to a confederate flag funny?,0.7096,10
"How ridiculous, trying to find fault with the mother when the poor child is being bullied at school by cowards.",-0.9081,22
Hundreds of kids get bullied everyday and this “bullied kid” get money and special treatment,-0.34,17
I am sorry for you,-0.0772,5
I dont feel bad for this kid,0.431,7
I dont like the mom,-0.2755,5
I don’t see go fund me pages for kids who got bullied and ended up killing themselves,-0.8591,19
I feel the same I get bully some times but like I say to myself don't give up and you can be the best after,0.8381,25
"I generally felt sorry for the kid until he mentioned he was in middle school. Everyone in middle school is prepubescent and awkward, and *everyone* gets bullied! You don't deserve money for responding to a normal situation!",-0.7639,43
I get bullied to but you are not the only ome,-0.3716,11
I get bully be for,-0.4939,5
"I had the same problems at school I’m sorry for what happened to you at school if this makes you feel OK please leave a comment on this stink please on this, because I really feel bad for you",-0.553,42
I hated confederates.,-0.6369,4
"I know bullying is bad but isn't his dad a gangster I am sad for him and he got 50,000 in go fund me",-0.8338,24
I real live felt bad for the kid but after them pictures with the flag I’m just like 🖕🏽 the mom just did it for the attention,0.25,30
I see nothing wrong with him,0.3724,6
I thought he had an East Tennessee accent,0.0,8
I wanna give him a hug right now. A big one,0.4767,12
I wanna smack him,0.0,4
I want to deck that kid,0.0772,6
I would be friends with him he seems nice😁,0.4767,10
I'd fick them bully's up if i went to his school,0.0,11
I'm you're friend,0.4939,3
I'm your friend now❣️UR not alone I be with you don't worry about the bullies,0.7466,18
IM YOUR FRIEND KENTON IF YOU WERE 14 I WOULD BE GLADE TO BE YOUR GIRLFRIEND AND I WOULD MAKESURE YOUR NEVER BULLIED,-0.2263,23
"If I had the wings of a sparrow and a kettle a boiling water god help. Any wrong doers u will kol 4, the lot in ya face",0.1779,30
If I knew him I would be his friend no matter what he does,0.2732,14
If that mom isnt a racist she would know that posting a picture holding a racist flag isnt funny,0.6167,19
"If the flag was supposed to “be funny” , why even hold it. I’m pretty sure she knew the meaning of the flag so saying “it was a joke” is bs.",0.6705,39
If they want to criticize someone they can stop and I'm different from other people and I  get criticized about how I look and THAT IS NOT OKAY,-0.5215,28
If u getting bullied u a punk😂,-0.6249,8
If u go to his school don’t bully that’s messed up,-0.6808,15
"If y'all are disliking this video because of the confederate flag, the flag doesn't represent racism it represents a heritage. So I would go back and like the video because Keaton and his family are not racist. Stay strong Keaton",0.6139,43
