,sentiment,wordCount
"""Set the superdome""",0.0,5
"""The super dome""😂",0.5994,6
"""WoOOooOOooOOw""",0.0,3
"""let's also.... set... the superdome""
*powders forehead*

😂😂💀",0.0,16
1st time watching her videos today and I am in love with her videos ❤️ I love how she is so honest about all the products ❗️,0.9279,29
:),0.4588,1
@patricstarrr ❤❤👏👏,0.0,5
"AAAYYYYE!!! Jackie, Jackie, Jackie, Jackay!! Thanks sis for the review ❤️ You're still my Lil Pumpkin Pie lol",0.7825,27
Alright 3 min in and that back ground music is driving me crazy... there is something purring or growling or something that needs to tone it down just a teenerssss 😩,0.25,32
Always so great from you!! XOXO Sharon,0.8936,9
Amber lights was my holy grail back in the day lol,0.4215,11
Anybody else think she kinda reminds them of Issa Rae? 😫❤️,0.0,14
Anyone tell you you look like trinity from wwe? I forget her wrestling name.,0.1531,16
Are we sure she’s not biased,0.4791,8
"Auntie Jackie! Can you please do a bridal look? I’m getting married in a couple months and there’s barely any bridal looks on YT for black women, specifically those wth dark skin. Thanks a bunch!",0.3365,44
Aunty J when is the next video?,0.0,8
Bake-uations! Girl!  lol,0.5242,5
Battle of the powders!?! Jackie I need your HONESTY. Kat Von D Lockit powder or Patrick’s Powder,0.4436,23
Beautiful makeup but ngl im soooooooooo board of people bringing out these eyeshadow shades !!,0.465,16
Beautiful 💕💗,0.5994,3
Beautiful 💜💙❤ love your channel 💋,0.8442,8
But sis where you get that sweater from! 👀,0.0,10
Can you do the 3 marker challenge but with 3 single eye shadows picked randomly or only three make up products?,0.0387,22
Can you please do a video using physicians formula new foundation. They came out with darker shades and I need the tea on them!,0.3802,26
Come thruuuuu auntie Jackie!,0.0,5
D' ont say holographique it's holo homosexual understand hhhh,0.0,10
"Darn it, Jackie!!! I told myself that I would try putting powder after I prime to see if I do work by not moving your foundation. Now, here I am, watching your video as I finish lining my lips w most my face done up and once you mention powder after priming I​ look at the mirror and throw my liner down because I did not put powder on after my primer!!!! Damn it I can't believe I forgot that!",-0.5951,92
Do you think the Patrick Woo is the same shade/formula as Ruby Woo?,0.7351,16
Does anyone know of a similar lip liner to MAC Cork? I can't find it anywhere & its my fave. I hope its not discontinued,0.7003,27
