,sentiment,wordCount
"""I wanna know the way""
Don't we all?",0.0,11
"""So why do something that offends someone?"" 

Literally anything you do, or say, can and most likely, will offend someone. Sadly.",-0.8055,29
"""do yo kno dae wae?"" is pretty popular in my school. I was walking on the bus and a younger kid said ""do yo kno dae wae?"" and i was like ""yes i know the way"" and i saw my cousin and his friends go up to the door and said 'do you kno dae wae?"" but his friends weren't talking to me. Pretty much all the boys in my class know the meme.",0.9489,88
"""we are going to show you a video..""

*no*

*we are gonna show you de wei*",0.0,23
*DO U KNO DA WAE?*,0.0,8
*DO YOU KNOW DAE WAE*,0.0,7
*DOUKNOWDAWAY*,0.0,3
*HARAMBE!!*,0.0,5
*I WILL TEACH YOU DA WAE* 🇺🇬 🇺🇬 🇺🇬 🇺🇬,0.0,16
*Somebody toucha my spaghet*,0.0,6
*YOU MUST HAVE EBOLA!* xD I couldn't stop laughing.,0.5191,13
*_FOLLOW HIM MY BRUDDAS_*,0.0,7
*clicking noise*,0.0,4
*sir worldwide*,0.0,4
*what's the purpose?* HAHAHAHA,0.0,7
...,0.0,1
0:03 is it just me or does it sounds like that lady is going to drop the most lit bars 😂,0.5106,21
1.15 is so funny,0.5777,4
1:15 is so funny i mean,0.5777,6
"1:25 - They are saying: ""I no da wae.""",-0.296,13
1:29 sorry that’s not how you wear headphones....,-0.0772,11
1:40 welcome to the fckn internet,0.4588,6
1or 2 people Do not no da wae,0.2235,8
2018 folks! Wee wil fin de wea!,0.0,9
2:39 Is the best :'D,0.6369,5
"3:15 
“I wanna know the way” 
This guy is officially my favorite.",0.4588,15
3:28 da commandar,0.0,3
3:28 he knows the way,0.0,5
3:50 That man is so cute getting the joke and laughing whole heartedly,0.8506,13
4:25 You do not kno de wae,0.0,7
"4:28 Lady: 'cause I don't understand what's going on. Me: That's okay, nobody does.",0.2263,20
5:04 IN OTHA WEYS BRUDDAS,0.0,5
5:39 this guy know the way,0.0,6
6:40 I love this guy so much.,0.6369,8
8:15 Sadly everyone gets offended now,-0.5859,7
8:20 she knows de wae,0.0,6
;),0.2263,1
African Click Language,0.0,3
BRUDDAS THEY DO NUT NO DE WAYE,-0.296,7
Best meme EVER!,0.6696,4
"Blaine Fiasco, lol I'm the total opposite. I shall forever fear when that day finally arrives. This being said, 




*They Do Not Know Da Wae.*",-0.5719,32
Bowser Fox lol,0.4215,3
"Brodas, dis is nat da wae....",0.0,8
Broders not brothers,0.0,3
Brodhas... dis is not da wei.,0.0,8
Brothers and sisters we need to stop the haters,-0.6597,9
Bruda do you know da wae?,0.0,7
Bruddas we will show dem da whey,0.0,7
"But 


























do U rLly know dA wae",0.0,7
But my new freand lost the wae,-0.3182,7
"But the question is...







Do u know da wae",0.0,10
Cloc cloc cloc cloc cloc,0.0,5
"Cluc Cluck Cluck Cluck....
Cluck Cluck Cluck Cluck...
Cluck Cluck Cluck Cluck...",0.0,15
DA WE,0.0,2
DO U KNO DA WAE,0.0,5
DO U KNO DA WAE?,0.0,6
DO U KNOW DA WAE,0.0,5
DO U NO DE WA?,-0.296,6
DO U NOE DE WAE,0.0,5
DO YOU KNOW DA WAE OLDE'S !!!,0.0,9
DO YOU KNOW DA WAE???????,0.0,8
DO YOU KNOW DE WAI,0.0,5
"DOO I NOE DA WAY




NO I REALLY DON’T",-0.296,11
"Da Wei , do you now tha wea",0.0,8
Da elders do not know de way,0.0,7
David sounds like Morgan Freeman,0.6369,5
Dey do nat kno da wae,0.0,6
"Do 
U
Know 
DA WAe",0.0,5
Do You Know De Wae,0.0,5
"Do an ""Elders react to Tord noises""",0.0,9
Do an elders react to pewdiepie  chair memes,0.0,8
Do elder react to cat parade,0.0,6
Do teens or adults react to NF,0.0,7
Do u kno da wae,0.0,5
Do u know da wae,0.0,5
Do u know da wae?,0.0,6
Do u know da wei,0.0,5
Do u know de way,0.0,5
Do u know se wae,0.0,5
Do u no DA wae?,-0.296,6
Do u no da wei,-0.296,5
Do yo u knoe da wae,0.0,6
Do you even know da wey,0.0,6
Do you know da wae brothers? YOU MUST HAVE EBOLA,0.0,11
Do you know da way ?,0.0,6
Do you know da wea,0.0,5
Do you know da wey brothas,0.0,6
Do you know da wey to ebola?,0.0,8
Do you know dae  wae we must protect the Queen,0.3818,10
Do you know de wa,0.0,5
Do you know de wey follow me broddas,0.0,8
Do you know the away. Show me da away,0.0,10
"Do you know the wae



░░░░░░░░▄░░░░░░░░░░ ░░░░░░░▌▒█░░░░░░▄▀▌ ░░░░░░░▌▒▒█░░░░▄▀▒▐ ░░░░░░▐▄▀▒▒▀▀▀▄▒▒▒▐ ░░░░▄▄▀▒░▒▒▒▒▒▒▌▄█▐ ░░▄▀▒▒▒░░░▒▒░░░▀██▀▌ ░▐▒▒▄▄▄▒▒▒▒░░▒▒▒▀▄▒▌ ░▌░░▌█▀▒▒▒▒▄▀█▄▒▒█▒▐ ▐░░░▒▒▒▒▒▒▒▌██▀░▒▒▀▌ ▌░▒▄██▄▒▒▒▒▒▒▒▒░▒▒▒▌ ▌▀▐▄█▄█▌▄░▀▒░░░░▒▒▒▐ ▌▒▐▀▐▀▒░▄▄▒▒▒▒░▒▒▒▒▌ ▌▒▒▀▀▄▄▒▒▒▄▒▒▒▒░░▒▒▐ ▐▒▒▒▒▒▒▀▀▀▒▒▒▒░▒▒▒▒▌ ░▀▄▒▒▒▒▒▒▒▒▒▒▄▄▒▒▄▀ ░░░▀▄▄▄▄▄▄▄▀▀▀▒▄▀ ░░░░░░░░▒▒▒▒▒▀
The nindo wae..",0.0,265
Do you no da wae *click* click*,-0.296,10
Dominic Costello I know the the wae,0.0,7
Du u noe dee wae,0.0,5
Du u not no da wae,0.2235,6
EBOLA!!!!!!!!!!!!!!!!!!!!,0.0,4
EBOLAAAAAAAAAA,0.0,1
ESPAÑOL PLS,0.0772,2
Elders React to Greta Van Fleet,0.0,6
Elders plays vr chat,0.25,4
Elders react to Phil Bozeman,0.0,5
Elders react to infant annihilator,0.0,5
Ello my brethren and sistren,0.0,5
FBE do you know the way 😂😂😂😂😅,0.0,10
Good brother,0.4404,2
Have you guys ever thought that the clucking is sort of like Zulu,0.2975,13
He dos know da wae,0.0,5
Hello,0.0,1
Henrique qual musica q tava tocando,0.0,6
Hey hey you guys are really missing an opportunity by not doing elders react to Primus or Elders react to Mushroomhead. Seriously with the videos those bands have you would melt the elders minds.,-0.0334,36
Hey im in the Video and do you know de wae,0.0,11
HoorWAE!,0.0,2
How is it offensive tho?,-0.4588,6
I KNOW DA WAE,0.0,4
I am da queen.,0.0,5
I do not no da wae yet but we must fund da qween if we wish to find da wae,0.6116,20
I don't think they know dae wae,0.0,7
"I have ebola, I no da wae.",-0.296,9
I hope they learn de wae...,0.4404,7
I knew the wae,0.0,4
I kno de wae my brodas,0.0,6
I like when old people react,0.3612,6
I love the elders😘❤️,0.6369,7
I luve David here he’s a cinnamon meme,0.0,10
I wanna get to that point where I don’t understand the next generation of memes 😍😍,0.0,19
I'd be offended if it wasn't so funny tbh. But I can see why some wouldn't like it,-0.7301,19
I'm wolf so true,0.5598,4
IDubbz? What are you doing here. dO YU wAnT tO nO de WeY ToO?,-0.3094,17
Isopod,0.0,1
Isopods,0.0,1
It started in the 1970's.  That is old.  The word it was based off of is much older.,0.0,23
Its koka and nudes,0.0,4
ItzEveyVlogsx have you considered digesting a liter of Sulfuric Acid?,0.0,11
It’s “do u no da wae?,-0.296,10
I’m black and don’t find this offensive at all.,-0.5423,14
Jada White Oh that makes sense then,0.0,7
Jada White thing is people do japanese accents and Russian accents and no one finds them offense,-0.4939,17
Jeff Farmen burn yourself in sulfuric acid,0.0,7
Jeremy Lucina koo,0.0,3
Johnny S Really? Even if you compliment somebody? They offended?,0.3899,13
KIDS REACT TO UGANDAN KNUCKLES MEMES PLEASE,0.3182,7
Kids react to Uganda knuckles!,0.0,6
LETS FIND DE WEY MY BRUDDA!!!,0.0,9
Legendary Draconis yes brother,0.4019,4
Leningrad — Voyage PLEASEEE,0.0,4
Like a jehovah's witness 😂 made my wae!,0.4199,9
Literally the first words: *whats a meme*,0.0,10
