,sentiment,wordCount
A wolf in sheep's clothing....  FALSE Profit!!!,0.5826,11
AMEN! TRUE! He is compassionate and loving! He really cares about people.GOD BLESS HIM AND KEEP HIM SAFE!,0.9728,22
Alec Hemy when has he ever done such a thing,0.0,10
All facts 👍🏾,0.0,4
And all these poor souls are just sheep following the false prophet,-0.4767,12
Andrew K that's u,0.0,4
Awesome Pope Francis💝 The best pope ever😍,0.8519,9
Catholic church belongs to 😈😈😈😈😈,0.0,7
Chile dont like the pope...and he knows it,-0.2755,10
Cornelius Krissilas...And also i laugh about you funny answer...grazie,0.7579,13
Crea Kids because he makes a business out of raping children and then destroying their lives.,-0.8555,17
Did any one else catch that light that came out of her foarhead when he passed his hand over it,0.4939,20
Does anyone know how the woman and the horse are doing?,0.0,12
Enter Dzhenem...I have laugh very much about your question...! Bella,0.5983,14
Eric Brauch President Trump doesn’t come visit me. The UN won’t let me speak at there place. The apostles were men just like me too.,0.3612,32
False followers,0.0,2
"Good job it wasn’t an alter boy that fell off the horse, the pope would of been naked and getting the lube out before he got off the Pope Mobile.",0.4404,34
Great pope!! How is the guard now?? Get well soon. Verry efficiant medical team security. Nice counrty,0.9071,23
Hahha witch God ....lets see how Smart u Are....???,0.4291,14
"Have you been a good boy bending your knee to your queen today?  Oh and how many of your UK politicians had to resign for sexual abuse charges?  Seven so far?  Or is it eight?  Hahaaaa, stupid UK.",-0.8796,44
He needs a good seeing too..sexual tension brewing in the air me thinks...,0.1531,16
He spooked the horse in that silly outfit.,0.0258,9
"He stopped and told her ""you should have stay in the kitchen my dear.""",-0.2263,17
He's the Man xx Love Pope Francis xx,0.6369,8
He’s real for that,0.0,6
Holy Aura: +25 health regeneration,0.0,7
"Hope the Church will take a broader view towards contraception.  In the heart of hearts all of them know that the policy will need to become a little lenient, but no one wants to say it out loud for fear of  annoying Lord Jesus.  If every act of union between husband and wife were unprotected,  the population would go for a toss.",-0.9032,67
How is the “victim “ doing?,0.0,8
"I am from Chile and it is a lie, I hope it is sarcamos haha",0.7096,16
"I applaud the attitude of pope Francis with this policewoman, but later, when he defend a pedophile, me and thousands of Chilean we can't believe that and reassure the problem of the Catholic Church in my country and the low popularity that we saw during the entire visit. Thanks pope, by the way, for make me wake up earlier than others days to arrive late to my work because of traffic detours you made. Thanks pope for nothing.",0.8945,86
I have nothing against  this man but his works are not of God. And if it's not of God then  who is it from?,-0.5334,26
"I hope the lady gets well, I guess even the horse could sense evil in its presence?",-0.1027,19
I think dope means good.  A dope would mean bad,-0.1531,11
Is the horse OK?,0.4466,5
It is said not to follow the false. Chile dont like the pope he knows it,-0.2755,17
"It wouldn't surprise me if it was real, the church and religions in general are the most backwards institutions on earth, I don't know how they can preach love while protecting pedophiles.",0.5245,35
I’ve had worse falls then that 😐,-0.4767,9
Kind gesture and not surprising considering this Pope.,0.379,9
Lenny for Pope,0.0,3
