,sentiment,wordCount
,0.0,0
"""I get terrified please dont say goodbye"" that speaks to me deeply",-0.4019,14
"""If You Leave Me Now""
(feat. Boyz II Men)

[Charlie Puth:]
No, this is not goodbye
I swear that I'm gonna change
No, baby, please don't cry
It doesn't have to end this way

'Cause when I think of all the nights I'll be alone
I get terrified
Please don't say goodbye

'Cause girl, if you leave me now
If you give it up and just walk right out
You will take the biggest part of me
And all the things that I believe
Baby, if you leave me now (yeah)

[Boyz II Men:]
When did we lose our way?
My whole world was unraveling
And girls driving me insane
There's no road for the traveling

[Charlie Puth & Boyz II Men:]
When I think about all of the nights you're gone (nights you're gone, oh)
I get terrified (I get terrified)
Please don't say goodbye (bye)

'Cause girl, if you leave me now
If you give it up and just walk right out (oh)
You will take the biggest part of me
And all the things that I believe
Baby, if you leave me now
Oh, baby, if you leave me now

[Charlie Puth:]
Oh, I can promise if we parted (parted)
And if you left me brokenhearted
Every single night, I'll think about you with someone else
Baby, if you leave me

[Charlie Puth & Boyz II Men:]
Baby, if you leave me now
If you give it up and just walk right out (oh)
You will take the biggest part of me
And all the things that I believe
Baby if you leave me now
Oh girl, if you leave me now
If you give it up and just walk right out
You will take the biggest part of me
And all the things that I believe
Baby, if you leave me now
Oh, baby, if you leave me now",-0.926,364
#firstsongof2018 <3!!,0.0,4
"#love_you_charlie 
#we_are_proud_of_you
#you're_the_one_and_only
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤",0.0,6
*AMAZING* *SO SO GOOD PUTH* *#VOICENOTES*,0.4927,12
*It's so amazing😍*,0.0,6
/,0.0,1
"1:11 - The part where he sings 'believe', whoa that's really fantastically soft!
And when the boyz 2 men singer sings 'My whole world is unravelling', just notice how he drags the notes....! That took me to heaven.",0.4912,48
2018?✌,0.0,3
2:40 & 2:55 - WHO ELSE GOT GOOSEBUMPS!!!???😱😱😱,0.0,17
"3 words: perfection, beauty, inspirational😍😍😍😍",0.8176,11
3:17 😍😍😍😍😍😍,0.0,4
555555,0.0,1
:(,-0.4404,1
<333333,0.0,2
A mother quote says:WHY ARE YOU ON THE BED WITH DIRTY CLOTHES?!!?,-0.6785,18
AMAZING SONG CAN'T GET IT OUT OF MY HEAD CAN'T STOP SINGING THIS AND PUTTING IT ON GREAT JOB GUYS!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0.8346,23
Ahhhh😌 Just like the old times☺️,0.3612,9
Another good song by Charlie Puth. Off topic but ARMY u here... no ok😂😂😂,-0.2144,19
Awesome,0.6249,1
