,sentiment,wordCount
17k in the first 5 mins,0.0,6
"American Beauty Star’s second season is cancelled. 

Sorry, Adriana Lima. Your voice put me to sleep.",0.3612,22
Can't wait,0.0,2
Candidly D now my comment is 9 hours old and it only has 25k views.,0.0,16
Creepyyyyyyyyyt,0.0,1
Finally Kandee is joining a tv show on Lifetime!! Yay Kand !!,0.6776,15
First hi,0.0,2
First y’all,0.0,4
Ghost Clint sounds like Hall and Oates classic,0.0516,8
"Hola, como podremos verlo en España?",0.0,8
I am obsessed with this promo.,-0.1779,7
I thought this was an apple ad,0.0,7
It's in french at the beggining 😍,0.0,7
It’s casting for season 2. Adriana should get replaced because her voice is boring.,-0.3182,18
I’m Glam Masters and I got something to say,0.0,11
Keep the beauty competitions coming! And please bring back American Beauty Star. Good television! Good work lifetime!,0.9483,21
"KyaputenAura, I feel like it’s gonna be much better. Despite it only being 8 episodes long, I think it’ll have better quality with Kim Kardashian West being the producer and having Laverne Cox as host. She’ll give Adriana Lima lessons on how to host because she was so boring and monotone.",0.6496,62
Loooove the trailer ✨🔥🔥 And Mario Dedivanovic 😍😍😍😍,0.0,12
Not super impressed by this trailer....they just did American Beauty Star..won't this be the same thing? We already have other shows like Face Off and Skin Wars on other channels.....idk this will have to be really original to stand a chance.,0.923,49
"Not super impressed by this trailer....they just did American Beauty Star..won't this be the same thing? We already have other shows like Face Off and Skin Wars on other channels.....idk this will have to be really original to stand a chance.
Getting Awesome funny videos please click on my picture or search on youtube as Azgar620.",0.9705,66
OMG! I am so excited for this! I can't wait to see what new and innovative in makeup.,0.765,21
SO tired of anything Kardashian related.,-0.6028,7
Seriously I am SOOOO hype for Laverne! Yes honey!,0.3786,11
Song?,0.0,2
That glitter is going to be a pain to wash out,-0.5106,11
This is so satisfying honestly,0.7989,5
This opening gives me life,0.0,5
"Time is short before ww3- 1968 prophecy 
Call on the Name of the Lord and be saved while there is still time 
Romans 10:13",0.4215,25
UPLOAD BRING IT,0.0,3
What song is this¿,0.0,5
What’s the song,0.0,5
When is it broadcast in Spain?,0.0,7
Where can i download the audio for ringtone?,0.0,9
Why is this #17 on trending with 17k views?,0.0,10
YouTube needs to DELETE trending manager.,0.0,7
fake beauty,0.1779,2
https://youtu.be/QCVNKzmw9Rc,0.0,1
nice,0.4215,1
yasss kim,0.0,2
