,sentiment,wordCount
2:36 her lips are huge,0.3182,5
30 days of making no trash,-0.296,6
5 DAYS OF NO FORKS OR SPOONS😂,-0.296,8
5 DAYS OF RAW FOOD DIET,0.0,6
5 Day of Cocoa Powder!! There r so many uses to it besides the obvious!,0.0,18
5 Days of different fashion styles,0.0,6
5 Days of lerning danish,0.0,5
5 Days of trying essential oils,0.0,6
5 day of Braids,0.0,4
5 day of camping,0.0,4
5 day of living tiny,0.0,5
5 days  gluten free🆓🆓,0.0,6
5 days With No Phone,-0.296,5
5 days dress code,0.0,4
5 days going natural. With no makeup,0.0772,8
5 days just eating pizza,0.0,5
"5 days natural: no makeup, no hair styling :)",0.2732,11
5 days of ... only candy or bad diet,-0.5423,9
"5 days of 10,000 calories",0.0,5
5 days of 1000 cals a day,0.0,7
5 days of Nike Trading Club workout!,0.0,8
5 days of Victoria secret diet,0.0,6
5 days of being a Pinterest person,0.0,7
5 days of being blind/deaf,0.0,7
5 days of being productive,0.0,5
5 days of being vegan!,0.0,6
5 days of being vegan/ gluten freee,0.0,8
5 days of being “emo”,0.0,7
5 days of bodybuilding,0.0,4
5 days of community service,0.0,5
5 days of dance school,0.0,5
5 days of different School dress codes,0.0,7
5 days of different color contacts,0.0,6
5 days of different cuisines!,0.0,6
5 days of different sports,0.0,5
5 days of diffrent eye coloers,0.0,6
5 days of diy slime,0.0,5
5 days of doing dirty jobs,-0.4404,6
5 days of doing fancy hair updos!,0.0,8
5 days of doing new hair styles,0.0,7
5 days of dress code,0.0,5
5 days of dressing with a school dress code!,0.0,10
5 days of eating just vegetables,0.0,6
5 days of eating only proteins,0.0,6
5 days of eatting fast food,0.0,6
5 days of exerciseing on a goal,0.0,7
5 days of face mask,0.0,5
5 days of facing your fears,-0.4215,6
5 days of fasting,0.0,4
5 days of following school dress codes,0.0,7
5 days of food you’ve never tryed,0.0,9
5 days of foreign foods?,0.0,6
5 days of fostering a puppy that would be so coool! :),0.553,13
5 days of going waste free whilst using environmentally friendly products,0.5719,11
5 days of gymnastics,0.0,4
5 days of ice cream,0.0,5
5 days of in star am makeup,0.0,7
5 days of leaving shampoo and or conditioner in your hair !,0.0,12
5 days of lifting in hotels,0.0,6
"5 days of living as a victoria secret model: eating, training, routines",0.0,15
5 days of living like a pro athlete like gymnastics football or soccer,0.6124,13
5 days of masks,0.0,4
5 days of modelling,0.0,4
5 days of new hairstyles,0.0,5
5 days of no WiFi or social Media,-0.296,8
5 days of no alarm clock,-0.5574,6
5 days of no blankets to sleep with,-0.296,8
5 days of no makeup,-0.296,5
"5 days of no makeup

Like if you agree",0.4215,9
5 days of no phone,-0.296,5
5 days of no phone or 5 days of kids clothes,-0.296,11
5 days of no shaving,-0.296,5
5 days of no sleeping,-0.296,5
5 days of no talking (not to be offensive),-0.296,11
5 days of not brushing your teeth,0.0,7
5 days of not looking in a mirror,0.0,8
5 days of not wearing any makeup,0.0,7
5 days of only drinking water,0.0,6
"5 days of only fruits and veggies( but u can have water, milk and other ingredients to make smoothies!)",0.0,23
5 days of only highlighter,0.0,5
5 days of ortagerous clothes,0.0,5
5 days of ramdom acts of kindess,0.0,7
5 days of same cloth,0.0,5
5 days of staying home (only work),0.0,9
5 days of switching religeons.,0.0,6
"5 days of taking 15,000 steps sorry if it tires you out",-0.0772,12
5 days of training like an Olympian,0.3612,7
5 days of walking The recomented amount of steps a day ( 10000 steps ),0.0,15
5 days of wearing clothes from different arras: 50’s 60’s 70’s 80’s 90’s,0.0,24
5 days of wearing only high heels.,0.0,8
5 days of wearing really high high heels 👸,0.0,9
5 days of wearing the same shirt or pants love u ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0.6369,14
5 days of wering just dresses,0.0,6
5 days of workout,0.0,4
5 days off dance,0.0,4
5 days sleeping on the floor without blankets,0.0,8
5 days using Refinery 29 makeup tutorials,0.0,7
5 days with Dollar Tree foods,0.0,6
5 days with a puppy,0.0,5
5 days without brushing your teeth 😵,0.0,7
5d days of bringing kids to work,0.0,7
5days of brain games/ challenges!!,0.2225,8
5days of camping,0.0,3
5days of living in a car,0.0,6
5days of only sugar,0.0,4
5days of squads,0.0,3
"Actual Product= £12
Things to make DIY: £17.99
Can anyone relate? 😆😉





Just me...ok 😬",0.0,23
All she needs is her face no makeup she’s so gorgeous plz no hate I’m just saying she’s gorgeous without makeup,0.6918,27
"An alternative instead of the coconut oil for the diy makeup remover? I've read that the coconut oil can clog your pores

Ps:love your videos!!",0.0,30
At 1:59 you look sooo skinny WTF,-0.6739,7
"Can you do 5 days of only eating fruits and vegetables?       






Note........I love you so much",0.6369,19
Can you try 5 days of trying Lush skin care products,0.4939,11
Could you please do 5 days of competitive swimming 🏊🏼‍♀️🙏🏼,0.4588,16
Crayon lipstick works really well,0.3384,5
DIY natural!,0.4199,3
Diy hair makeup brushes using hair as brushes,0.0,8
Do 5 days of adding coconut oil to everything,0.0,9
Do 5 days of going to the gym at 5:00 in the morning,0.0,13
Do 5 days of training as an Olympic swimmer,0.0,9
Do five days of Sri Lankan food :),0.4588,8
"FOUNDATION + EYE SHADOW = LIPSTICK!!!!
THAT'S AWESOME!!!",0.7405,14
"Five days of ""motherhood"" using one of the fake babies that cry, etc.",-0.7351,17
Five days of 2017/2018 trends ??,0.0,7
Five days of color contacts! I love you FYI,0.792,10
Five days of not bathing🤔,0.0,6
Five days of only  smoothes,0.0,5
Five days of sign language,0.0,5
Five days of sport,0.0,4
Five days of taking caring of an unusual animal,0.4939,9
For a brow gel you can use aloe Vera gel,0.0,10
For a setting powde all you have to do is blend some oats to a fine powder,0.2023,17
"Girl, if you use makeup in your ‘diy makeup’ IT ISNT A DIY? like you are litterally using makeup, so?",0.4329,26
Great video but I wasn't expecting her DIY makeup to pretty much all be make from other makeup products...,0.7814,20
"Have you ever thought about doing something mental health related - I know your channel is uplifting, but it could be informative  and I am sure there are creative ways to not make it too depressing. Maybe 5 days of living in a residential facility? 5 days of self-help groups? Something where you could get into the mindset of someone who really needs to follow instruction /needs to utilize therapy. Someway of getting counseling and mental health resources out there in a non-stigma type way. Just a thought. Maybe not for your channel but a fan can try!",0.7907,107
Her eyes are HUGE,0.4648,4
Her eyes are creepy like if u agree,0.6124,8
Her eyes are so cute there sooo big favroute youtubet,0.5949,10
Hey Lucie! I love the series Try Living With Lucie!! They are so inspirational to me and make me try new things. If you are reading this say hi!!😍💘,0.8912,37
Hey Lucy you should do DIY cloths for a day that would be supper cool,0.3182,15
How about 5 days of eating homemade foods only?,0.0,10
How about five days of wearing the same clothes??,0.0,11
How is the first lipstick homemade?!,0.0,8
I GOT EYE MAKEUPP OOoOoOnnnn!! 😂,0.0,8
I have a video idea 💡 what about a 5 days of exploring new places,0.0,15
I have foundation and hella eye shadows just going to waste so now I'm about to make some many lipsticks. Thanks Lucie,0.0258,23
I subscribed,0.0,2
I tried that diy chapstick and it spilled on my hand and I got second degree burns! Would not recommend! I’m not blaming anyone I’m just warning you,0.4408,34
I usually love these videos but when you make some out the products your using like concealer of foundation to make the darn thing,0.705,24
I wish you would had done it all from scratch and not use make up to diy make thats cheating,-0.2263,20
I'm only subscribed for you lucie😂,0.0,7
"If I'd have to pick one single make-up product, I would totally choose mascara.",0.0,16
Instead of burnt almonds why not just use Vaseline and black food coloring or aloe Vera and black food dye,0.0,20
LUCIE TRY CHEER LEADING OR DO FIVE DAYS OF DIY FACE MASKS WITH NATURAL THINGS,0.7003,15
"Let's make diy foundation!
Ingredients: foundation",0.0,8
Love you!,0.6696,3
Loved watching this vid!! 😍Can u do at 5 days on living on homemade food plz.,0.6988,20
Lucia try astrounout food for five days,0.0,7
Lucie 5 days of eating doughnuts,0.0,6
"Lucy you could try a ""try living with Lucy 5 days living in my roof top / in the street"" you can choose the one that is easier for you",0.5574,32
"Lucy, I think you should try expensive skin care for 5 days and see if there is any difference....",0.4939,21
"Lucy, have you ever done 5 days of a totally, completely digital life...reading, cash, communication, work, EVERYTHING!!",0.0,27
Making makeup using makeup! Great tutorial!,0.6892,8
Mixing premade makeup isnt DIY makeup...? Just repurposing?,0.0,11
Omg lucid you should do 5 days of homemade meals xD,0.5859,11
Oml so satisfying 7:03,0.5095,4
P.S. no hate i think this channel is great and ur super pretty. i was just wondering,0.743,21
Please do 5 days of competitive swimming 🙏🏼,0.4588,9
Please don't ever stick any thing edible especially something like nuts on or near your eyes that's not only dangerous for the fact you could get a chunk in your eye but you could also risk an eye infection. I'm not trying to nag but I've seen too many cases of that happening.,0.3714,55
Refinery29 5 days as a break dancer,0.0,8
Refinery29 5 days of hair coloring,0.0,7
Refinery29 5 days of hip hop dancing,0.0,8
Refinery29 5 days of no caffeine,-0.296,7
Refinery29 5 days of ortagerous chlotes,0.0,7
Refinery29 5 days with NO makeup,-0.4466,7
Refinery29 do 5 days of switching styles of their clothing and wearing it!!,0.0,16
Refinery29 is,0.0,3
Refinery29 try 5days of eating only ramen based meals,0.0,10
So 5 days of painted clothes on,0.0,7
So many of you were asking for this video! What should we do next on Try Living With Lucie?,0.0,21
That lip color looked great,0.6249,5
The thumbnail tho,0.0,3
Try learning Russian)),0.0,5
Try living with Lucie: 5 days of cleaning,0.0,9
Try to learn danish,0.0,4
U DONT NEED MAKEUP YOUR SKIN IS GOALS!!!!❤️😍,0.0,14
"U should do five days of eating healthy, and five days of wearing comfy clothes!",0.4574,17
Vegan for 5 days!,0.0,5
What I don't understand is why girls wear makeup were all beautiful,0.5994,12
What about 5 days of no caffeine?,-0.296,8
Who agrees with 5 DAYS OF WEARING HEELS,0.2023,8
Why don't you try five days without taking it down,0.0,10
YOUR FRESH FACE IS MY MAKEUP FACE SHE IS DA. QUEEEEEEEEEEEEN,0.3182,12
You can also use vaseline as mascara,0.0,7
You did use makeup but this vid was great I love all your vids,0.9253,14
You look beautiful without makeup.. 👌❤️,0.5994,9
You should do 5 days of fostering dogs,0.0,8
You should try the five day vegan challenge,0.0772,8
You shouldn’t put coconut oil on your skin! It’s comedogenic and can cause acne. Grape seed or Argan oil would be a better choice.,0.4926,31
You used makeup products in almost every recipe and you think your skin take a break from makeup... wtf,-0.5859,20
You're eyes❤❤❤,0.0,5
You're so pretty omg,0.5413,4
can you do five days of baking,0.0,7
dam she is cute,0.4588,4
do 5 days with NO makeup,-0.4466,6
eating only pasta for 5 days!,0.0,7
"hi Luicie! am a kind of makeup artist and i just want to say that i love this experiment, and i will try out some of the recepic! just a pro tip is that i see that you have very round eyes, and instead of drawing a thick line of eyeliner, try to draw a thiner line and wing it out! you will se big different, keep up the good work with the 5 days of... series",0.851,85
"i know you live in new york so u might not have one anyway, but you should do 5 days without a car!!",0.0,26
my name is lucie!!!!!,0.0,7
nice,0.4215,1
not taking a shower,0.0,4
omg she is so pretty!!!!!!!!!!!!!!!!,0.0,8
or maybe 5 days of different hair treatments,0.0,8
she’s gorgeous with and without makeup!!,0.6792,10
that eos one is dumb,-0.5106,5
try 5 days of instagramming every day!!,0.0,9
why r ur eyes HUGE?,0.4648,6
you should do five days of living using everyday items by their suggested directions.,0.0,15
your face and your personality is GOALS!!! No wonder I wanna be like you!,0.3544,18
you’re skin is perfect,0.5719,6
