,sentiment,wordCount
"""....... look what you made me do.......""",0.0,10
"""Thatd be the new york post""

*Casually leans to the side and lays his head on his hand*",0.0,22
"""What is Taylor Swift's new album."" ""Look what you made me do...?"" Omg I died. (I'm a huge swiftie)",-0.3182,29
"""What is the name of Taylor Swift's new album""
*Lin hits the button slowly*
""...l..look..what..you made..me do..?""",0.0,34
"""YEA... I made it up."" I love Lin ❤",0.6369,13
"""Yeah I made that up""
Me: YEAH YOU MADE THE WHOOOOOLE THANG.",0.6289,16
"""what was the name of taylor swifts new album?""
IM SO DONE.",0.0,16
*AND PEGGY*,0.0,4
"*Every other founding fathers story gets told, every other founding father gets to grow old*",0.0,18
*but who was the real winner*,0.0,8
*me looking at lin* LOOK AT MY SON! PRIDE IS NOT THE WORD IM LOOKING FOR!,0.5743,20
*screen shots every frame Lin is in*,0.0,9
0:42 he's so perfect omg,0.6948,5
1:00 cutest laugh ever,0.8126,4
1:12 Lin    Y e s,0.0,5
"1:13
IM DYING THAT WAS SO CUTEE",0.0,7
1:14 the face of *glory*,0.0,7
1:19 me when someone says my answer before I get to it,0.0,12
1:25 Most random question ever to say for a history quiz,0.0,11
1:27 blank faces😂😂😂,0.0,6
A shining star,0.0,3
AAAAAAAA,0.0,1
Anybody else giggle every time Lin looked at the camera when he got an answer right,0.4215,16
Anybody else think Lin looks like Tony Stark?,0.3612,9
Aww the cinnamon rolls °□°,0.0,7
Aww. Why are they *both* adorable?,0.4939,10
Bless this Child,0.4215,3
Can can I have um some maybe Hamilton tiiicckkketss????,0.0,12
Change the name to macy and dats ma name,0.0,9
Cheerios rounds 6k to 20k but my prof can’t round my 45 to a 90,0.0,17
Ellen please I want to see him so I can sing his song in the show,0.3818,16
"Ellen: what’s the name of Taylor Swift’s new album?
Lin: *reluctantly* look..what you made me dooo?",0.0,28
"HERE COMES LIN
*this should be fun*",0.0,9
He is so sexy lol,0.8149,5
Hercules was a tailors apprentice-what’s the name of Taylor Swift’s new album XD,0.6739,17
His little pose is what gets me,0.0,7
"Historical facts: I've got this
Pop culture: ummmmm look what you made me do?",0.0,17
How about a test on how American politics work between Donald Trump and any five year old?,0.0,18
How is Macey related to Ellen??,0.0,8
How is that child smarter than me,0.4588,7
I GUESS I'M THE BIGGEST FAN OF MACEY😉😉😊😊,0.3182,12
I LIVE IN WEEHAWKEN,0.0,4
I LOVE HER SO MUCH,0.6369,5
I LOVE LINNNN 💕💕💕,0.7125,6
