,sentiment,wordCount
(Makes perfect and delicious vegan cookies and then dips it in milk.),0.8126,15
*lol*,0.0,3
*when you want cookies and don't have eggs at home,0.0772,11
1:06 they lool so good,0.5777,5
"1:15 □
*dips in milk*",0.0,7
@1:15 forgot that this is a video and opened my mouth to taste it😁,0.0,17
ABSLUTELY STUNNED BY THIS RECIPE! Made it for my vegan father and he loved it! Screwed up the recipe thou by adding light brown sugar and still worked! Also this recipe is best if you don’t follow the amount for chocolate chips and just put in one cup. Also add extra chips on top for maximum delight.they use to many chips.,0.7538,68
Add some bacon!,0.0,4
After three tries I finally made them right.  I kept using a different oil and they would come out burnt so I finally went to buy coconut oil and I personally love how they came out.,0.6369,38
All that sugar? Really?,0.0,6
All vegans need to die. There is nothing better then a nice lean tender juicy steak.,-0.8243,18
Although good looking...the amount of sugar is a no go 😔,0.1779,13
Amir Siddiqui look up the definition of vegan,0.0,8
Are you a moron? I said all vegans need to die. I didn't say that I will kill all vegans. I am very concerned for your English and comprehension. Did you grow up here?,-0.9211,39
Are you chewy-person or crispy-person?,0.0,6
Ava Mind checking out my channel? I upload tons of vegan food videos!🤗💗,0.0,17
Aí vc faz um biscoito vegano e come com leite,0.0,10
Beware sometimes coconut oil based cookies end up being greasy as heck!!!,0.0,15
Blight *breastmilk,0.0,3
Can I skip brown sugar??,0.0,7
Can I substitute sugar with cane sugar,0.0,7
Can i sub coconut oil for corn oil?,0.0,9
Can we use whole wheat flour instead?,0.0,8
Can you make a vegan  chicken recipe video?,0.0,9
Can you use any other oil instead?,0.0,8
Can you use vegan butter instead of coconut oil? That shit is hella expensive and I am poor,-0.7717,19
Chocolate is made by animals it is not vegan,0.0,9
Cocoa is from a plant. People use cocoa,0.0,9
Cross X almond milk coconut milk soy milk the list goes on,0.0,12
"Dark Chocolate and Bittersweet are Vegans, Why? Not have any animal product as Milk, So don't need say for the peoples ""Vegan Chocolate"" Okay",0.1531,29
Dayummmmmmm 😘😘💗💗,0.0,5
Do a vegetarian cookie next,0.0,5
Do u taste the coconut oil in it,0.0,8
Do we have to chill for 30 min?,0.0,9
Does anyone know good vegan chocolate?,0.4404,7
Does vegan mean healthy?,0.4019,5
"Doesn't look as good as normal cookies, but it sure does taste great!",0.8477,15
Don't even think about it kids. A cookie without butter is a cracker.,0.0,15
"Ellie A. I do not see any mistakes. Listen if you grew up somewhere other then the United States I completely understand. You may be a little bit behind on your English. With practice, you can definitely become fluent. I was thinking that you were an idiot at first, but then I remembered that you were a vegan so it all makes sense now. People like you are malnourished from very little protein. I am assuming that's why your brain is the size of a walnut. You can't even detect mistakes in a sentence. Sorry, I just don't argue with 12 year old keyboard warriors sitting behind their desktops all day. Get a job, get a life, stop being an asshole, and eat more protein.",0.7798,142
Ellie A. Isn’t non dairy milk milk but where the dairy is just removed,0.0,17
Even though it's vegan doesn't mean it's healthy. That's a lot of sugar for just 6 cookies...,-0.3089,19
Ew I’m eat a cookie 🍪 HOW I WANT you cannot STOP ME,0.5367,15
FINALLLYYYY TASTY HAS A VEGAN RECIPE,0.0,6
Finally Chocolate chip cookies without rape and torture!,0.8007,9
Finally I was eating something sweet while watching a Tasty video,0.4588,11
Frojoflip Ace no,-0.296,3
Gluten!,0.0,2
"Good video, they look greasy though. Maybe just don't eat sweets period, have some fruit and do something good for your body.",0.4891,26
"HOnestly, I can buy better tasting ones at whole  Foods",0.7096,11
"Has anyone made these? I just tried and the sugar separated from the mix when I added the coconut milk. Not sure if it was the milk or the sugar I used (sugar has been sitting in the cupboard for a while but seemed okay, used caster sugar too not granulated). Thanks.",-0.0281,59
Has anyone tried eating the dough straight?  Is it any good?,0.6322,13
Has anyone tried making theese? For me they are just too oily. And I use the same ingredients 🤷🏼‍♀️,0.0,25
Hell yeah,-0.5267,2
"Hey I’m not a huge fan of coconut oil, what would be an alternative to that?",-0.4449,20
How can there be a vegan cookie? There is no meat wtf,-0.7184,13
How is this trending? It's a cookie recipe.,0.0,10
How many calories?,0.0,4
How many cookies can you make with the recipe?,0.0,10
How many cookies you have at the end?,0.0,9
How much sugar is this i have baked it and i fucking threw up wtf?,-0.6204,16
I am gonna make this without the gay ass vegan substitutions,0.431,11
I am so late 🍪🍪🍪🍪😶😍😍😘😘😊😊😊,0.0,15
I baked it and it’s too sweet,0.4588,9
I can def make this but im not using that much oil. How to replace?,0.0,17
I did not even watch the video because you sound so stupid saying the best vegan cookies like what is a vegan cookie I did not no cookies had meat in them,0.4976,32
I didnt have brown sugar...can i use normal sugar instead of brown sugar??,0.0,17
"I don’t bake very often to I got a question😅
is the oven supposed to be still pre-heating while the batter chills in the fridge for 30 min?",0.0,32
I flip u flip non-dairy milk. Pay attention,-0.1027,9
I forgot that cookies aren't vegan  XD,-0.5595,7
I guess that whoever invented puns probably didn't intend it.,0.0,11
"I have a great organic chocolate chip recipe you're sure to love. Check it out!
https://youtu.be/-EVHg-iYdKw",0.8977,18
I just fucked up XD THEY WERE FLOOPY AND CUSTY AT THE SAME TIME  I'll try again one day lol,0.4466,20
I just made these and the dough is BOMB. The coconut oil gives it such a good flavor. Just put them in the oven I can’t wait to eat them omg 🤣,-0.2577,36
"I just made these. They were okay. A little grainy and a little too crunchy on the outer edges for my liking but overall, pretty good.",0.8873,30
"I just tried these. I personally didn't have great luck, but I'm wondering if I just didn't refrigerate them long enough (as I know that climate and appliance differences can lead to different results.) They came out very flat and extremely oily tasting. I'm no stranger to vegan cookies, and I want these to work, so I'm going to try a few things before I give up on this recipe. Let me know if you have any tips - thanks! :)",0.6,91
I like meat,0.3612,3
I love how u give,0.6369,5
I love you guys for this!,0.6696,7
I made them and they taste and look AMAZING! I encourage everyone to make it especially now that Christmas is here! Merry Christmas everyone!❤️,0.9218,29
I made them and they turned amazing! I added chickpea puree and it the texture became fantastic 😍,0.8268,19
I made these and they turned out hella runny and flat! Followed the recipe to a T. If I could change anything i think you need less sugar and a longer cooling time,0.0,35
I made these and they were delicious but super GREASY!,0.8398,11
I made these and they're perfect ☺,0.5719,7
I made these today and my only complaint is they tasted like coconut oil .. like meaning you can smell the coconut oil and taste it. Usually it’s supposed to go un noticed. I’ll use less next time 🍪,0.4215,45
I made these. They came out very flat. We called it cookie leather since the sugar crystallized.  Don’t use this recipe.,0.0,27
I made this receipe to the T and it was ruined,-0.4767,11
I made this recipe but I used vegan butter instead of coconut oil and they turned out great,0.7684,18
I prefer ultra vegan cookies that is formed by hydrogen and oxygen.,0.0,13
I think I'd just eat it without baking it,0.0,9
I tried these cookies today and they turned out to be awesome. I think the key is chilling before baking. Also I replaced the sugar with coconut palm sugar. I swear they are better than normal ones. Love this channel Tasty ❤️,0.8979,47
"I tried this recipe and I think they may be a tiny bit salty for my taste. Then again, I tried light brown sugar, I baked it for only 13 minutes (instead of the full 15) and I also tried baking powder instead of baking soda so I don't know if these factor into it. Still tasty!",0.0,64
I usually don't have much of a sweet tooth but chocolate chip cookies are the best. NOTHING beats it.,0.8316,21
I wanna dip kookie in a milk and eat it ( ͡° ͜ʖ ͡°),0.0,18
I wish I had an oven ;-;,0.4019,9
I'm almost finished eating a meal and I'm hungry again...,0.0,11
"I'm just randomly singing ""SPONGEBOB SQUAREPANTS"" along with the music.",0.0,13
I'm not a vegan  so why should I watch tasty,0.0,10
"I'm not even vegan, but heck yes I would eat this O-O



Basically, if it's Tasty, it's tasty.",0.5499,22
I'm not vegan but i prefer natural un-saturated fat food. 👍🍪👏,0.5023,14
I'm trying this recipe! Thank you :),0.6996,8
IM CUMMING,0.0,2
If following a vegan diet makes me a freak then I will gladly take the label of freak... Although actual freaks might get offended and kick me out of the 'freak club' because I'm actually pretty normal and boring lmao.,0.0,44
"If the chocolate is dark, it's gonna be vegan anyway",0.0,11
If you guys didn't know oreos are vegan,0.0,8
"If you're actually make these  vegan ""cookies"" I fell bad for u. Nobody eats vegan cookies and likes them",-0.1779,22
If you're planning in making these use REFINED coconut oil so it doesn't taste coconutty,0.0,15
Ignore the bad feed back. U took ur time to teach something gd.,-0.7184,15
"Im not vegan BUT! i definitely loved the fact that if i ever made this i could could chill it or put in the freezer, and eat it like i did when i was a kid w/out the risk of getting sick!",-0.2432,47
Im not vegan but I would eat these minus the dark chocolate I hate dark chocolate.,-0.7227,17
Information with no talking. 😊☺️💪👌👍,-0.296,11
"InoshiKenshi No they dont the number one killer in America is heart disease  and can be treated by rated a vegan diet diabetes also can be treated by a vegan diet
If you need meat so much take a bite out of a cow 
You don't need meat to survive 
Also animals are sentient being they have a will to live mother who just gives birth has there child takes away from her the mothers scream for weeks female chicks have there becks burnt off and looked out for there lifetime which is not very long because how humans treat them its a living hell for most farm animals but not for dogs because there cute",-0.2871,116
Is coconut oil lower in calories than butter?,-0.296,9
Isn’t non dairy milk still a animal product,0.0,10
It came out so good! I reccomend to everybody :),0.7925,11
"It may be vegan,but complete garbage for the body. Its why most vegans are unhealthy.",-0.5667,19
"It very clearly is a cookie.
You don't need butter to make cookies, you silly sausage. ;)
In fact, some store-brand cookies don't contian butter at all.",0.6115,32
I’m in love again😍😍,0.6369,8
"I’m not even vegan, and those cookies look SO good! 🤤",0.6391,15
"I’m sorry but these turned out wayyyy too chewy, would not recommend",-0.4243,15
I’m sorry tasty but I tried your recipe and followed it exactly but the cookies didn’t work.....,-0.0387,22
Jennifer Grey Kay thanks!^^,0.126,7
"John Hanun 
Step one: buy store bought, non-vegan cookie dough.
Step two: MAKE THE FREAKIN COOKIES",0.0,20
John Hanun Because some people are vegan lol l,0.4215,9
"Just made them, turned out AWESOME!!",0.7519,9
Just made them. My family and I don't think they are sweet enough,0.4588,14
