,sentiment,wordCount
"""Oh this is a nice outro to his career""
New album: Revival
(slap on forehead)",0.4215,20
"""Revival, rehab,remission, return,reborn, rewind."" Thankyou ,happy valente,s day 2018.""from all your fan,s around the globe.""slim shady made me."" X",0.5719,42
"""queen be"" & ""the rap god"" is dope",0.2732,12
*WASH OUT THE BLONDE???*,0.0,9
"1 in every 55 people.  Liked this song.  You may not walk on water, but you will never be forgotten.",0.4402,24
1:57,0.0,1
2018?algum Br?,0.0,5
2028 Anyone listening yes alot :D,0.7739,6
"A música está boa porém, Faltou batida.. Por isso as parcerias dele com Rihanna são perfeitas. Solta o beat monstrão! 🤟🏾",0.0,26
A-MÉ,0.0,1
Am i lucky to be around this long ? After the meth........   thank god i quit,0.7506,17
Amazing!!!,0.6884,4
"An old crush of mine showed me this song, and im guessing this is a view of his mind",-0.1531,20
And just as the rap game was about to die.,-0.5994,11
Anyone else hear the f word at 0:22,0.0,8
Ausome,0.0,1
Aveigha Shaw we know but he is the god 2,0.3919,10
Awesome Em!,0.6588,3
"BTCH, I WROTE STAN!

ultimate mic drop right there.",-0.3382,12
BUT Michael Jackson is in Heaven I miss him . he was the first singer look it up I am NOT LIEING!!!!,0.6925,25
Beautiful song.the lady has a great voice.,0.8402,8
Beautiful voice and piano skills on hook good lyrics and flow songs original fire,0.7717,14
Beautiful words and speek yet!🔥😏,0.636,8
Best song I have ever heard this made me cry being a demon in the past life this shit hits me hard congrats man congrats,0.5023,25
Best song he's ever recorded,0.6369,5
Best song of the album?,0.6369,6
Best song on the album,0.6369,5
Beyonce one of the best singers Eminem done a song with he's right I'm only human just like everyone,0.7717,19
Beyonce 💖😍👌💕💋❤️😘🍉nice   You love you princess kiss💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖,0.6369,19
Beyonce's part is the only good part,0.4404,7
Beyoncé é uma Fada ❤,0.0,5
Brasil,0.0,1
Bryanna Stevenson absolute poetry,0.0,4
Btw this is my first time hearing this,0.0,8
"But as long as I got a mic, I'm godlike
So me and you are not alike
Bitch, I wrote ""Stan""
Classic Eminem..!! LOL",0.8014,31
Caleb banet lame line,-0.4215,4
Can someone genuinely explain to me why this song has so many dislikes???,-0.5451,16
Cute that you actually think he's stolen lyrics from you,-0.0516,10
Dafuq is this song,0.0,4
Dam I can’t get enough this song it talking about everyone,0.0,13
Damn I love this song it so easy to forget that we all human damn this shit so real,-0.4353,19
Daniel Lätth tf,0.0,3
Dipanjan Neogi ??? I'm sorry how did you get here from that???,-0.3094,17
Don't think I've heard anything this beautiful in a while,0.6833,10
EMINEM is a legend!!!,0.0,7
Eminem I'm only 10 but I get where coming from but don't doubt yourself😺,0.395,15
Eminem and Beyonce? I bet there were no apologies.,-0.296,11
Eminem da best I think💕👌,0.6369,7
"Eminem is far from my favourite rapper, but he is telling the hard truth in this song. Respect to him for that!",0.7777,25
Eminem is like the golden state Warriors he's so good that nobody has to talk about him to know how good he is.,0.8745,24
Eminem poured his heart out..,0.0,6
Eminem you made a song a long time ago and that was the first song I ever lured the words to  you are a god,0.2732,25
Eminem's part really shares a really important message..,0.5926,9
Eminem- revival>most of new rappers albums nowadays,0.0,10
Every time i hear this song i do my chores,0.0,10
Extremely beautiful love it,0.8648,4
Fantastic,0.5574,1
GREAT SONG!!!!!!😍♥♥♥😍😍😍,0.7405,12
"Go to google and look up ( TAZ/B bloody night ) and listen close and you will see how #Eminem stole my punchline and flipped it around and turned it into the hook to this song... I was just about to re record bloody night too because it didn't turn out the way I recorded it.. Rap god my ass. This shyts been going on for years and I been laying low in Michigan since 1995 from the spotlight.. But when he took this one, it got personal and it's time to expose..",-0.8519,101
"Great, really. I expected nothing and then this fantastic track as a starter.",0.8537,16
Guys I swear I just got free $6451real money from this amazing website>>>>freepplmoney.win/?0NOSso Try once.,0.8225,21
He Died at the age of 50 it's so sad .Beyond nose what I am talking about. Iook Michael Jackson up,-0.822,23
"He did , Rihanna and him made a song called "" The monster """,0.0,14
He needs to make some good tunes like in the 90’s and not making depressed songs now,0.7965,19
His flow and rhymes are obviously not what they used to be. I am a huge fan still because he is being incredibly honest with himself. I respect this album. Even if it is my least favorite.,0.8322,41
"Honestly, i have listened to eminems era, slim and marshal and honestly these lyrics are one of the best ive ever heard hands down.",0.8807,27
How can Eminem have haters ? :(,-0.7269,7
"How can you hate this??? I mean I need an explanation.... Help me understand the way of your thinking. We're all entitled to an opinion,  I want to know the reasonings for this to be hated on????",-0.6966,46
I  love song,0.6369,3
I LOVE THIS SONG,0.6369,4
"I came here for Thirty Seconds to Mars and found this shit...

This is literally cancer",-0.6597,17
I didn’t know Eminem sang this,0.0,8
I don't like this,-0.2755,4
I feel this song more n more,0.0,7
I hate her voice,-0.5719,4
I love Walk On Water,0.6369,5
I love ittt,0.6369,3
"I love the level of maturity he shows, he's come such a long way and still bomb asf",0.25,19
"I love the message behind the song, and for the most part I think it's a good song, however I feel Beyonce's part wasted so much potential for it, being repeated however many times throughout. I felt her vocal range in it could have been explored more, with more musical and lyrical variety throughout. It just felt rushed or lazy to keep repeating it until the end. Just my 2 cents, and I don't really ""hate"" on this, just pointing out why I didn't particularly like it.",0.0189,99
I love this song,0.6369,4
I love this song 😀 here in February 2018.,0.6369,10
I love this song😍,0.6369,5
"I love watching how he has grown over the years, his lyrics are poetry  to my heart such deep thoughts gifted to us! I love how he ends it also 😂 don't forget who you listening to 😎",0.8849,40
I loved it though i did not like the swearing guys,0.5469,11
"I relate to this song..


Edit: Lol I'm sorry... im 10..",0.4215,15
I walk on water but I’m no jesus,-0.4215,10
I want the old Eminem back,0.0772,6
I want this song at my funeral or wedding song,-0.296,10
I will take you over jesus every day! Even if you walk on water only when it freezes! How you do it is beyond me..,-0.1739,28
I wish I can walk on water but I can't,0.2144,10
"I'm not God-sent
Nas, Rakim, Pac, Big, James Todd Smith, and I'm not Prince, so...",0.0,22
I'm so happy he's back,0.6115,5
"If he really stole your lyrics then why are you complaining about it over a comment and not in a court of law, and if he's stealing YOUR lyrics specifically how come his songs are so much better than yours rhythmically and lyrically?",-0.323,45
Ill pray for you em but you no you’re going to hell and you cannot go back .you sell the devil even now so sad Money and good life for burning in hell for ever id rather be poor,-0.9858,42
Is it just me or is Eminem's tone of voice similar to that of Kanye West? 😳,0.0,18
It's funny how the comments on here (that know the truth and/or agree with the truth) are getting deleted #Exposed,0.7717,24
"Jack Mcwatters I'm just letting people know how real he is... I understand that some people won't believe it, but it is 100% true.. I been laying low from the spot light for years and still do, but I want people to know the truth. This hook to this song, came from a song that I made years ago, but  this is not the first time he's done this to me.. He's been stealing my lyrics, punchlines and ideas and turning them in to his own for a long time. This is the truth.",-0.3291,106
Jack Mcwatters and I'm not saying that I'm better then him lol,0.6908,12
Jack Mcwatters he has and it's been happening for a long time. You just don't know anything about it.,0.0,21
Keep it up em,0.0,4
Kira G. I m telling why didn't he collaborated with her on this song,0.0,15
LDshadowlady Fan im 11...hi,0.3182,6
Like if eminem is  better than lil pump,0.6597,8
Lionel richi,0.0,2
Listen to the lyrics..,0.0,5
Literally my favorite song! <3,0.7345,6
Look afters your lungs id love to meat up again an do few more songs yellow,0.6369,16
Love,0.6369,1
"Love his new album but i still remember the old hits like Love the way you lie, Not afraid, Stan and more",0.9127,24
Love this song really beautiful😌,0.6369,6
