,sentiment,wordCount
(@Boochaces on instagram is located in New Jersey and often takes volunteers. She would love to promote her animal sanctuary!),0.7959,24
+above_average We do!!,0.0,6
+accioanimals Yay yay! :),0.8777,6
+beccalily She has tried that! https://www.youtube.com/watch?v=gzi30VkUPXQ,0.0,8
+bloombloom <3 <3 <3,0.8271,5
+bloombloom Yay!! Thanks for watching!,0.8007,9
+carolineivy That's amazing! Go for it!,0.658,9
+cottoncandy Thanks for watching!!,0.5399,7
+fafantastic Thanks for watching!! <3,0.7494,8
+giszelbaptista <3,0.4404,3
+heymamaco Yay! So glad you enjoyed!,0.8966,9
+isabelabarragan WOAH!! Good one!,0.5826,8
+kathrynpiper You're welcome!!,0.555,6
+katirose She has! https://www.youtube.com/watch?v=hls8jo11KBQ,0.0,6
+kim She has tried that! Here is one of them! https://www.youtube.com/watch?v=XuY6-7jvdio,0.0,14
+laurendavis here you go! https://www.youtube.com/watch?v=i6Xd-MbcWwc,0.0,7
+mylifeisweird Yay yay! Thanks for watching!!,0.8904,10
+pyschocandy Link in the description!! :),0.555,9
+ralitzatreneva Agreed!,0.3382,4
+rebeccalakey So glad you enjoyed! :),0.8793,8
+rojinzahaki Thanks for watching!!,0.5399,7
1:22 - it took her so long to change that enough time passed for a random box to apear,0.0,19
5 DAYS OF NO WASTE,-0.6124,5
5 days of Korean skincare,0.0,5
5 days of high school!,0.0,6
A dance teacher try next or be an yoga teacher or try being a chef,0.0,15
A day in the life of a professional RUNNER,0.0,9
"A professional Figure skater, and you must include off ice to, please I would Love to see that😘",0.7579,21
A week of new hairstyles,0.0,5
Above_ Average ME,0.0,4
Bella McLaughlin YES!!,0.6145,5
Big wonderful acceptable unlike previously welcome pie pretty.,0.9042,9
Boo hoo,0.0,2
Can Lucie do a 5 days of farm working?,0.0,10
Climbing !!!!!!,0.0,4
Coming coming!,0.0,3
Competitive Swimming or Water Polo,0.1779,5
Could you try being in a musical for like broadway or something?,0.3612,13
CrossFit,0.0,1
Did you get sexually molested like an Olympic Gymnast?,-0.1027,10
Do 5 days of wearing your colleagues fashion/clothes!!,0.0,12
Doing this for fun is definitely more enjoyable than having to present a sequence in PE and being graded on it. I really used to hate PE.,0.6404,29
Equestrian,0.0,1
Farm worker! Preferably on a hobby farm.,0.0,9
Figure skating!,0.0,3
Finally OMG IVE BEEN WAITING FOR THIS!!!!,0.0,10
Gina Vistro Or stop being so sensitive.,-0.296,8
Great job!!! ⚡️,0.7163,7
"Great job, love you Lucie⚡️⚡️⚡️",0.8519,12
"Haha, thank you! ❤️",0.6996,7
Hahah I was going to comment this idea yay,0.5267,9
Have a Great Weekend  :  ),0.6249,6
Heavy Equipment Operator,0.0,3
How about Lucie the glass blower?,0.0,7
How is she good at everything?,0.4404,7
How is she so good at everything? 😍😍😍,0.5777,11
I WAS JUST GOING TO COMMENT THIS,0.0,7
I am a gymnast and I think you did amazing,0.5859,10
I am a gymnast and I’ve been waiting for Lucie to try it!!!,0.0,18
I am a gymnast but I stopped because it was expensive in UAE Dirhams. I wanted to be a gymnast someday but I make our home a gym so I can practice.,-0.3291,34
I am so excited I do competioning gymnastovs,0.4005,8
I can’t even do a forward roll.,0.0,10
I love gymnastics like I love llamas,0.8979,7
I love this and the try living with series,0.6369,9
I love this video I love refinery 29 and gymnastics I loveeee you,0.8555,13
I miss gymnastics so much now,-0.1531,6
I really like this series but I think given what is going on in the world of gymnastics this week with Larry Nassar being convicted and USA Gymnastics being under fire I believe this video is in poor taste and this should've been thought about before uploading this video.,-0.7471,50
"I saw your Snapchat Lucie, you should try Ice Skating ⛸",0.0,12
I support the Refinery29 boss idea!,0.4574,8
I want to fuck her.,-0.4939,6
I was there when you were🦄🦄🦄🦄,0.0,9
"I would have left there with a broke ass,a broke foot,and a broke spirit 😂",-0.7717,19
I would love to see you do synchronised swimming or diving and loved the video Lucie👍😀,0.8555,18
I ❤️ gymnastics I am a gymnast,0.0,8
"I'd like to see Lucie be a BOSS BABE CEO.

I also think Barista, food server, or sommelier would be interesting. My bad if she's already done those things!",0.2481,34
I'm a gymnast and it's fun to see adults try and do it and for not doing gymnastics for 10 years you did a great job!,0.8268,27
I'm curious as to how many days you were sore afterwards.,-0.0516,12
"I've been a gymnast for 8 years but gave it up years ago, this video gave me so many throwback moments to my own beginnings. Such a great choice of activity! <3",0.8955,35
Ice hockey player,0.0,3
In cheer you have to be in very good shape so gymnastics isn't the only one you have to have good shape to,0.8653,23
Is there anything Lucie isn’t good at???,0.533,12
"It would be great to see you try to be a musician and pick up a new instrument.
Great video Lucie",0.8481,22
I’m actually a gymnast 🤸‍♂️ and I think Lucie did 👍,0.0,16
LUCIE,0.0,1
Lauren Davis she has,0.0,4
Levi Halperin hahaha! Yep. Bathroom was necessary 😂,0.7263,10
Lol trending with 17k views,0.4215,5
Looks like you had a great time.,0.765,8
Louie should totally work at sprinkles arm or any clothes shop,0.0,11
Love it! Lucie is more fearless than me and I'm a gymnast. I think lucie just helped me with a mental block 😂,0.6989,25
"Love this series!!!!
Who else?",0.7482,9
Love you!!!⭐️,0.7249,7
Love your videos! This one made me want to do backflips 🙊 kisses from your snapfam ⚡️⚡️⚡️,0.8439,23
"Loved the vdo😘
Love u lucie❤
U r really very talented😍",0.8442,14
Lover her\your outfits especially the first one!!!❤️,0.6884,14
Lucie Fink  Be a dog trainer,0.0,6
Lucie Fink Diver!!,0.0,5
Lucie Fink love you Lucie 💕 your loyal viewer from Kazakhstan 😂❤,0.8074,13
Lucie Fink the fact that I have the chance to comment to you makes me so happy! I love you so much! You should do five days of animal fostering!,0.9201,33
Lucie Fink the refinery29 boss or a nurse a life guard,0.0,12
"Lucie and Refinery29, you all mean the world to me. Y’all are amazing! Ilysm!!! Keep up the great work!",0.877,29
Lucie can you do 5 days of trying different sports,0.0,10
Lucie is very talented! She can do anything ☺,0.5974,10
"Lucie looked like she had a ball. I can tumble, but back flips and such are a no for me lol. I'm such a chicken when it comes that stuff. but I think she did a good job! Go Lucie Go!",0.7955,47
"Lucie should work as a wedding planner, makeup artist, or a stylist for a day! Once again a great video :)!",0.6892,25
Lucie tries being a therapist.,0.0,6
Lucie tries horseback riding (English not western),0.0,9
Lucie: what about training like a professional actor???❤️❤️,0.466,16
"Lukkiex yeah, but I only have a big gymnastics mat, and a 8ft beam.",0.1531,17
Lumberjack,0.0,1
"Maybe next time do baker, or a graphic designer. Or maybe a dog sitter!",0.0,17
"Maybe not on Lucie for Hire but for the Try Week/Try Diaries? She could try bouldering/climbing for a week. It's a super fun workout and doing it always makes me feel so strong, confident and excited. I love that it is a workout that challenges both my mind and body. There are a number of indoor gyms.",0.9874,67
Mia Castillo YYYYYYYYYYYYYEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEESSSSSSSSSSSSSSSSSSSSSŚSSSSSSSSSSSSSSSSSSSSSSSSS,-0.296,3
Mia Castillo love this,0.4588,4
Modeling,0.0,1
"NOOO! I love all of your videos but I want more try living with lucie! You said no mirror was coming soon, come on. Also, love the current video of course!❤️❤️",0.8371,41
Next lucie should do 5 days of being a vegetarian or vegan,0.0,12
Next lucie should do 5 days of trying other people's diets or 5 days of whole 30,0.0,17
"Nursing, Call Operator, Nannying, working for a newspaper (writing an article/getting research on something in the city) or personal shopper for someone you know",0.0,31
"Oh my gosh... gymnastics is life! And, we share the same name haha",0.6696,16
Omg I do gymnastics here!,0.0,6
Omg she did better than I would have expected!,0.4926,10
Omg you replied I crying!!! Ahhh ily! 😀😀,0.5374,13
Ooooo!! What about learning about being a cosplayer? Including making your own cosplay (or at least part of it) and doing a photo shoot!!!,-0.5526,32
Other job: PR! Marketing! Coding! Karlie Kloss she’s a fellow Youtuber!,0.0,18
"PLEASE do 5 days of Hamilton , so basically you can only communicate to other people by singing Hamilton songs",0.4648,20
Please do show jumping next! It’s amazing and so fun! 😚🐴,0.8828,16
Please try being a professional rock climber for a day!,0.3802,11
"Please try competitive cheerleading! (Stunts, tumbles, jumps, dance etc.)",0.6696,16
Please try rock climbing!,0.3802,5
Professional rock climber!!,0.0,5
Professional volleyball player,0.0,3
Really good for your first time in a while!! That training as a child is paying off!,0.6211,20
Refinery29 Competitive/Allstar cheerleading!,0.3595,7
Refinery29 Diver!!!,0.0,6
Refinery29 Do Diver!!!!,0.0,7
Refinery29 I’m so happy I asked for this video!!!,0.7662,15
"Refinery29 actor , figure skater , wedding planner & stylist",0.0,11
Refinery29 competitive cheer,0.6124,4
Refinery29 thanks for the great content ^^,0.7906,9
Sadie Sease yaaaas,0.0,3
She already did Barista!,0.0,5
"She looks like a kid at a playground, so peaceful to watch after a stressful day ☺️",0.5133,19
She looks like she's going to ballet class lol. We don't usually wear long sleeve leos to practice.,0.6486,20
