,sentiment,wordCount
"""Do not trust to faith , it has forsaken these lands"" !!!! :D ha ha ha ha ha",0.9035,22
"""Fly little bird!""",0.0,6
"""Only if you let me slotter you at fifa."" playing zelda.",0.2023,15
"""The lunch ladies would have never mistaken me for one of their own!""",0.3404,16
"'I have no faith without works""",0.1531,8
*R.I.P*,0.0,7
0:04 I’m pretty sure he’s playing the studio c version of mike Tyson’s punch out,0.743,21
"0:22 “this is my cocoon of love, everyone in the cocoon loves me.”
“That’s why it’s so small” 😂",0.836,29
1:36 is just classic!,0.0,5
"1:38 was the most amazing thing in the world, hands down amazing
         (  ● ●)
___/        o    __/ amazingniss people right there, and do not forget about the face scoot that was incredible",0.8706,38
1:39 it doesn't even seem like she's talking,-0.2755,8
2:09,0.0,1
2:09 Is the best,0.6369,4
2:20 lol,0.4215,2
"2:28 ""Its pronounced cats>""",0.0,7
"2:33

When you’re lesbian but all the girls ignore you for your guy friend",0.2617,16
2:45 i just have to admire that face,0.4767,8
"3:02
When my parents wake me up early on a weekend... :l",-0.4019,14
3:04 That's how I walk everyday.,0.0,7
Anyone notice he was playing as Matt on the tv,0.2023,10
Are they friends in this  sketch or dating in this sketch why would she be there,0.4767,16
Aww Whitney and Steven always find an opportunity... XD,0.6739,10
"BTW, Tori was great in this video ... love the physical comedy.",0.8957,14
Best studio c ever,0.6369,4
Best. Sketch. Ever!,0.6696,6
Chocolate sale at Walgreen's Eve XD,0.6739,6
Chocolate sale at Walgreen's eve,0.0,5
Cocoon of love hahah,0.6369,4
Crazy lady,-0.34,2
"Did anyone else notice that Seven had an Xbox 360 controller, while playing Punch Out, and Aaron had a Nintendo Switch pro controller.",0.2023,26
Did anyone else notice that this dude was playing a very old Nintendo game with an Xbox controller that wasn’t even on?,0.2023,25
Exquisite.,0.0,2
FIFA I LOVE FIFA,0.6369,4
"FLY LITTLE BIRDIE 
*pushes tori onto the ground",0.0,9
Fly Little Bird!,0.0,4
Fly little bird,0.0,3
Going to prom alone ages you,-0.25,6
Great now I have another person to make me laugh.... great job guys Especially Tori,0.8481,16
"Guys. The first few seconds, the TV showed a clip from their video on Mike Tyson’s _Punch Out!_",0.0,24
Happy Single Awareness Day!,0.6114,5
Having a best friend on Valentine's day:,0.8126,8
He was playing mike Tyson game from one of their videos,0.2023,11
Hes playing mike tysons punch-out,0.2023,5
Hey it's punch out!,0.0,5
Hilariously funny.,0.4404,3
How come Steven has an Xbox360 Controller and I forgot his name the boy had an Xbox 1 Controller,0.0,20
How do you play punch out on an Xbox/PS,0.34,11
I LOVE YOUR SHOW ❤❤❤❤❤❤❤😀😀😀😀😀😀😎😎😎😎😎,0.7125,13
I can't stop laughing every time I watch this!!!,-0.3851,12
I don't like the way the new girl acts. ☹,-0.2755,11
I feel ya!!,0.0,5
I keep watching this over and over again and i totally ship tori and aaron #arroi,0.0,16
I like how the blanket is tide pod colored.,0.3612,10
I liked the caterpillar crawl in the floor. Did the crew eat enough chocolate that day?,0.4215,18
I love Tori,0.6369,3
I love Tori omg that acting is gold,0.6369,8
I love Tori she is so good in this sketch like if you agree,0.9176,14
I love Tori so much!!!! She needs to be in more sketches!,0.7482,16
I love all the videos she is in,0.6369,8
I love this SOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO MUCH!!! Love how she just shoots EVER were!!!💜💜💜💜💜💜💜💜💜,0.8902,21
I love this so much 😂 No I really look forward to seeing her in future videos,0.4062,17
I love this vido it's awesome,0.8519,6
I love this! Cracks me up!,0.6988,8
I love tori she is so funny,0.8377,7
I loved that,0.5994,3
"I met you guys, (Studio C) at BYU a few years ago. We did the finger mustaches when you were having lunch together",0.0,27
I miss the old Studio C. I don't like this new cast.,-0.4039,14
I miss the old style of videos : /,-0.1531,9
I relate with Tori so much 😂😂😂,0.0,9
I subed,0.0,2
I think I am more like Tori than anyone else...........,0.4201,11
I think studio c got footage of me on Valentine's day with my brother,0.0,14
I thought the last guy was gonna be gay,0.0,9
I used all of these jokes on Valentines,0.25,8
I vote tori or torii into studio c she’s SO awesome 😎,0.7291,14
I want to have Tori’s children,0.0772,8
I watched this episode like 13 times,0.3612,7
I would ask her to be my valentine,0.0,8
I'll be your friend tori,0.4939,5
"I'm 3 minutes in, let me guess the end: It is a boy, who has chocolate for Steven...",0.0,22
I'm really likin tori! She's a great addition to the team! Oh... and that other dude. He's cool to. I guess.,0.7896,27
I'm sorry Tori! :'(,-0.5848,5
If I was Steven that whole pile would be gone in two minutes.,0.0,14
"Is he playing ""Mike Tyson punch out"" on an XBOX ONE?",0.2023,14
Is it sad that this is me every Valentine's Day because all I have are friends,0.0,16
Is it weird I ship Steven and Whitney together? :3 Oh and when she’s squat waddling to the door made me crack up XD,0.7983,28
