,sentiment,wordCount
"""I don't even feel comfortable using it now"" so dramatic 😂",-0.4023,13
"*** GIVEAWAY CLOSED *** Winner has been selected and emailed, if they do not confirm within 48 hrs, an alternate will be selected.  Be sure to check your email and your spam box Vanessa!  xo's",0.5983,43
...why didn’t she test the palettes? I get that they broke and she wouldn’t recommend them because of that but. I think she takes herself too seriously lol,0.3612,35
...why would you do that?? tati literally showed it falling out of the palette it’s not like she could exaggerate or lie abt it,-0.5676,29
"Alli M she swatched them - I think she didn’t want to love and rave about them after using them when they’re clearly far too fragile, maybe she’ll do it if the problem gets fixed?",0.6705,43
Also I like to win because I love makeup and this palette would be a great start for me,0.9393,19
Am I only one who keeps rewinding to watch the shadows fall out of the pan and Tati’s reaction? The first time I watched this was with my friend and we both gasped out loud.,0.4939,39
Anybody else here to see who won the sunset palette?? 😆❤️,0.6199,15
Anyone know who won the giveaway?,0.5719,7
"Ashley Lynn no, because it's an expensive product. Her reccomendation  could spur the sale of many items, if that's the case, people using their hard earned money are risking broken shadows due to cheap packaging. And some countries you cannot return makeup.",-0.7906,48
Ashley Lynn she's returning them.,0.0,6
Ashley Lynn true,0.4215,3
BLESS YOU,0.4215,2
Bob Ross 😂😂😂 man I love Tati,0.6369,9
Bob Ross? 😂,0.0,4
Broken palette = broken heart,-0.7351,5
Can you do an update to this video?? Did the company fix the issue?,0.0,17
Can you please please put captions in your videos.,0.5574,10
"Congrats Vanessa :) ... you’re so lucky! 
I had 65 entries in this contest I came back and watched everyday... Vanessa please tell me you didn’t have only like 7 entries and win...",0.9338,40
"Congrats Vanessa, you're super lucky to win something especially from Tati!!! 💓💓💓",0.9411,18
Congratulations Vanessa!,0.636,3
Did this company contact you apologizing for the product flaw and replacing the product? Or Give any sort of explanation for their failure? Haha,-0.2406,26
Does anyone know the name of the song from when her shadows fell out 😂,0.0,15
Doesn’t surprise me. I never really win anything. Congratulations to who did.,0.4543,17
Dunno why yt recommended this. 😐,0.2023,7
EFFFING Beautiful!!,0.6688,4
Emily Malik Shrier it is so expensive  because  it is from Israel,0.0,12
Even though the shadows fell I can’t get over how gorgeous the colors look! Your face priceless! 😳🤣,0.6792,23
"First Name it's her channel, and she was uncomfortable. If the issue was a faulty formula making them far softer than previous shadows she would be reviewing duds",-0.5994,30
Girl! Those colors are gorgeous 😍😍,0.6476,8
Good luck to everyone who entered this amazing competition!,0.8932,10
Gosh I really hope I can win this and do a makeup tutorial for my channel ❤️❤️❤️❤️❤️❤️,0.8051,28
"Grecia Medina it’s not bratty, she could have had a defected palette which could have affected the eyeshadows. If the eyeshadows were affected it would not have been a fair review.",-0.7061,36
HER FACE WHEN THEY FELL OUT,0.0,6
"Hahah the happy trees clip killed me, always appreciate you keeping it real",0.2263,14
Hahahahaha 😂 I’m sorry but I bursted out laughing when it fell off,0.631,15
"Hello, Tati! I will love to win this palette because my favorite range of eyeshadows colors to use are warm tones ones. I could give a great use to this palette. Greetings from Puerto Rico!",0.9656,40
"Hey Tati,
I just wanted to let you know that I really enjoy your videos and appreciate the effort you put into making them.
Unfortunately, I couldn't afford a lot of the make up you try, which is a shame because I really love make up. xD",0.8746,52
"Hey Tati, what do you use to clean your brushes??? Everything I find seems to be only for their specific brand of brushes. P.S. this looks Gorg on you!",0.5472,38
"Hey, I would like this palette because I'm broke🙋🏻",0.3612,12
Hi Tati! I would love to win the Natasha Denona palette soo badly so I can do my make up like you!! <3,0.9037,26
"Hi Tati,  I am from Belgrade, Serbia. I love your channel, and your videos are always a highlight of my day. You are so beautiful  and inspirational. I would love to win this palette  because  I’d love to help my mum feel beautiful. She is suffering from depression and lately she has seen me watching your channel and started whatcing with me. Now when she goes outside she asks me to do her make up like “Tati does it” and she gets in such better mood and it make me so happy to see her so excited about something because that is so rare. This palette is something that I could never afford and I would love to be able to say hey mum, look now your make up is really like Tati does her own. But in any case, we love you Tati and I am grateful just to see the smile on my mum when we watch you review, swatch and do tutorials on your channel. <3",0.9961,187
Honestly I would still buy it because it’s so pretty.,0.7973,13
How did I just now see this video and giveaway? Love this palette. I need eyeshadow badly!,0.3382,20
I LOVE YOU SO MUCH FOR NOT RECOMENDING THIS,0.6369,9
I LOVE YOUR EYE LOOK,0.6369,5
I Love how you are so honest with all the makeup you review.,0.857,14
I WANT TO WIN. NEVER HAVE EXPENSIVE MAKEUP. LOVE THE COLORS.,0.8519,14
I actually ended up winning this palette!!! I’m so happy I could cry! Thank you so much tati!!!!,0.8572,27
I am sooooo in love with the Natasha denona sunset palette. it would be unreal if I won. I always enter giveaways but I've never won and this giveaway is one that I would do anything to win. I love her palettes even though I don't have any. I also love you Tati. you're so amazing and generous to do this!!!!!!!!!,0.9926,69
I died when the eyeshadow fell off my heart,-0.5574,9
I don’t even wear makeup and I like watching her reviews lol.,0.6486,15
I don’t like purple shadows on lower lash line. It looks like your eyes are bruised..,0.4215,20
I don’t think the eyeshadows falling should’ve effected your review. You’re a really over-dramatic. It’s not a big deal. I wonder how you are regarding situations in everyday life that are more pressing than broken makeup.,-0.6077,48
I freakn love the way you edit these!,0.6696,9
I got a mini heart attack when they fell out lol,-0.0772,11
"I got this holiday pallette too and it broke!!!!! I stuck it back together with some rubbing alcohol but the consistency isn't the same now. I have used it up a bunch and plan on just using it until the end and then not purchasing any more of their products (which is a shame because i've heard great things... but I also can't really afford it... haha) I bought it for my wedding makeup and can't afford a new one so I will probably just use my modern renaissance. 

Thanks for being so honest and hilarious to watch!",0.9622,108
"I guess it wasn't me, because I didnt have an email. boo lol Love you, Tati!",0.807,20
I have been dreaming for this palette for so long.,0.0,11
"I heart sunk with those shadows, and I was literally crying and it took my breath away and I can't even breathe.  I am so dramatic.....",-0.4767,29
I hope winner will be announced soon ...,0.7717,8
"I just started my internship for three months and I'm still feeling nervous! If I'd win this it would be a bit of success to help me through it! And of course I would slay my everyday looks!

If not, I hope someone else will be very happy with it just like I would be!",0.9418,60
I know that I am watching this late but your skin looks flawless.,0.6652,14
