,sentiment,wordCount
"""... this is pretty strange but I have seen stranger things"" XDDD 5:56",0.1779,15
"""Are you a vest guy?""

""I could make you a vest guy""

-Miel 2017 👏🏻",0.0,22
"""Look at it go!"".... If you don't get it.. Go watch Stranger Things",0.0,18
"""This is pretty strange....
But I have seen stranger things"" anyone else catch that pun?",0.4939,19
"""nobody is going to like the moustache""
Except gay men everywhere. 
Anthony stop being such a thot. 
Your face is attacking us with too much hotnesss.",-0.4019,31
#AnthonyPadilla HACES LO QUE UNA NIÑA DE 15 AÑOS HARÍA EN MI PAÍS :),0.4588,14
"*Food Battle 2017*
_Coming Soon_",-0.3818,8
*uHHHHHHuuhhh Wh0 IZ Heeee33?*,0.0,8
.... what the hell,-0.6808,4
0:52 damn them toes Anthony,-0.4019,5
1:11 Sarah Connor is that you?,0.0,7
2:04 was so Daniel Howell. Dark & sad clothing.,-0.4767,11
2:05  Daniel? What are you doing here? Where did Anthony go? What's going on?? 😂 😂,0.0,21
5:07 to 5:14 he looks really good with those expressions haha,0.7346,11
"5:54 ""this is pretty strange but i have seen stranger things"" is this supposed to be a pun?",0.1779,21
"7.5/10 ?  Anyone remember  

""I rate this a  Meh, out of a BLEAHHHHHH .""",-0.0964,19
80's RULES!!!! 👍😎💕💕💕💕💕,0.0,12
After you look like a guy who looks like in the 1950s in those old shows before,0.6124,17
Am I the only one who actually liked the moustache,0.4215,10
Anthoney either looks like billy or steve,0.3612,7
Anthony are you and ian still best friends,0.8074,8
Anthony avoided the terrible moustache mistake made by Jacksfilms a few years ago,-0.7845,13
Anthony jacket is alright,0.25,4
Anthony looks like the hip boyfriend of the lead actress in every 80s movie.,0.3612,15
Anthony must be the best bf ever!,0.6696,8
Anthony pedilla,0.0,2
Anthony rejoin Smosh pls,0.0772,4
Anthony return to smosh pls,0.0772,5
Antony vuelve a el smosh porlomenos solo para la food battle ;.;,-0.3818,14
Anyone else get Stranger Things vibes!?! He should be a character in Season 3 😂,0.0,18
At 4:56 he looks like whiskey from kingsman 2,0.3612,9
BUEN VIDEO,0.0,2
Billy from stranger things 2,0.0,5
Billy from stranger things and Steve from stranger things got married and had a kid named Anthony Padilla😂,0.0,19
Bro u are dieing,0.0,4
Can you and Ian do do another video together,0.0,9
Change the t-shirt to maybe a gray plain one and it will maybe look better,0.4404,15
Dam this house. This guy must be a millionaire....,0.0,11
Dat musTACHE,0.0,2
"Dig the glasses, where are they from?",0.0,9
Dislike men,-0.3818,2
Do It on Miel Now...,0.0,6
Do you regret leaving smosh I know I would have,-0.4215,10
During the fashion shoot Anthony looks high 😂😂😂😂😂,-0.34,10
FUUUUUCK <3,0.4404,2
Gayyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy big waste of time.... like this video oooooo,-0.0772,10
HE LOOKED LIKE BILLY FROM ST,0.3612,6
HE LOOKS LIKE BILLY FROM STRANGER THINGS HAHAHA,0.7269,8
He had a pedo stache 😂,0.0,6
He kinda looks like the kid from CALL ME BY YOUR NAME,0.3008,12
He look like my dad or uncles were they were in there 20s,0.3612,13
"He looked like Billy, Max's brother on Stranger Things



Just me ok",0.5719,13
He looked more like Billy than Steve Harrington,0.4201,8
He looks like Logan Paul with the mustache,0.3612,8
He looks like Steve Harrington in his Mom phase,0.3612,9
He looks like billy from stranger things,0.3612,7
He looks soooo good,0.4404,4
Hello Antony Padilla I were suscribete a mi canal,0.0,9
Hey Anthony Padildo please caption your fucking video thank you x,0.6222,11
Hey Anthony! You look like someone who would totally fit in Smosh! Give it a try!,0.7326,19
"Hey Anthony, I got all the Chaos Emeralds in Sonic Mania as Sonic & Tails, and Knuckles.",-0.5719,20
His eyebrows are goals 😫💗,0.0,6
His one of the most funniest youtubers out their left,0.5984,10
How is no one talking about 5:43 😍,-0.296,8
"I  know  Iam not suppose to say things like this, but I wanna blow you",0.1901,16
I don’t know why.. but this video honestly made me wish that I was an 80’s kid..,0.8201,23
I feel like im watching an aftershave advert,0.3612,8
I hate you because you left smosh 🤬🤬🤬😈😈,-0.5719,12
I like these Anthony Padilla videos better,0.6597,7
I love Miel so much,0.6369,5
I love the 1980's,0.6369,6
I love you,0.6369,3
I loved the days when it was you Ian and Ians mom😂,0.5994,13
I miss when anthony was still in smosh,-0.1531,8
I thought Anthony WAs gay,0.0,5
I thought he quit youtube after he left smosh,0.0,9
I wish he looked like hitler,0.6369,6
I would hive five her for her stranger things pun,0.0,10
I'd fuck him raw w the mustache but not wo 🤷‍♀️,-0.3071,14
Im so sorry but i just came watching at this,-0.0763,10
"In my mind during the ""photo shoot"" I added achoo to every single time you close your eyes.",-0.34,21
In the thumbnail you looked like billy from stranger things!😂,0.4199,12
"Is it just me, or does Anthony look like a crossover between Brandon Urie and Joey Graceffa?",0.3612,19
Is she the hemorrhoids girl?,0.0,6
Is this a fashion channel,0.0,5
Isn't that the old Smosh house,0.0,6
It's probably just me but at 6:14 he looks like Jake paul!!,0.5905,14
Its tommy jarvis,0.0,3
I’m not a hater but this channel sucks u went from 22mill to 2 mill,-0.3786,17
Just give him a cowboy hat to go with the mustache,0.0,11
LOL the qvc ad... Miel is so funny love her.. My Bucket list I want to meet both of you if you ever come to Berkshire County MA...,0.9194,31
Lightning Jesus the porn star,0.0,5
Look like a grown up Ponyboy Curtis,0.3612,7
Man you look so much more smexy than before,0.0,9
My favorite part is at 7:56 LOOK AT HIS FACE 😂😂😂,0.4588,13
No,-0.296,1
"Noooooooooooo!
I wanted him to go outside with the mustache, see how people look at him 😂",0.0,19
Now you look  like billy,0.3612,5
"Nuuuuuuuugggghhhhh....

Don't get rid of the moustache....",0.0,9
"Okay but like with his hair like that he looked really sexy, not gonna lie...  

Who am I kidding though, he's always sexy.",0.9619,27
Omg I want more of Miel on your channel she’s awesome,0.6597,13
Oye entonces no habrá food battle 2017 ni nunca más?,-0.5859,11
PLZZZZ U AND IAN SHOULD TALK AGAIN😭😭😭,0.0,10
Pls do food battle!! Just for a bit each year with Ian!!!!,-0.5374,17
