,sentiment,wordCount
/freshteeth hug i log that part,0.4767,7
1 also do the same with sink. tried while brushing it worked and cleaned off the giant green soap stain and studd :D,0.6166,24
1 more is to do on skrached up discs,0.0,9
"1.) you can brush your teeth with toothpaste







Not trying to be rude 😂",-0.4588,16
12/15,0.0,1
<3,0.4404,1
AIN'T!!!!!!!,0.0,4
After this video I'm gonna watch Oh I do,0.0,9
All the dislikes are all the tooth paste tubes that died in the process of that video.,-0.743,18
And love your music vid,0.6369,5
"And,can the toothpaste use for crayons?",0.0,9
Annie and David nope,0.0,4
At first I was like R.I.P phone 📱 and then I was like OK never mind phone back alive yes📱👍👍👍👍👍👍👍👍👍😹📱📱📱🤣 thank you for all of the D I wise hacks and the other things you were so amazing give me like if you agree who’s watching in 2018 yeah🤩📱😹👍😍😍😍❤️😎,0.975,74
Ball,0.0,1
"Better then detergent, does it all!",0.4926,8
But would the toothpaste ruin your wall,-0.5859,7
By back I mean hack,0.0,5
"By the way, where did you find these life hacks?",0.0,12
Can you talk korean,0.0,4
"Check out my NEW MUSIC VIDEO: https://youtu.be/gJwY4t6JYQk - It's trending at #5 on the Chinese charts which is CRAZY and I'm SO SO SO thankful to my #wengiecornfam for giving me this opportunity! ❤️❤️❤️ I really appreciate all your love and support and make sure to subscribe to my music channel here https://www.youtube.com/user/wengieofficial because I'll be releasing more music there soon, including English songs! AHHHHH I can't wait to record my English songs for you guys! OMG I'm dying just thinking about it 😍😘😍😘😍😘 Ok time to calm down and reply and like all of your early comments!",0.9819,115
"Cool!!!!

I love u wengie 


And love your music vid",0.8902,13
Cooooooooooooooooool,0.0,1
Dab on the haters,-0.4939,4
Dang how many tubes of toothpaste does she have or is just me.,0.0,14
Danielwithskillz !!! Yeah,0.4724,5
Do a slime bath video with Collins key and all the other friends of Collins please I will give you a like on every video plz,0.802,26
Do you live in Australia,0.0,5
EWWW SHOE LACES,0.0,3
Finger spaces please,0.3182,3
Ggre,0.0,1
Hack 1# had worked so well!,0.4648,8
Hand sanitizer also works for cleaning pen marker sharpie and those stuff if there on you hand and you don't need a tooth brush you use your hand .,0.8625,29
Haters gonna hate,-0.7845,3
Here's a hack. Put the toothpaste on a clean toothbrush and brush your teeth like a normal healthy person.,0.7845,21
Hi wendy,0.0,2
Hi wengie,0.0,2
"Hi, Wingie it's my first time meeting you and your life hacks are amazing. I love it so much and the better it gets the more your fans will love you. Love You!❤️❤️❤️💐💐🎀 And remember which key is for what.",0.9665,54
How do you do it?,0.0,6
