,sentiment,wordCount
"(Cough, cough) me when I eat any chips",0.0,11
*CRONCH*,0.0,3
*W E M E N*,0.0,7
*Women have lost all class* ...,-0.3182,8
*in a whisper* “In today’s aaaasmrrrrr video we are eating Doritos” *crunches extremely loud into mic * *crunches bag into mic*,0.0,30
... That's hot,0.0,3
ASMR,0.0,1
"Actually you can't hear the tv as good when your are eating chips, I'm all for it.",0.4404,19
"Again people get this wrong, not because they are expected to, but because they want to...",-0.2174,19
Although  this initially  offended me its actually  a wonderful  idea lol i like to eat doritos and it does make me uncomfortable  if im loud while eating  ...,0.6597,28
Am also eat any chips like that,0.3612,7
Any one else eating Doritos,0.0,5
Anyone else see how Stevie very slyly flipped the camera off? Lol like a big middle finger to Doritos 😂,0.6486,21
Apparently there's at least 3K morons.,-0.3182,7
Are you kidding? How sexist can this get?,0.1926,10
"As somebody in advertising, and as somebody who knows the type of geniuses that work on Doritos... I think they've successfully punked you guys.",0.4939,27
At the end it sounded like a Kit Kat cumertial with the crunch crunch spit.,0.3612,16
Bluekitten1216 YES THANK YOU,0.7695,5
"Bruuuuuh, what happened to Jen she got so biiiig? :O",-0.3424,13
CRUNCH,0.0,1
CRUNSH THAT SHIT UP,-0.5574,4
Completely missed the point.... good job GMM....,0.1045,9
"Couldn't they have labeled it ""Soft-crunch Doritos"" without saying it's for ladies?",0.0,15
Cringiest video of allllll time,0.0,5
Cronch cronch,0.0,2
Crunch like a lady!!!!! Women RULE!!! Thanks for the awesome video guys!,0.8926,19
DORITOS FOR WOMEN!!!??? WTF!!!??? Sorry girls but this is a liitle too much.. Whats next?? BEER!!! ???  SALSA?  I find this absurd!!!!!,-0.507,46
Damn I’m hungry,-0.4019,5
Deleting all criticising comments... stay classy GMM editing team! Please release poor Rhett and Link from your stinky unwashed hipster grasps,-0.5255,23
Did anyone else find this oddly satisfying?,0.4588,8
Did anyone else get hungry?,0.0,6
Does this make anyone else feel uncomfortable 😣,-0.3818,8
Does this turn anyone else on,0.0,6
Doritos are sexist.,0.0,4
"Doritos aside, Women used to have so much class and be on just a totally different level held at such high regards like no other... Now they all just want to be downgraded to everyday slobbish man level because it somehow makes them think or feel more ""equal"" like they are finally ""rising up"" to the ""privileged"" mans level... Lol They don't even know they have downgraded themselves to try and be ""equal"" to men, its not the other way around like they seem to think... And why the spitting that was disgusting",0.6124,106
