,sentiment,wordCount
"""weekly videos""

...4 weeks later....",0.0,9
#RoleModels,0.0,1
"10hr extended cut of UFO Party, please.",0.4404,9
"2018 started off right with this, not sure if it'll stay okay for me, but this channel will definitely help!",0.8106,23
;-;,0.0,3
<3,0.4404,1
????????? they come out with content every week,0.0,10
"After they all left sourcfed i stopped watching, now they’re back so fucken excited!!!!",-0.471,20
Ah yes. Sourcefed's original host.... and Steve.,0.6124,10
Anddddddddddddddddd they're gone,0.0,3
Any chance we could see the podcast on Google Play?,0.5267,11
Are they gonna post on YouTube or somewhere else,0.0,9
Are you guys going to ask Philly  D for help on how to evolve your patreon,0.4019,16
Are you guys going to post or.....,0.0,8
Are you only gonna make stuff exclusively for Patrons on patreon??...man don't ignore the youtube family,0.3549,20
As a patron... I request a UFO Party in every video.,0.4019,13
Benjamin Franklin Time Traveler needs to make a come back,0.0,10
Bring back Tabletalk guys! Best show on youtube in my opinion.,0.6696,13
CAN WE HAVE MAUDE AND BREE PLEASEEEEEEEEEEEEEEEEEEEEEE,0.0,7
"Came for the business, stayed for the party.",0.4019,10
"Can you do another channel called the valley nerds, where you play games card games board games etc",0.34,19
Comment commentary was something we all loved. You guys had different opinions and jokes that complemented each other very well while interracting with the viewers. So maybe something that intergrates that would be nice.,0.8777,37
Content is already out its only the YouTube channel that needs time,0.0,12
DESTROY STEVEN SUPTIC,-0.5423,3
Dari Skowronek yes,0.4019,3
Didn't realize how much I missed this group. Bloody hell,-0.8658,11
"Don't be scared, we freaking love you guys. Myself and many more will support you for as long as we can. :)",0.8685,25
"Dylan Dundas yeah, I almost forgot all about them, again.",0.296,13
ET in a dress!,0.0,5
"Err...
What was that?






More please.",0.3804,9
Falzone?,0.0,2
"Favorite SourceFed moment, hope there is stuff like this in this new show. https://youtu.be/-CqbfHTWwcM?t=14m50s",0.8126,16
Feelin' good huh?  with Joe B!,0.4926,9
Finally ❤,0.0,2
Finally. Their back! :),0.5093,6
"GUYS THIS IS AN OPPORTUNITY. THE FIRST VIDEO’S TEXT IN THE THUMBNAIL STARTED WITH A “W”. THE SECOND WAS AN “H”. NOW JUST MAKE THE NEXT ONES “O”, “R”, AND “E”, AND WE’LL HAVE OURSELVES A HAPPY LITTLE JOY JOY TIME.",0.9262,62
Genuinely have missed you guys so fucking much.,-0.296,9
"Gonzalo Hernandez they will surely not rip u off, but I would like so see them again better sooner then later :)",0.9194,23
Gotta have a video podcast.,0.0,6
"Guys, what's up? We're waiting.... Been two weeks",0.0,11
HOLY CRAP WE MISSED YOU GUYS!!!! Welcome back ^-^,-0.6634,14
Hahahahaha,0.0,1
"Have other Sourefed, and Sourcefed Nerd alumni be guests on your channel.",-0.296,14
Hey I'm a graphic designer and I would absolutely love to make a logo for you guys!! Feel free to check out my instagram @cody.davis.design to see the kind of work I put out!,0.8648,39
Hey valley folk where is the new video been 3 weeks,0.0,11
"Hey, not sure if you guys know this, ahh but this video, your last video, your most recent video is almost a month old.... Geeesh",-0.1232,30
"Holy shit, how time flys, and how things change. I still remember being a freshman in high school, coming home from a long day at school and laghing my ass off(decompressing) from watching your videos in the comfort of my hown home. Now im in the marines, more stressed out than ive ever been; and watching this makes me feel so nostalgic. Thank you for making me laugh during tough times, and im sure youll do the same here in the near future. I love you guys.",0.6231,101
Hoping for a video soon.,0.4215,6
How do get more subscribers than views?????? By the way you are all friggin amazing!!,0.7675,20
How fucking bizarre.... God I hope they don't fuck this up.,0.8122,13
How would Steve react to Johnathan Gay's return?,0.0,9
I am absolutely ready for anything you guys throw our way. You have my complete support going into the future. Good luck with this endeavour!,0.893,28
I am canceling my patreon. We got scammed yall,0.0,10
I am just so madly in love with all of these humans,0.2435,12
I am o happy you guys are back :D,0.8286,9
I am so excited to see where this goes,0.4005,9
I don't care what you call it. Just do it. Talk about gaming or anime. The news. Just make it funny. No pressure,-0.4815,28
I feel like I’ve been waiting for this MY WHOLE LIFE,0.3612,13
I feel like joe needs to bring back the mustache,0.3612,10
"I fucking love these guys! I missed y'all so much! You guys always crack me up, without a doubt; especially Lee. Lol. I know you guys are gonna do amazing! Keep up the good work!",0.9464,43
I honestly expected one of them the day something else for the podcast name,0.4588,14
"I hope we get a show similar to a #TableTalk or Comment Commentary. I know they can’t be called the same or copied; but hey! Maybe something similar will come me out. 
They were amazing and were I fell in love with you guys!! I know you creative bunch will make something great!",0.979,62
"I just wanna beat Elliott's smug, hipster ass. And you know, Steve's pussy ass would be crying",-0.8519,20
I listen to my podcasts on Alexa... Your not showing up on tune in..  how do I listen to you with Alexa?!?!,0.0,28
"I love you guys, but you should have made videos that you guys are proud of BEFORE the channel came out, that way your audience isn’t waiting for content constantly",0.775,34
I missed u guys. Don't ever leave me again or my puppy in the profile pic will die of a broken heart :(,-0.899,24
I need that ufo party song papa Steve,0.4019,8
"I need to be a part of this... give me a job please,  "" I'll suck yo dick maaaaannnn"" 
No but seriously Lee 😉",-0.6249,27
I still can't believe it! I'm soo happy!,0.6467,10
I still have that original poster. I should get it framed.,0.3182,13
"I subscribed right away when I knew they were coming back, but this video, just made me remember why I loved them in the first place",0.7469,28
I think this is going to be even better than SourceFed.,0.4404,12
I think this is my new favorite thing.,0.4588,9
I wanna see game nights become a thing,0.0,8
I want my UFO party T-shirt NOW!!!,0.5962,10
I was literally watching old sourcefed (despite the news stories being outdated) just to see all the banter just days before you guys released your announcement. I'm more excited than ever and literally cannot wait to see what you guys decide to do. Either way the support is real on this side so just do whatever and we'll be there 😘,0.659,65
I would absolutely love to see Meg be a guest in one of the videos and/or podcasts!!! It's so cool to you all back together,0.8541,30
"I would like to see the Valley Folk do ""My favorite place in L.A."" so we can learn where to visit, what to do, and their adjustment to living in Lala land.",0.6705,40
I'M PUMPED,0.0,2
I'd pay big if Steve wasn't there ruining the chemistry,0.0875,10
I'm glad you guys stuck with the same editing style too. Cracks me up! Missed you guys and you're already back to making me laugh out loud! xxx,0.6103,31
I'm happier than I've ever been with this fungeons and flagons and new rockstars we've practically got sourcefed back,0.5267,19
I'm so happy,0.6115,3
I'm stoked! This is the kind of YouTube content I really missed. I'm so glad the gang got their s**t together. Welcome back and I'm with you all the way!,0.658,37
I'm trying to floss & you started a party.,0.4019,10
"If you four need a visual artist, I'd love to contribute in any way I can. A lot of people believe in this, and want it to succeed. You've got this. -Jonathan Gay",0.8271,39
