,sentiment,wordCount
"""I put that record on"" 😂😘",0.0,9
"""Trending""",0.0,3
#30 on trending as on rn :)),0.0,8
#31 on trending.... Congrats deserves #1 spot,0.5267,9
0:22 starts,0.0,2
1,0.0,1
:D oha aleyna tilkinin ifşası yayınlanmış bakın http://jehejavayezosiyap.tk/?youtubeGRXpnTG,0.6166,8
:D oha aleyna tilkinin ifşası yayınlanmış bakın http://jehejavayezosiyap.tk/?youtubeHr_mdEl,0.6166,8
:D oha aleyna tilkinin ifşası yayınlanmış bakın http://jehejavayezosiyap.tk/?youtubeR_H_F_K,0.6166,8
:D oha aleyna tilkinin ifşası yayınlanmış bakın http://jehejavayezosiyap.tk/?youtube_apU_tZ,0.6166,8
:D oha aleyna tilkinin ifşası yayınlanmış bakın http://jehejavayezosiyap.tk/?youtubenxPfMD_,0.6166,8
:D oha aleyna tilkinin ifşası yayınlanmış bakın http://jehejavayezosiyap.tk/?youtubeoG_cx_s,0.6166,8
:D oha aleyna tilkinin ifşası yayınlanmış bakın http://jehejavayezosiyap.tk/?youtubevikAxaR,0.6166,8
A few of the great voices all wrapped in one brilliant,0.836,11
"Almost same as me.. My 3:
1. hard livin
2. Simple song
3. Drunkard's prayer..

I love every song on it and part 1 however!!",0.658,33
Amazing voice and he's awsome,0.5859,5
"Amazing, I wish I could hear it for the first time every time.",0.7579,15
Amen!,0.0,2
Anyone wanna tab this for me? I think it's drop d tuning with a capo on 3rd can't figure it out.,-0.2732,23
Beauiful just a simple song,0.0,5
"Beautifully performed. Just relaxing and comforting song to listen to. What I wish more country music would be like these days... And I'm not an ""old"" person I am in my early 30's. It's a song about real life no pandering here. Thank you for making this MR Stapleton.",0.9337,59
Been waiting for this one!,0.0,6
Channing Griffith duh.... yankee hawww!,0.0,7
Check out Cord Bradley ;),0.2263,5
"Check out GLITTER DOGS. New music!
https://youtu.be/9oevFBPibyM
Song: LONELY TONITE
also on Spotify...",-0.5461,17
Check out Kendall marvel. He wrote either way and numerous other songs that I guarantee you have heard. His music is real and his voice is kick ass,0.0772,30
Chris Stapleton =  Real Life,0.0,5
"Chris Stapleton will never disappoint! Love, love, love!! 💓💕",-0.8665,15
Chris has made country music cool again internationally,0.3182,8
Chris is a bad white boy. Get you some!!!  #colorblind #musicsoothes #Stapleton,-0.6571,16
"Chris is the best singer-songwriter to come around in a long time!! Love this song: simple and soothing, as the title suggests:-)!!",0.9164,29
Chris ya make things Simple💙,0.0,6
Christian Hernandez,0.0,2
Christian Hernandez yes,0.4019,3
Clicked on the video then clicked like right away. Dont need to listen to it to like it.,0.6124,20
Country music is like a toliet.Both are full of shit.,-0.2732,11
"Damn I wish I could play this for my dad, he would have absolutely loved it.",0.7645,18
Did anyone else get a Chris Stapleton ad before the video?,0.0,12
Did he get with Passenger and write this song?,0.0,10
Dilly dilly,0.0,2
Do you get a free block of cheese with this song.,0.1027,12
Dude? YouTube obviously likes talent.,0.6808,7
"Eileen Webster So eloquently put, madam. :)",0.4588,9
"Even though I do not have an American nationality, as a European, I must say that you do not let your music get corrupted. The musical identity is the only one that does not appeal to the extreme nationalism and preserves the best of each nation.",0.6369,50
"Every once in a while an artist comes along and changes music for a generation. To write songs that so many people can relate to is artistry alone, but to then bless it with an astonishing voice takes it to another level. Chris Stapleton is a gift and I hope I one day get to stand and watch this genius in person.",0.8979,66
Every song this man sings is bittersweet poetry. So simple and so real. Songs about the reality of life pull every string back to the beginning.  Thank you.,0.296,32
FANTASTIC !!!,0.7359,4
First comment lol and good song,0.6908,6
Fuck at midnight all these treasures! !!,-0.3769,9
"Fuckin amazing album, got the preorder bundle yesterday mornin and done played it in the ground",0.7351,17
G0 head ms.Paula Via.I love how you write all D lyric down to this great singer & song writer Mr. STAPLETON. 4THWARDTITUS born and raised in 4thward in Houston Texas.He is just and outstanding entertainer!!!!!!!!!,0.9455,42
GOAT....,0.0,2
Getting some Willie Nelson vibes... which is frikin awesome!! ❤️❤️❤️,0.6892,18
Giggity Giggity Goo lol,0.4215,4
"Giggity Giggity, howdy!",0.0,5
God bless Chris Stapleton!,0.636,5
"Gosh this man can sing!
Like if you agree",0.6476,10
"Gosh, lol",0.4215,3
Great Simple Song Thank y'all for bringing Country back ✌💙,0.765,11
"Great Song,& Great job. Chris Keep making heartfelt songs.",0.9136,13
"Great music, I need his new album!!!",0.7163,11
Great song,0.6249,2
Great song Gives me goosebumps everytime,0.6249,6
HAHA  30-55 dollars for a tshirt on your website?  Cmon man.  Trying to support you but practice what you preach.,0.4967,23
Hank Ruff AAAAAAMEN!!!,0.0,6
Has a hint of John Prine in it.,0.0,9
He did a Willie Nelson song. The last thing I needed first thing this morning. Check it out by both and see who is better,0.4404,27
"He is the love child of Travis Tritt and Bob Seger. Somehow. Because you know, Science, or something.",0.6369,23
He's a year younger than I am but he seems to be 20yrs more mature. He sings with his soul and in doing so he touches everyone else's soul. I'm glad he has his beautiful wife to tour with him and support him. You can tell they adore each other. I'm so very happy he got his chance at the big time. I can't wait to hear all of the great music he will create through the upcoming years.,0.9916,85
He's been writing music for years. He has been part of the great county hits out there. Love him! So glad he's now performing.,0.9167,28
Hendrix Anderson every song surprises every time.,0.2263,8
"Hendrix Anderson i hope you 
are ok.",0.6249,8
He  has  good  songs and he  sounds country & like  a natural.  But a bit nasal... If  you want  soothing  tune into   WAYLON.  Put one of  his ballads on. Deep  rich and one of  a kind.,0.9477,41
Hit the like before I even listen because not one song has seems to fail me💁🏼,-0.25,18
Hollywood News 1,0.0,3
