,sentiment,wordCount
"""Oprah is just premium""
Roll credits.",0.3612,9
"""Premium"" ""Inhale deeply"" This guys been smoking weed during the day before he came on the show. Look at his behaviour again. I can tell it a mile off!.",0.0,37
"""She's premium"" LMAO IM WEAK",0.25,7
"""Sink to the floor""",0.0,6
"""oprah is just premium"" asdfg 😂",0.0,8
#joshuawilson,0.0,1
.... dude Black Panther why didn't they ask him about his role in the movie? I get he started in Get Out but he had a big role in Black Panther which you know is huge cause it's Marvel.,0.7684,41
...and,0.0,2
15 million merits is still the 🐐,0.4019,7
1:30 for sec i thought Daniel took Alicia's glass xd,0.5859,10
<3,0.4404,1
"Aggronauts No, as someone who has to put up with men (and sometimes women) doing what I call 'manspreading', as a part of my daily life as I commute a fair distance to work in London every day, I pick up on this sort of thing. Maybe it doesn't bother her; but that doesn't take away from the fact that he's doing it. Whether or not you think that is important is completely up to you.",0.4153,87
"Ahhh Tealeaf, haha",0.4588,4
American shows feel so scripted and fake. British shows are far more natural and fun like you're sitting around chilling with your mates/black friend from facebook.,0.8221,30
Amy Barnes what? That’s false. I’m a black Londoner and sound nothing like this. It all depends on what area you’re from. Even white people and Asian people have this accent if you’re from the ends,-0.2755,48
"Another 15 or 20 years, she's gotta be mid 60s now",0.0,12
Anyone else noticed that Margot Robbie don't stop smiling?,-0.1511,10
Are we gonna ignore that Daniel drank Alicia’s water at 2:32 🤔,-0.3612,14
Aspire to pass butter (oh my god),0.0,9
"Awe how precious.  Daniel has been consistently speaking of his adoration of the ""O"".",0.8225,18
"Awesome confirmed hats here, so cool!!! https://m.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313.TR7.TRC0.A0.H0.XConfirmed+c.TRS0&_nkw=Confirmed+cille+clan+hat",0.8388,11
"Awww. He seems to have a shy, awkward personality. Kinda like Redmayne",-0.101,15
BLACK MIRROR ANYONE??,0.0,5
"Bad manners, not to say the person name as he was referencing her, not impressed! But I think he's been smoking weed!",-0.7676,26
"Because dialects? Native speakers of languages tend to speak in regional dialects, this is not exactly unique to British English. Jesus, just listen to the deep south of the US, perfect English there? Go to Andalucia in Spain and tell me they speak 'perfect' Spanish.",0.6199,54
"Because their accent is ""regular"" for them",0.0,9
Bee Batch- Me too. Everyone says its a good movie though.,0.4404,14
"Bing from black mirror, dont forget about that, it got him into Get Out and then that got him into all this.",0.1695,25
Black Mirror!,0.0,3
Check out my channel get me to 200 subscribers and  I'll do a free giveaway,0.5106,15
Damn hes cool and funny,0.3612,5
"Damn, he only says funny things. I love his Denzel voice haha",0.8126,14
Daniel along with John Boyega..making black brits look flawless..rock on brother!,0.0,16
"Daniel has an insane amount of natural charm. He'd be such a funny, cool guy to hang out with",0.7717,21
Daniel has this sadness in his eyes,-0.5228,7
Daniel is amazingly funny. HJad me dying.,0.4927,9
Daniel is becoming one of my favorite actors. He's so laid back and seems like such a chill guy.,0.6705,21
Daniel is so cool.........,0.0,5
Daniel is so relaxed! It feels like he's been on the show many many times.,0.785,17
Daniel is the epitome of cool and personable. Love this guy's personality!,0.7777,14
Denzel Washington lol,0.4215,3
Did he drink from the wrong glass at 1:34 ?,-0.4767,10
Did he drink the wrong water.....?,-0.4767,8
Does he kno da wae?,0.0,6
Dude is a hilarious guest.,0.4019,6
Exactly,0.0,1
First saw him on The Fades with Iain De Caestecker. Great to see him doing well,0.7351,17
Followed this guy's career since Skins. It's nice to see him get the recognition he deserves.,0.4215,18
"For men, it’s vital for ventilation of the sausage and surrounding areas",0.296,15
Frano Kiso oprah rapes babies with Harvey Weinstein.,-0.6705,9
Frano Kiso 😂😂😂,0.0,5
Frano Kiso: From a black man here I can tell you I get sick of comments like yours... Hypocritical racism is still racism.,-0.9186,26
From some angles he low-key looks like Carlton Banks,0.3612,9
"Get Out had a brilliant lead up. But I think that they should have made it at least 30 minutes longer because the ending was all rushed and far too immediately revelatory by all of the characters. It could have chosen pathos for the hypnotised 'slaves' or had more horror but it didn't quite do either. As a result it feels more like a pilot for a Netflix series - which might have been a more interesting way of examining the history of ALL cultures coming to the land of the Native American and how the country's ideals are for freedom and equality and that there's rarely an immediate move to that status because people come with conceptions, not necessarily preconceptions, of what that can mean in a vast, diverse, country often being buillt up with a collection of European ideals. For instance, American embraced Greek classicism (which itself was popular in England in the 1700s but continued after then in America when England was embracing Victorian gothic revival. America's architecture was still reflecting a patrician form of social equality. England was becoming more individualistic, Romantic).",0.9701,203
Get Out is way too overrated,0.0,6
Get money easy https://link.dosh.cash/AVsGRFMLCK,0.4404,4
Get out,0.0,2
God said it ain’t safe,0.6124,7
God's Army it was a joke about his movie Get out,0.296,11
God's Army people like you is whats wrong with the world,-0.1531,11
"Good decision, after the events in get out,being in an all black movie was the best choice lol.",0.872,22
"Graham norton is such cool show, wonder wat feels like meeting him in real life",0.5859,16
Graham seems 100x better than our late night tv hosts in America,0.4404,12
Great actor,0.6249,2
Great now I want to sniff oprah,0.6597,7
