,sentiment,wordCount
"""And though positivity and resilience has its place, it feels like this sentiment is coming from a discomfort with negative emotions rather than prioritising the process of healing or working through them and to be honest I'm just really tired of trying to mask my negative feelings.""

Wow. You have worded how I feel about this extraordinarily.",-0.1263,63
"""YOU'RE GONNA BE OKAY!!!""",0.0,9
"...AW MAN, LOUIS C.K. IS AN ASSHOLE TOO! :( there goes my living replacement of George Carlin. (*knocks on wood it doesn't turn out he was masturbating in front of involuntary people as well).",-0.4926,45
0:47 on the right is that two cactus having butt sex ? xD,0.5859,13
1:00 me,0.0,2
30 i thoth that you was 22 pecause u look like it,0.3612,12
"30 years old !!!!!?? STAHP i'm 19 , and I look 10 times older than you girl ! Luv this vid ^__^ <3",0.6628,29
30 years old ?????????,0.0,6
<3,0.4404,1
"A book you would enjoy that talks about accepting all emotions and not fighting the ""bad"" ones is 'The Happiness Trap'",0.8485,25
A do rb,0.0,3
Ad? Really?,0.0,4
Am i late to the anna party?,0.4019,8
And that is why I have logged off FB for a while. All the recent news made me depressed and more stressed than I needed to be,-0.7178,28
"Anna
Please call me I wanna date you please thanks. Ok I love you bye.",0.9169,17
Anna I love you 💖,0.6369,5
"Anna have you ever seen the series of ""Beeing Erika"" ? If not, it might be quite revealing. Wishing you all the best! :)",0.8648,29
Anna is maturing all the time. Great rolle model.,0.6249,11
Anna should try TMS,0.0,4
Anna you are awesome,0.6249,4
Anna you got your boobs done!!!!!,0.0,9
Anna! Yay!,0.6103,4
"Anna, I must say you are lovely, intelligent, yet graceful and humble. So so rare to find a balanced girl in our crazy mixed up world of doltish  body-snatcher mindless zombie clones. To sum up? Your are joyfully HUMAN and secure in being a Woman of strength tempered by self-deprecating humor. Cheers to you!~~~",0.9589,65
"Anna, my brother died of an overdose today. How did you get through the death of your sister? I could really use all the help right now.",-0.7003,31
"Anna, this time of year can be especially stressful.  It is definitely o.k. to not be o.k., and be careful about over committing as you seem to be a workaholic.",0.0018,40
Anyone know where she got that white off the shouler floral top from?,0.2023,14
Are u still on antidepressants?,0.0,6
Aren't you rich? What problems you got?  Walmart or Target? .....,-0.7322,14
As I sit here at 4 in the morning eating Frosted Flakes pretending that I'm gonna go to the gym at 6 when it opens.,0.1027,26
Awesome human being.,0.6249,4
Been watching your videos for years. Thank you for creating these 💕,0.5719,13
Bro this is me,0.0,4
Definitely needed this. Thank you Anna!,0.6696,8
Do you know of any therapy solutions for people in poverty? Anxiety stacks on top when you don’t have any money to spend on the luxury of therapy.,-0.3612,32
Eew brussel sprouts,0.0,3
Ever heard of kratom? Might solve some of your problems,-0.2263,11
Fake it till you make it . You'll beleive you're happy. Lol. XD,0.8374,15
"Faking it is really great if you can do it right.
I smile a lot at people, no matter how I feel, which is part of being in the service industry. But most of the time people fall for this and actually smile back at me... and suddenly I feel a lot better. ;)",0.8516,60
"Feel the feeling, but do the right thing.",0.0644,10
Finally you are now ready to learn little beaver.,0.3612,10
God I love you,0.743,4
"Great insights :) you are such an amazing and strong women, keep being open and vulnerable and honest. Much love",0.9674,22
HOLY SHIZZLE SHE HAS A NEW SPONSOR,0.0,7
"HOW IS SHE NEARLY THIRTY?
She looks 19 😮",0.0,10
Hasn't your therapist told you there's no such thing as a negative emotion?,-0.7096,14
Hi I really enjoy your videos their great! And  plan to make my own. :),0.8976,17
Holy guacamole! You look 22 not 30! Lol goals! Your skin is real nice too like your personality 😊😮,0.5919,23
Honestly your message is amazing. I’ve been a subscriber for so long! I love to see you grow and change. Also I love your aesthetic!,0.9541,31
"Hope you're doing well Anna, we love you!  😀",0.8588,11
"How contradictory you are expressing your feeling. I love the way you formulte that moments. Love your analysis, thank you Ana",0.875,24
I LOVE YOU,0.6369,3
"I always come to this whenever I feel down which is sort of becoming more and more often. I’m currently at a really bad place. I have hearing issues that make me feel isolated from everyone. This in return makes me purposely isolate myself from my friends and family since I can’t keep up with their conversations. I sort of have been getting a really spotty attendance record at school and have started slacking off on my work. I think the worst part is that teachers don’t even try to understand or empathize with my situation and because of this, i have begun to lie to myself and tell myself that i am ok when im not. I always try to have a bright smile and be the sweet and kind girl that everyone sees me as but its been getting harder and harder each day. I just can’t find the energy in me anymore to smile or even talk for that matter. I just am someone that’s getting more and more lost. I don’t want to burden people with my problems which explains why I’m constantly expressing my anxiety on the internet. I just need an outlet",-0.584,223
"I do have to say that there is scientific evidence that affirmations help. They have been shown to rewire your brain to think differently. Your brain uses the strongest pathways available, so repeating positive thoughts and affirmations are supposed to help strengthen those paths that will help you be happier. You do have to put a lot of effort into keeping it up throughout the day though.",0.9616,72
"I don't always agree with you but this is one of the times I do, and deeply. Great vid",0.7604,21
I don't know how you have the same depressing thoughts and feelings as me and put it in a serious but entertaining light.  I appreciate it though.,0.7543,29
"I don't think I've really thought about this before, but , DAMN YOU PUT IN SO MUCH WORK INTO THIS!! like that clown part, was probably a minute, but it most likely took a lot of effort, and it was funny!! Gosh I can't even begin to thank you for the ways you've opened me up in self awareness and honesty. A real genuine thank you man. Really appreciate it!! 🙋",0.9607,83
I find clown Anna erotic.,0.0,6
I hate advertisements,-0.5719,3
I haven't been having the best day but you actually made me feel better. THANKSSSS I can always trust Anna,0.8979,21
I just found this and I needed this. Recently I haven’t been okay and very down for no reason. I’ve told my friends and they’ve tried to help me but I feel as though it’s getting annoying for them to have to talk me out of being sad and having to deal with me. But I needed to hear this I’m so glad I found your channel. Thank you!,0.5803,84
I just started doing yoga and i already feel great!,0.6588,11
I just wish your videos were longer 😫😫,0.4019,9
I laugh so Hard The part  that she talk to the mirror😂😂,0.4417,14
"I like you A LOT already Anna, but I HATE Brussels sprouts! I'm so conflicted now! Seriously... nice job. :-)",0.2106,25
