,sentiment,wordCount
"""Internettuhtuh"" lollll",0.0,4
"""Make one bad move and that's it. Hashtag your name is over party trending on twitter"" LOL",0.4084,20
"""NEVER EVER INSULT THE KPOP GROUP BTS, OR THE FANDOM GROUP WILL DRAG YOU""",-0.6369,17
"""T""",0.0,3
"""Tryin' to get textually active"" -Will ""Bingo"" -Lilly ""Tch. Darn it!"" -Lady 
I CACKLED WHEN I HEARD THAT",0.4574,30
#LoveBts!!!!!,0.0,4
#WasjustthinkingaboutBTS,0.0,1
#bright,0.0,1
"'Or the fandom will drag you'
You can damn bet they will",-0.5574,14
**having a mental crisis because Superwoman and BTS in the same video**,-0.6249,16
*her reaction when “bts videos are lame.”*,0.0,12
*yasssss*,0.0,3
*zaddy*,0.0,3
*”never insult bts” and “attackedt” on the same board..... that’s accurate*,-0.5106,20
.....she bought bts. She knows army is dangerous,-0.4767,10
....I understood about half of that,0.0,7
2:35 I was like btsssss and it true never ever ever insults them cause their fans will bury you alike,0.7672,20
2:37 True Dat,0.4215,3
"4:35
Oh no boi, do you realise what you have just done",-0.296,13
4:44 literraly me,0.0,3
5:31 product placement,0.0,3
6:02 that mmmm,0.0,3
AHHH I LOVE THIS😭,0.6369,5
ARE YOU FRIGGIN' KIDDING ME? Thank you so much to Will Smith for being the final guest on this year's #12CollabsofXmas series. You are wonderful. SUPER SIXTY starts now. Let me know what your favorite collab of the season was and let's chat and be friends and things cuz I'm replying to you for the next hour xoxoxox :),0.9751,64
ARMY,0.0,1
ARMY BOUGHT TO DRAG DOWN STANLEY,-0.2263,6
ARMY will drag you.,-0.2263,5
All of this for a pun that I saw coming,0.0,10
Am sorry who is this....is she illuminati too?,-0.0772,11
Amazing videooooooo,0.5859,2
And I love will Smith,0.6369,5
Army ❤,0.0,2
Army!!,0.0,3
Army!!!!,0.0,4
"As a Korean and BTS fan, this video is very useful!ㅋㅋㅋㅋㅋ",0.3802,14
"As you were saying not to insult BTS my brother said ""BTS sucks""",0.0521,15
Awww the elderly lady was so good at acting and the boys,0.5777,12
BTBTBTS SENIOR ARMY SQUAD WHERE U AT?,0.0,8
BTBTBTSSSSSSSSS!!!WHO'S AN ARMY!I'M SO HAPPY THAT BTS WAS MENTIONED!NEVER insult our BTS🔥,0.6516,21
BTS 4 LIFE,0.0,3
BTS ARMY YASSSSSS💖💗💖💗💖💗💖💗💖💗💖💖💗💖💗💖,0.0,19
BTS BTS!😂😂😂😂,0.0,6
BTS ayyyy,0.0,2
BTS though. I enjoyed this a lot.,0.5106,9
BTS videos are lame,-0.4215,4
BTS ✨✨✨,0.0,4
BTS 😄😄😄😄😄😄😚😚😚😚😚😘😘,0.0,9
BTS!!!!!!!!!!!!!!,0.0,4
"Badriya Cabdalla ymt,c.f. a.k I'm s",0.0,13
Bright reminded me of Bighit idk,0.3612,6
Bts videos are lame (true),-0.4215,7
Bullit Proof boy scouts,0.0,4
Bullitt Perot boy scouts,0.0,4
Clumsy...T,0.0,3
Clumsyt 😂😂😂😂,0.0,4
DAMN FIRST JL NOW WS DAMN,-0.6597,6
DONT DEAL WITH ARMY! BTSSSSSSS FORRRRRRR LIFEEEEEEEEEEE,0.0,8
Das right! Don't insult BTS!!,0.5541,8
Don’t kill me but who is will Smith?,-0.431,11
Everybody knows their place if they insult bts🤣🤣🤣,-0.5106,11
FWAK YOU WILL SMITH,0.0,4
Filadelfia born and rais lol WILL SMITH OMG,0.4215,8
Fresh princet 👍 got it....😂,0.3182,7
Gabbie literally just circled number 4 lmao!,0.6696,8
HOW did she do that get will smith to appear on a youtube video ..i cannot believe it wow,-0.4717,20
Haha awesome the best ❤,0.9062,5
Hahaha never insult BTS HHAHAHAHA LOOL,0.7432,6
Hehe 😂,0.0,2
How da F does she keep collabing with these famous people that are AUSOM,0.0,14
How do u meet so many celebrities,0.0,7
I CAN'T BELIEVE BTS IS EVERYWHERE,0.0,6
I LOVE K-POP HONEY HONEY HONEY,0.6369,6
I LOVE WILL SMITH,0.6369,4
I LOVE WILL SMITH 💘 💙,0.6369,6
I actually tried this but it did not work,0.0,9
I am indian too,0.0,4
I died at the BTS pun,-0.5574,6
I laughedt,0.0,2
I love Bts my favourite is Jimin,0.6369,7
I love bright,0.7964,3
I love how she brought up Bts,0.6369,7
I love that movie “Bright”,0.6369,7
I love thist!,0.6696,4
I love you even more cuz you put BTS,0.6369,9
I love you will smith,0.6369,5
I thought I coundn't love her more but... damn she's an army,-0.7466,13
I wanna hit...so bad...,0.0,7
I'll have a tea. 😂 lol,0.4215,7
